[14:53:02.301] [INFO   ] thread main starting.
[14:53:02.307] [SEVERE ] cannot read configuration file config.properties trying from resources.
[14:53:02.309] [SEVERE ] configuration file was loaded from resources directory.
[14:53:02.736] [INFO   ] thread dealer starting.
[14:53:02.869] [SEVERE ] placing card 41 in slot 0
[14:53:02.874] [SEVERE ] player 2 placing token on slot 0
[14:53:02.874] [SEVERE ] player 1 placing token on slot 0
[14:53:02.874] [SEVERE ] player 3 placing token on slot 0
[14:53:02.875] [SEVERE ] removing player 3 token from slot 0
[14:53:02.875] [SEVERE ] removing player 2 token from slot 0
[14:53:02.875] [SEVERE ] player 4 placing token on slot 0
[14:53:02.880] [SEVERE ] player 2 placing token on slot 0
[14:53:02.881] [SEVERE ] removing player 2 token from slot 0
[14:53:02.881] [SEVERE ] player 2 placing token on slot 0
[14:53:02.881] [SEVERE ] removing player 2 token from slot 0
[14:53:02.881] [SEVERE ] player 2 placing token on slot 0
[14:53:02.882] [SEVERE ] removing player 2 token from slot 0
[14:53:02.875] [SEVERE ] player 3 placing token on slot 0
[14:53:02.875] [SEVERE ] removing player 1 token from slot 0
[14:53:02.882] [SEVERE ] removing player 4 token from slot 0
[14:53:02.883] [SEVERE ] player 4 placing token on slot 0
[14:53:02.883] [SEVERE ] removing player 3 token from slot 0
[14:53:02.883] [SEVERE ] player 2 placing token on slot 0
[14:53:02.883] [SEVERE ] player 1 placing token on slot 0
[14:53:02.883] [SEVERE ] removing player 4 token from slot 0
[14:53:02.884] [SEVERE ] player 4 placing token on slot 0
[14:53:02.884] [SEVERE ] removing player 4 token from slot 0
[14:53:02.883] [SEVERE ] player 3 placing token on slot 0
[14:53:02.884] [SEVERE ] removing player 2 token from slot 0
[14:53:02.884] [SEVERE ] player 4 placing token on slot 0
[14:53:02.884] [SEVERE ] removing player 1 token from slot 0
[14:53:02.886] [SEVERE ] removing player 4 token from slot 0
[14:53:02.886] [SEVERE ] player 4 placing token on slot 0
[14:53:02.885] [SEVERE ] removing player 3 token from slot 0
[14:53:02.885] [SEVERE ] player 2 placing token on slot 0
[14:53:02.912] [SEVERE ] player 1 placing token on slot 0
[14:53:02.912] [SEVERE ] player 3 placing token on slot 0
[14:53:02.913] [SEVERE ] removing player 2 token from slot 0
[14:53:02.913] [SEVERE ] removing player 4 token from slot 0
[14:53:02.914] [SEVERE ] player 2 placing token on slot 0
[14:53:02.914] [SEVERE ] removing player 3 token from slot 0
[14:53:02.914] [SEVERE ] player 4 placing token on slot 0
[14:53:02.914] [SEVERE ] removing player 2 token from slot 0
[14:53:02.915] [SEVERE ] player 2 placing token on slot 0
[14:53:02.915] [SEVERE ] removing player 2 token from slot 0
[14:53:02.915] [SEVERE ] player 2 placing token on slot 0
[14:53:02.922] [SEVERE ] removing player 2 token from slot 0
[14:53:02.922] [SEVERE ] removing player 1 token from slot 0
[14:53:02.922] [SEVERE ] removing player 4 token from slot 0
[14:53:02.923] [SEVERE ] player 1 placing token on slot 0
[14:53:02.923] [SEVERE ] player 2 placing token on slot 0
[14:53:02.924] [SEVERE ] removing player 2 token from slot 0
[14:53:02.924] [SEVERE ] removing player 1 token from slot 0
[14:53:02.924] [SEVERE ] player 2 placing token on slot 0
[14:53:02.924] [SEVERE ] player 1 placing token on slot 0
[14:53:02.925] [SEVERE ] removing player 2 token from slot 0
[14:53:02.925] [SEVERE ] removing player 1 token from slot 0
[14:53:02.925] [SEVERE ] player 2 placing token on slot 0
[14:53:02.926] [SEVERE ] removing player 2 token from slot 0
[14:53:02.926] [SEVERE ] player 2 placing token on slot 0
[14:53:02.926] [SEVERE ] removing player 2 token from slot 0
[14:53:02.926] [SEVERE ] player 2 placing token on slot 0
[14:53:02.929] [SEVERE ] removing player 2 token from slot 0
[14:53:02.929] [SEVERE ] player 2 placing token on slot 0
[14:53:02.933] [SEVERE ] removing player 2 token from slot 0
[14:53:02.933] [SEVERE ] player 1 placing token on slot 0
[14:53:02.933] [SEVERE ] player 4 placing token on slot 0
[14:53:02.933] [SEVERE ] player 3 placing token on slot 0
[14:53:02.936] [SEVERE ] removing player 1 token from slot 0
[14:53:02.934] [SEVERE ] player 2 placing token on slot 0
[14:53:02.937] [SEVERE ] removing player 2 token from slot 0
[14:53:02.937] [SEVERE ] player 2 placing token on slot 0
[14:53:02.937] [SEVERE ] removing player 2 token from slot 0
[14:53:02.938] [SEVERE ] player 2 placing token on slot 0
[14:53:02.938] [SEVERE ] removing player 2 token from slot 0
[14:53:02.938] [SEVERE ] player 1 placing token on slot 0
[14:53:02.939] [SEVERE ] player 2 placing token on slot 0
[14:53:02.939] [SEVERE ] removing player 2 token from slot 0
[14:53:02.939] [SEVERE ] player 2 placing token on slot 0
[14:53:02.939] [SEVERE ] removing player 2 token from slot 0
[14:53:02.940] [SEVERE ] player 2 placing token on slot 0
[14:53:02.940] [SEVERE ] removing player 2 token from slot 0
[14:53:02.940] [SEVERE ] removing player 1 token from slot 0
[14:53:02.945] [SEVERE ] removing player 4 token from slot 0
[14:53:02.945] [SEVERE ] removing player 3 token from slot 0
[14:53:02.945] [SEVERE ] player 1 placing token on slot 0
[14:53:02.945] [SEVERE ] player 2 placing token on slot 0
[14:53:02.947] [SEVERE ] removing player 2 token from slot 0
[14:53:02.947] [SEVERE ] player 2 placing token on slot 0
[14:53:02.947] [SEVERE ] removing player 2 token from slot 0
[14:53:02.947] [SEVERE ] player 2 placing token on slot 0
[14:53:02.947] [SEVERE ] removing player 2 token from slot 0
[14:53:02.948] [SEVERE ] player 2 placing token on slot 0
[14:53:02.946] [SEVERE ] player 3 placing token on slot 0
[14:53:02.948] [SEVERE ] player 4 placing token on slot 0
[14:53:02.956] [SEVERE ] removing player 1 token from slot 0
[14:53:02.956] [SEVERE ] removing player 4 token from slot 0
[14:53:02.956] [SEVERE ] removing player 2 token from slot 0
[14:53:02.956] [SEVERE ] removing player 3 token from slot 0
[14:53:02.956] [SEVERE ] player 2 placing token on slot 0
[14:53:02.958] [SEVERE ] player 4 placing token on slot 0
[14:53:02.958] [SEVERE ] player 1 placing token on slot 0
[14:53:02.959] [SEVERE ] removing player 4 token from slot 0
[14:53:02.959] [SEVERE ] removing player 1 token from slot 0
[14:53:02.959] [SEVERE ] player 1 placing token on slot 0
[14:53:02.960] [SEVERE ] player 4 placing token on slot 0
[14:53:02.960] [SEVERE ] removing player 1 token from slot 0
[14:53:02.961] [SEVERE ] player 1 placing token on slot 0
[14:53:02.961] [SEVERE ] removing player 1 token from slot 0
[14:53:02.961] [SEVERE ] player 1 placing token on slot 0
[14:53:02.962] [SEVERE ] removing player 4 token from slot 0
[14:53:02.963] [SEVERE ] removing player 1 token from slot 0
[14:53:02.971] [SEVERE ] player 3 placing token on slot 0
[14:53:02.971] [SEVERE ] removing player 2 token from slot 0
[14:53:02.971] [SEVERE ] player 1 placing token on slot 0
[14:53:02.971] [SEVERE ] player 4 placing token on slot 0
[14:53:02.972] [SEVERE ] player 2 placing token on slot 0
[14:53:02.972] [SEVERE ] removing player 1 token from slot 0
[14:53:02.972] [SEVERE ] removing player 4 token from slot 0
[14:53:02.972] [SEVERE ] player 1 placing token on slot 0
[14:53:02.972] [SEVERE ] player 4 placing token on slot 0
[14:53:02.972] [SEVERE ] removing player 2 token from slot 0
[14:53:02.972] [SEVERE ] removing player 1 token from slot 0
[14:53:02.975] [SEVERE ] removing player 4 token from slot 0
[14:53:02.975] [SEVERE ] removing player 3 token from slot 0
[14:53:02.975] [SEVERE ] player 2 placing token on slot 0
[14:53:02.975] [SEVERE ] player 4 placing token on slot 0
[14:53:02.978] [SEVERE ] player 3 placing token on slot 0
[14:53:02.978] [SEVERE ] removing player 4 token from slot 0
[14:53:02.978] [SEVERE ] removing player 2 token from slot 0
[14:53:02.978] [SEVERE ] player 1 placing token on slot 0
[14:53:02.979] [SEVERE ] player 2 placing token on slot 0
[14:53:02.978] [SEVERE ] player 4 placing token on slot 0
[14:53:02.978] [SEVERE ] removing player 3 token from slot 0
[14:53:02.979] [SEVERE ] removing player 4 token from slot 0
[14:53:02.979] [SEVERE ] removing player 2 token from slot 0
