[14:15:55.697] [INFO   ] thread main starting.
[14:15:55.702] [SEVERE ] cannot read configuration file config.properties trying from resources.
[14:15:55.703] [SEVERE ] configuration file was loaded from resources directory.
[14:15:56.184] [INFO   ] thread dealer starting.
[14:15:56.294] [SEVERE ] placing card 37 in slot 0
[14:15:56.294] [SEVERE ] player 1 placing token on slot 0
[14:15:56.298] [SEVERE ] removing player 1 token from slot 0
[14:15:56.298] [SEVERE ] player 1 placing token on slot 0
[14:15:56.299] [SEVERE ] player 4 placing token on slot 0
[14:15:56.299] [SEVERE ] removing player 1 token from slot 0
[14:15:56.300] [SEVERE ] player 2 placing token on slot 0
[14:15:56.302] [SEVERE ] removing player 2 token from slot 0
[14:15:56.302] [SEVERE ] player 2 placing token on slot 0
[14:15:56.303] [SEVERE ] removing player 2 token from slot 0
[14:15:56.303] [SEVERE ] player 2 placing token on slot 0
[14:15:56.300] [SEVERE ] player 3 placing token on slot 0
[14:15:56.299] [SEVERE ] removing player 4 token from slot 0
[14:15:56.304] [SEVERE ] removing player 3 token from slot 0
[14:15:56.303] [SEVERE ] removing player 2 token from slot 0
[14:15:56.302] [SEVERE ] player 1 placing token on slot 0
[14:15:56.304] [SEVERE ] player 2 placing token on slot 0
[14:15:56.304] [SEVERE ] removing player 2 token from slot 0
[14:15:56.305] [SEVERE ] player 2 placing token on slot 0
[14:15:56.305] [SEVERE ] removing player 2 token from slot 0
[14:15:56.321] [SEVERE ] player 2 placing token on slot 0
[14:15:56.322] [SEVERE ] removing player 2 token from slot 0
[14:15:56.322] [SEVERE ] player 2 placing token on slot 0
[14:15:56.325] [SEVERE ] removing player 2 token from slot 0
[14:15:56.326] [SEVERE ] player 4 placing token on slot 0
[14:15:56.326] [SEVERE ] removing player 4 token from slot 0
[14:15:56.326] [SEVERE ] player 4 placing token on slot 0
[14:15:56.327] [SEVERE ] player 2 placing token on slot 0
[14:15:56.329] [SEVERE ] removing player 2 token from slot 0
[14:15:56.329] [SEVERE ] player 2 placing token on slot 0
[14:15:56.329] [SEVERE ] removing player 2 token from slot 0
[14:15:56.330] [SEVERE ] player 2 placing token on slot 0
[14:15:56.330] [SEVERE ] removing player 4 token from slot 0
[14:15:56.330] [SEVERE ] removing player 1 token from slot 0
[14:15:56.330] [SEVERE ] removing player 2 token from slot 0
[14:15:56.331] [SEVERE ] player 4 placing token on slot 0
[14:15:56.331] [SEVERE ] player 2 placing token on slot 0
[14:15:56.331] [SEVERE ] removing player 4 token from slot 0
[14:15:56.332] [SEVERE ] removing player 2 token from slot 0
[14:15:56.332] [SEVERE ] player 4 placing token on slot 0
[14:15:56.333] [SEVERE ] player 1 placing token on slot 0
[14:15:56.333] [SEVERE ] player 2 placing token on slot 0
[14:15:56.333] [SEVERE ] removing player 4 token from slot 0
[14:15:56.333] [SEVERE ] removing player 2 token from slot 0
[14:15:56.333] [SEVERE ] player 4 placing token on slot 0
[14:15:56.334] [SEVERE ] player 3 placing token on slot 0
[14:15:56.334] [SEVERE ] removing player 4 token from slot 0
[14:15:56.333] [SEVERE ] removing player 1 token from slot 0
[14:15:56.333] [SEVERE ] player 2 placing token on slot 0
[14:15:56.334] [SEVERE ] removing player 3 token from slot 0
[14:15:56.334] [SEVERE ] removing player 2 token from slot 0
[14:15:56.335] [SEVERE ] player 2 placing token on slot 0
[14:15:56.335] [SEVERE ] removing player 2 token from slot 0
[14:15:56.335] [SEVERE ] player 2 placing token on slot 0
[14:15:56.335] [SEVERE ] removing player 2 token from slot 0
[14:15:56.335] [SEVERE ] player 1 placing token on slot 0
[14:15:56.336] [SEVERE ] player 3 placing token on slot 0
[14:15:56.336] [SEVERE ] player 2 placing token on slot 0
[14:15:56.336] [SEVERE ] player 4 placing token on slot 0
[14:15:56.336] [SEVERE ] removing player 1 token from slot 0
[14:15:56.336] [SEVERE ] removing player 2 token from slot 0
[14:15:56.336] [SEVERE ] removing player 4 token from slot 0
[14:15:56.337] [SEVERE ] player 2 placing token on slot 0
[14:15:56.337] [SEVERE ] removing player 2 token from slot 0
[14:15:56.339] [SEVERE ] player 4 placing token on slot 0
[14:15:56.339] [SEVERE ] player 2 placing token on slot 0
[14:15:56.339] [SEVERE ] player 1 placing token on slot 0
[14:15:56.340] [SEVERE ] removing player 2 token from slot 0
[14:15:56.340] [SEVERE ] removing player 4 token from slot 0
[14:15:56.340] [SEVERE ] player 2 placing token on slot 0
[14:15:56.340] [SEVERE ] player 4 placing token on slot 0
[14:15:56.340] [SEVERE ] removing player 1 token from slot 0
[14:15:56.340] [SEVERE ] removing player 2 token from slot 0
[14:15:56.341] [SEVERE ] player 2 placing token on slot 0
[14:15:56.341] [SEVERE ] removing player 2 token from slot 0
[14:15:56.342] [SEVERE ] removing player 3 token from slot 0
[14:15:56.343] [SEVERE ] player 2 placing token on slot 0
[14:15:56.342] [SEVERE ] removing player 4 token from slot 0
[14:15:56.343] [SEVERE ] removing player 2 token from slot 0
[14:15:56.343] [SEVERE ] player 4 placing token on slot 0
[14:15:56.344] [SEVERE ] player 2 placing token on slot 0
[14:15:56.344] [SEVERE ] removing player 2 token from slot 0
[14:15:56.344] [SEVERE ] player 2 placing token on slot 0
[14:15:56.345] [SEVERE ] removing player 2 token from slot 0
[14:15:56.345] [SEVERE ] player 2 placing token on slot 0
[14:15:56.345] [SEVERE ] removing player 2 token from slot 0
[14:15:56.345] [SEVERE ] player 2 placing token on slot 0
[14:15:56.345] [SEVERE ] removing player 2 token from slot 0
[14:15:56.346] [SEVERE ] player 2 placing token on slot 0
[14:15:56.346] [SEVERE ] removing player 2 token from slot 0
[14:15:56.346] [SEVERE ] player 3 placing token on slot 0
[14:15:56.346] [SEVERE ] removing player 4 token from slot 0
[14:15:56.346] [SEVERE ] player 2 placing token on slot 0
[14:15:56.346] [SEVERE ] player 1 placing token on slot 0
[14:15:56.347] [SEVERE ] player 4 placing token on slot 0
[14:15:56.348] [SEVERE ] removing player 1 token from slot 0
[14:15:56.347] [SEVERE ] removing player 2 token from slot 0
[14:15:56.348] [SEVERE ] removing player 4 token from slot 0
[14:15:56.348] [SEVERE ] player 2 placing token on slot 0
[14:15:56.349] [SEVERE ] removing player 2 token from slot 0
[14:15:56.350] [SEVERE ] removing player 3 token from slot 0
[14:15:56.361] [SEVERE ] player 2 placing token on slot 0
[14:15:56.361] [SEVERE ] player 1 placing token on slot 0
[14:15:56.361] [SEVERE ] player 4 placing token on slot 0
[14:15:56.362] [SEVERE ] removing player 1 token from slot 0
[14:15:56.362] [SEVERE ] removing player 2 token from slot 0
[14:15:56.362] [SEVERE ] player 2 placing token on slot 0
[14:15:56.362] [SEVERE ] removing player 2 token from slot 0
[14:15:56.363] [SEVERE ] player 2 placing token on slot 0
[14:15:56.362] [SEVERE ] player 3 placing token on slot 0
[14:15:56.368] [SEVERE ] removing player 3 token from slot 0
[14:15:56.368] [SEVERE ] removing player 2 token from slot 0
[14:15:56.368] [SEVERE ] player 1 placing token on slot 0
[14:15:56.369] [SEVERE ] player 2 placing token on slot 0
[14:15:56.369] [SEVERE ] removing player 2 token from slot 0
[14:15:56.369] [SEVERE ] player 3 placing token on slot 0
[14:15:56.369] [SEVERE ] player 2 placing token on slot 0
[14:15:56.369] [SEVERE ] removing player 1 token from slot 0
[14:15:56.369] [SEVERE ] removing player 3 token from slot 0
[14:15:56.370] [SEVERE ] player 1 placing token on slot 0
[14:15:56.370] [SEVERE ] removing player 2 token from slot 0
[14:15:56.370] [SEVERE ] player 3 placing token on slot 0
[14:15:56.370] [SEVERE ] removing player 1 token from slot 0
[14:15:56.370] [SEVERE ] player 2 placing token on slot 0
[14:15:56.371] [SEVERE ] removing player 4 token from slot 0
[14:15:56.371] [SEVERE ] removing player 3 token from slot 0
[14:15:56.371] [SEVERE ] player 1 placing token on slot 0
[14:15:56.371] [SEVERE ] removing player 2 token from slot 0
[14:15:56.372] [SEVERE ] removing player 1 token from slot 0
[14:15:56.371] [SEVERE ] player 3 placing token on slot 0
[14:15:56.371] [SEVERE ] player 4 placing token on slot 0
[14:15:56.372] [SEVERE ] removing player 3 token from slot 0
[14:15:56.372] [SEVERE ] player 1 placing token on slot 0
[14:15:56.372] [SEVERE ] player 2 placing token on slot 0
[14:15:56.372] [SEVERE ] player 3 placing token on slot 0
[14:15:56.372] [SEVERE ] removing player 4 token from slot 0
[14:15:56.373] [SEVERE ] removing player 3 token from slot 0
[14:15:56.372] [SEVERE ] removing player 1 token from slot 0
[14:15:56.372] [SEVERE ] removing player 2 token from slot 0
[14:15:56.373] [SEVERE ] player 1 placing token on slot 0
[14:15:56.373] [SEVERE ] player 3 placing token on slot 0
[14:15:56.373] [SEVERE ] player 4 placing token on slot 0
[14:15:56.373] [SEVERE ] removing player 3 token from slot 0
[14:15:56.373] [SEVERE ] removing player 1 token from slot 0
[14:15:56.373] [SEVERE ] player 2 placing token on slot 0
[14:15:56.374] [SEVERE ] player 3 placing token on slot 0
[14:15:56.373] [SEVERE ] removing player 4 token from slot 0
[14:15:56.374] [SEVERE ] removing player 3 token from slot 0
[14:15:56.374] [SEVERE ] removing player 2 token from slot 0
[14:15:56.374] [SEVERE ] player 3 placing token on slot 0
[14:15:56.374] [SEVERE ] player 1 placing token on slot 0
[14:15:56.374] [SEVERE ] removing player 3 token from slot 0
[14:15:56.374] [SEVERE ] player 2 placing token on slot 0
[14:15:56.374] [SEVERE ] player 4 placing token on slot 0
[14:15:56.376] [SEVERE ] removing player 2 token from slot 0
[14:15:56.375] [SEVERE ] removing player 1 token from slot 0
[14:15:56.377] [SEVERE ] player 2 placing token on slot 0
[14:15:56.377] [SEVERE ] player 3 placing token on slot 0
[14:15:56.376] [SEVERE ] removing player 4 token from slot 0
[14:15:56.377] [SEVERE ] removing player 3 token from slot 0
[14:15:56.377] [SEVERE ] removing player 2 token from slot 0
[14:15:56.377] [SEVERE ] player 1 placing token on slot 0
[14:15:56.377] [SEVERE ] player 2 placing token on slot 0
[14:15:56.377] [SEVERE ] player 3 placing token on slot 0
[14:15:56.377] [SEVERE ] player 4 placing token on slot 0
[14:15:56.378] [SEVERE ] removing player 1 token from slot 0
[14:15:56.378] [SEVERE ] removing player 3 token from slot 0
[14:15:56.378] [SEVERE ] removing player 2 token from slot 0
[14:15:56.378] [SEVERE ] player 1 placing token on slot 0
[14:15:56.378] [SEVERE ] removing player 4 token from slot 0
[14:15:56.378] [SEVERE ] player 3 placing token on slot 0
[14:15:56.378] [SEVERE ] player 2 placing token on slot 0
