[14:48:10.665] [INFO   ] thread main starting.
[14:48:10.672] [SEVERE ] cannot read configuration file config.properties trying from resources.
[14:48:10.674] [SEVERE ] configuration file was loaded from resources directory.
[14:48:11.107] [INFO   ] thread dealer starting.
[14:48:11.228] [SEVERE ] placing card 30 in slot 0
[14:48:11.233] [SEVERE ] player 2 placing token on slot 0
[14:48:11.234] [SEVERE ] removing player 2 token from slot 0
[14:48:11.234] [SEVERE ] player 2 placing token on slot 0
[14:48:11.235] [SEVERE ] removing player 2 token from slot 0
[14:48:11.235] [SEVERE ] player 2 placing token on slot 0
[14:48:11.240] [SEVERE ] player 3 placing token on slot 0
[14:48:11.241] [SEVERE ] player 1 placing token on slot 0
[14:48:11.241] [SEVERE ] removing player 3 token from slot 0
[14:48:11.240] [SEVERE ] removing player 2 token from slot 0
[14:48:11.240] [SEVERE ] player 4 placing token on slot 0
[14:48:11.241] [SEVERE ] player 3 placing token on slot 0
[14:48:11.242] [SEVERE ] removing player 3 token from slot 0
[14:48:11.242] [SEVERE ] removing player 4 token from slot 0
[14:48:11.242] [SEVERE ] player 3 placing token on slot 0
[14:48:11.242] [SEVERE ] removing player 3 token from slot 0
[14:48:11.243] [SEVERE ] player 3 placing token on slot 0
[14:48:11.243] [SEVERE ] removing player 3 token from slot 0
[14:48:11.254] [SEVERE ] player 3 placing token on slot 0
[14:48:11.254] [SEVERE ] removing player 1 token from slot 0
[14:48:11.254] [SEVERE ] player 4 placing token on slot 0
[14:48:11.254] [SEVERE ] player 2 placing token on slot 0
[14:48:11.255] [SEVERE ] removing player 4 token from slot 0
[14:48:11.255] [SEVERE ] player 4 placing token on slot 0
[14:48:11.256] [SEVERE ] removing player 4 token from slot 0
[14:48:11.256] [SEVERE ] player 4 placing token on slot 0
[14:48:11.256] [SEVERE ] removing player 4 token from slot 0
[14:48:11.257] [SEVERE ] player 4 placing token on slot 0
[14:48:11.257] [SEVERE ] removing player 4 token from slot 0
[14:48:11.257] [SEVERE ] player 4 placing token on slot 0
[14:48:11.255] [SEVERE ] player 1 placing token on slot 0
[14:48:11.255] [SEVERE ] removing player 3 token from slot 0
[14:48:11.257] [SEVERE ] removing player 1 token from slot 0
