[21:36:28.244] [INFO   ] thread main starting.
[21:36:28.249] [SEVERE ] cannot read configuration file config.properties trying from resources.
[21:36:28.251] [SEVERE ] configuration file was loaded from resources directory.
[21:36:28.742] [INFO   ] thread dealer starting.
[21:36:28.854] [SEVERE ] placing card 26 in slot 0
[21:36:28.855] [SEVERE ] player 2 placing token on slot 0
[21:36:28.854] [SEVERE ] player 3 placing token on slot 0
[21:36:28.854] [SEVERE ] player 5 placing token on slot 0
[21:36:28.856] [SEVERE ] removing player 3 token from slot 0
[21:36:28.854] [SEVERE ] player 4 placing token on slot 0
[21:36:28.857] [SEVERE ] player 3 placing token on slot 0
[21:36:28.856] [SEVERE ] removing player 2 token from slot 0
[21:36:28.856] [SEVERE ] removing player 5 token from slot 0
[21:36:28.868] [SEVERE ] player 5 placing token on slot 0
[21:36:28.868] [SEVERE ] removing player 5 token from slot 0
[21:36:28.861] [SEVERE ] removing player 4 token from slot 0
[21:36:28.868] [SEVERE ] player 5 placing token on slot 0
[21:36:28.868] [SEVERE ] removing player 3 token from slot 0
[21:36:28.868] [SEVERE ] player 2 placing token on slot 0
[21:36:28.869] [SEVERE ] removing player 5 token from slot 0
[21:36:28.869] [SEVERE ] player 4 placing token on slot 0
[21:36:28.871] [SEVERE ] player 5 placing token on slot 0
[21:36:28.872] [SEVERE ] removing player 5 token from slot 0
[21:36:28.872] [SEVERE ] player 5 placing token on slot 0
[21:36:28.872] [SEVERE ] removing player 5 token from slot 0
[21:36:28.872] [SEVERE ] player 5 placing token on slot 0
[21:36:28.872] [SEVERE ] removing player 5 token from slot 0
[21:36:28.872] [SEVERE ] player 5 placing token on slot 0
[21:36:28.872] [SEVERE ] removing player 5 token from slot 0
[21:36:28.871] [SEVERE ] player 3 placing token on slot 0
[21:36:28.873] [SEVERE ] removing player 3 token from slot 0
[21:36:28.873] [SEVERE ] player 3 placing token on slot 0
[21:36:28.874] [SEVERE ] removing player 3 token from slot 0
[21:36:28.874] [SEVERE ] player 3 placing token on slot 0
[21:36:28.874] [SEVERE ] removing player 3 token from slot 0
[21:36:28.874] [SEVERE ] player 5 placing token on slot 0
[21:36:28.874] [SEVERE ] removing player 5 token from slot 0
