[21:27:11.630] [INFO   ] thread main starting.
[21:27:11.635] [SEVERE ] cannot read configuration file config.properties trying from resources.
[21:27:11.637] [SEVERE ] configuration file was loaded from resources directory.
[21:27:12.145] [INFO   ] thread dealer starting.
[21:27:12.262] [SEVERE ] player 5 placing token on slot 0
[21:27:12.262] [SEVERE ] placing card 24 in slot 0
[21:27:12.268] [SEVERE ] player 3 placing token on slot 0
[21:27:12.277] [SEVERE ] player 2 placing token on slot 0
[21:27:12.277] [SEVERE ] player 4 placing token on slot 0
[21:27:12.278] [SEVERE ] removing player 4 token from slot 0
[21:27:12.287] [SEVERE ] removing player 3 token from slot 0
[21:27:12.281] [SEVERE ] removing player 5 token from slot 0
[21:27:12.288] [SEVERE ] player 3 placing token on slot 0
[21:27:12.287] [SEVERE ] player 4 placing token on slot 0
[21:27:12.289] [SEVERE ] removing player 4 token from slot 0
[21:27:12.289] [SEVERE ] player 4 placing token on slot 0
[21:27:12.290] [SEVERE ] removing player 4 token from slot 0
[21:27:12.290] [SEVERE ] player 4 placing token on slot 0
[21:27:12.290] [SEVERE ] removing player 4 token from slot 0
[21:27:12.290] [SEVERE ] player 4 placing token on slot 0
[21:27:12.290] [SEVERE ] removing player 4 token from slot 0
[21:27:12.291] [SEVERE ] player 4 placing token on slot 0
[21:27:12.291] [SEVERE ] removing player 4 token from slot 0
[21:27:12.291] [SEVERE ] player 4 placing token on slot 0
[21:27:12.291] [SEVERE ] removing player 4 token from slot 0
[21:27:12.291] [SEVERE ] player 4 placing token on slot 0
[21:27:12.292] [SEVERE ] removing player 4 token from slot 0
[21:27:12.292] [SEVERE ] player 4 placing token on slot 0
[21:27:12.292] [SEVERE ] removing player 4 token from slot 0
[21:27:12.292] [SEVERE ] player 4 placing token on slot 0
[21:27:12.292] [SEVERE ] removing player 4 token from slot 0
[21:27:12.292] [SEVERE ] player 4 placing token on slot 0
[21:27:12.293] [SEVERE ] removing player 4 token from slot 0
[21:27:12.293] [SEVERE ] player 4 placing token on slot 0
[21:27:12.293] [SEVERE ] removing player 4 token from slot 0
[21:27:12.293] [SEVERE ] player 4 placing token on slot 0
[21:27:12.293] [SEVERE ] removing player 4 token from slot 0
[21:27:12.294] [SEVERE ] player 4 placing token on slot 0
[21:27:12.294] [SEVERE ] removing player 4 token from slot 0
[21:27:12.294] [SEVERE ] player 4 placing token on slot 0
[21:27:12.294] [SEVERE ] removing player 4 token from slot 0
[21:27:12.294] [SEVERE ] player 4 placing token on slot 0
[21:27:12.295] [SEVERE ] removing player 4 token from slot 0
[21:27:12.295] [SEVERE ] player 4 placing token on slot 0
[21:27:12.290] [SEVERE ] removing player 3 token from slot 0
[21:27:12.295] [SEVERE ] removing player 4 token from slot 0
[21:27:12.298] [SEVERE ] player 5 placing token on slot 0
[21:27:12.298] [SEVERE ] player 4 placing token on slot 0
[21:27:12.298] [SEVERE ] removing player 5 token from slot 0
[21:27:12.298] [SEVERE ] removing player 4 token from slot 0
[21:27:12.298] [SEVERE ] player 4 placing token on slot 0
[21:27:12.299] [SEVERE ] removing player 4 token from slot 0
[21:27:12.299] [SEVERE ] player 4 placing token on slot 0
[21:27:12.299] [SEVERE ] removing player 4 token from slot 0
[21:27:12.299] [SEVERE ] player 4 placing token on slot 0
[21:27:12.300] [SEVERE ] player 5 placing token on slot 0
[21:27:12.300] [SEVERE ] removing player 4 token from slot 0
[21:27:12.300] [SEVERE ] removing player 5 token from slot 0
[21:27:12.300] [SEVERE ] player 4 placing token on slot 0
[21:27:12.300] [SEVERE ] player 5 placing token on slot 0
[21:27:12.301] [SEVERE ] removing player 4 token from slot 0
[21:27:12.301] [SEVERE ] player 4 placing token on slot 0
[21:27:12.301] [SEVERE ] removing player 4 token from slot 0
[21:27:12.301] [SEVERE ] player 4 placing token on slot 0
[21:27:12.301] [SEVERE ] removing player 4 token from slot 0
[21:27:12.301] [SEVERE ] player 4 placing token on slot 0
[21:27:12.302] [SEVERE ] removing player 4 token from slot 0
[21:27:12.302] [SEVERE ] player 4 placing token on slot 0
[21:27:12.301] [SEVERE ] player 3 placing token on slot 0
[21:27:12.302] [SEVERE ] removing player 4 token from slot 0
[21:27:12.303] [SEVERE ] removing player 3 token from slot 0
[21:27:12.303] [SEVERE ] player 4 placing token on slot 0
[21:27:12.303] [SEVERE ] removing player 4 token from slot 0
[21:27:12.303] [SEVERE ] player 3 placing token on slot 0
[21:27:12.303] [SEVERE ] removing player 5 token from slot 0
[21:27:12.303] [SEVERE ] player 4 placing token on slot 0
[21:27:12.305] [SEVERE ] player 5 placing token on slot 0
[21:27:12.305] [SEVERE ] removing player 4 token from slot 0
[21:27:12.305] [SEVERE ] removing player 5 token from slot 0
[21:27:12.305] [SEVERE ] player 4 placing token on slot 0
[21:27:12.305] [SEVERE ] removing player 4 token from slot 0
[21:27:12.305] [SEVERE ] player 5 placing token on slot 0
[21:27:12.305] [SEVERE ] player 4 placing token on slot 0
[21:27:12.306] [SEVERE ] removing player 5 token from slot 0
[21:27:12.306] [SEVERE ] removing player 4 token from slot 0
[21:27:12.306] [SEVERE ] player 5 placing token on slot 0
[21:27:12.306] [SEVERE ] player 4 placing token on slot 0
[21:27:12.306] [SEVERE ] removing player 5 token from slot 0
[21:27:12.306] [SEVERE ] removing player 4 token from slot 0
[21:27:12.307] [SEVERE ] player 5 placing token on slot 0
[21:27:12.307] [SEVERE ] player 4 placing token on slot 0
[21:27:12.307] [SEVERE ] removing player 4 token from slot 0
[21:27:12.307] [SEVERE ] player 4 placing token on slot 0
[21:27:12.307] [SEVERE ] removing player 4 token from slot 0
[21:27:12.307] [SEVERE ] player 4 placing token on slot 0
[21:27:12.308] [SEVERE ] removing player 4 token from slot 0
[21:27:12.308] [SEVERE ] player 4 placing token on slot 0
[21:27:12.308] [SEVERE ] removing player 4 token from slot 0
[21:27:12.308] [SEVERE ] player 4 placing token on slot 0
[21:27:12.308] [SEVERE ] removing player 4 token from slot 0
[21:27:12.309] [SEVERE ] player 4 placing token on slot 0
[21:27:12.309] [SEVERE ] removing player 4 token from slot 0
[21:27:12.309] [SEVERE ] player 4 placing token on slot 0
[21:27:12.309] [SEVERE ] removing player 4 token from slot 0
[21:27:12.309] [SEVERE ] player 4 placing token on slot 0
[21:27:12.309] [SEVERE ] removing player 4 token from slot 0
[21:27:12.309] [SEVERE ] player 4 placing token on slot 0
[21:27:12.310] [SEVERE ] removing player 4 token from slot 0
[21:27:12.310] [SEVERE ] player 4 placing token on slot 0
[21:27:12.310] [SEVERE ] removing player 4 token from slot 0
[21:27:12.310] [SEVERE ] player 4 placing token on slot 0
[21:27:12.310] [SEVERE ] removing player 4 token from slot 0
[21:27:12.311] [SEVERE ] player 4 placing token on slot 0
[21:27:12.311] [SEVERE ] removing player 4 token from slot 0
[21:27:12.311] [SEVERE ] player 4 placing token on slot 0
[21:27:12.311] [SEVERE ] removing player 4 token from slot 0
[21:27:12.311] [SEVERE ] player 4 placing token on slot 0
[21:27:12.311] [SEVERE ] removing player 4 token from slot 0
[21:27:12.311] [SEVERE ] player 4 placing token on slot 0
[21:27:12.312] [SEVERE ] removing player 4 token from slot 0
[21:27:12.312] [SEVERE ] player 4 placing token on slot 0
[21:27:12.312] [SEVERE ] removing player 4 token from slot 0
[21:27:12.312] [SEVERE ] player 4 placing token on slot 0
[21:27:12.312] [SEVERE ] removing player 4 token from slot 0
[21:27:12.313] [SEVERE ] player 4 placing token on slot 0
[21:27:12.313] [SEVERE ] removing player 4 token from slot 0
[21:27:12.313] [SEVERE ] player 4 placing token on slot 0
[21:27:12.313] [SEVERE ] removing player 4 token from slot 0
[21:27:12.313] [SEVERE ] player 4 placing token on slot 0
[21:27:12.314] [SEVERE ] removing player 4 token from slot 0
[21:27:12.314] [SEVERE ] player 4 placing token on slot 0
[21:27:12.314] [SEVERE ] removing player 4 token from slot 0
[21:27:12.314] [SEVERE ] player 4 placing token on slot 0
[21:27:12.314] [SEVERE ] removing player 4 token from slot 0
[21:27:12.314] [SEVERE ] player 4 placing token on slot 0
[21:27:12.315] [SEVERE ] removing player 4 token from slot 0
[21:27:12.315] [SEVERE ] player 4 placing token on slot 0
[21:27:12.315] [SEVERE ] removing player 4 token from slot 0
[21:27:12.315] [SEVERE ] player 4 placing token on slot 0
[21:27:12.316] [SEVERE ] removing player 4 token from slot 0
[21:27:12.316] [SEVERE ] player 4 placing token on slot 0
[21:27:12.316] [SEVERE ] removing player 4 token from slot 0
[21:27:12.316] [SEVERE ] player 4 placing token on slot 0
[21:27:12.317] [SEVERE ] removing player 4 token from slot 0
[21:27:12.317] [SEVERE ] player 4 placing token on slot 0
[21:27:12.317] [SEVERE ] removing player 4 token from slot 0
[21:27:12.317] [SEVERE ] player 4 placing token on slot 0
[21:27:12.317] [SEVERE ] removing player 4 token from slot 0
[21:27:12.317] [SEVERE ] player 4 placing token on slot 0
[21:27:12.318] [SEVERE ] removing player 4 token from slot 0
[21:27:12.318] [SEVERE ] player 4 placing token on slot 0
[21:27:12.318] [SEVERE ] removing player 4 token from slot 0
[21:27:12.318] [SEVERE ] player 4 placing token on slot 0
[21:27:12.318] [SEVERE ] removing player 4 token from slot 0
[21:27:12.318] [SEVERE ] removing player 5 token from slot 0
[21:27:12.319] [SEVERE ] player 4 placing token on slot 0
[21:27:12.319] [SEVERE ] removing player 4 token from slot 0
[21:27:12.319] [SEVERE ] player 4 placing token on slot 0
[21:27:12.319] [SEVERE ] removing player 4 token from slot 0
[21:27:12.320] [SEVERE ] player 4 placing token on slot 0
[21:27:12.320] [SEVERE ] removing player 4 token from slot 0
[21:27:12.320] [SEVERE ] player 4 placing token on slot 0
[21:27:12.320] [SEVERE ] removing player 4 token from slot 0
[21:27:12.320] [SEVERE ] player 4 placing token on slot 0
[21:27:12.320] [SEVERE ] removing player 4 token from slot 0
[21:27:12.321] [SEVERE ] player 4 placing token on slot 0
[21:27:12.321] [SEVERE ] removing player 4 token from slot 0
[21:27:12.321] [SEVERE ] player 4 placing token on slot 0
[21:27:12.321] [SEVERE ] removing player 4 token from slot 0
[21:27:12.321] [SEVERE ] player 4 placing token on slot 0
[21:27:12.321] [SEVERE ] removing player 4 token from slot 0
[21:27:12.322] [SEVERE ] player 4 placing token on slot 0
[21:27:12.322] [SEVERE ] removing player 4 token from slot 0
[21:27:12.322] [SEVERE ] player 4 placing token on slot 0
[21:27:12.322] [SEVERE ] removing player 4 token from slot 0
[21:27:12.322] [SEVERE ] player 4 placing token on slot 0
[21:27:12.323] [SEVERE ] removing player 4 token from slot 0
[21:27:12.323] [SEVERE ] player 4 placing token on slot 0
[21:27:12.323] [SEVERE ] removing player 4 token from slot 0
[21:27:12.323] [SEVERE ] player 4 placing token on slot 0
[21:27:12.323] [SEVERE ] removing player 4 token from slot 0
[21:27:12.323] [SEVERE ] player 4 placing token on slot 0
[21:27:12.323] [SEVERE ] removing player 4 token from slot 0
[21:27:12.324] [SEVERE ] player 4 placing token on slot 0
[21:27:12.324] [SEVERE ] removing player 4 token from slot 0
[21:27:12.324] [SEVERE ] player 4 placing token on slot 0
[21:27:12.324] [SEVERE ] removing player 4 token from slot 0
[21:27:12.324] [SEVERE ] player 4 placing token on slot 0
[21:27:12.324] [SEVERE ] removing player 4 token from slot 0
[21:27:12.324] [SEVERE ] player 4 placing token on slot 0
[21:27:12.325] [SEVERE ] removing player 4 token from slot 0
[21:27:12.325] [SEVERE ] player 4 placing token on slot 0
[21:27:12.325] [SEVERE ] removing player 4 token from slot 0
[21:27:12.325] [SEVERE ] player 4 placing token on slot 0
[21:27:12.325] [SEVERE ] removing player 4 token from slot 0
[21:27:12.326] [SEVERE ] player 4 placing token on slot 0
[21:27:12.326] [SEVERE ] removing player 4 token from slot 0
[21:27:12.326] [SEVERE ] player 4 placing token on slot 0
[21:27:12.326] [SEVERE ] removing player 4 token from slot 0
[21:27:12.327] [SEVERE ] player 4 placing token on slot 0
[21:27:12.327] [SEVERE ] removing player 4 token from slot 0
[21:27:12.327] [SEVERE ] player 4 placing token on slot 0
[21:27:12.327] [SEVERE ] removing player 4 token from slot 0
