[15:07:52.881] [INFO   ] thread main starting.
[15:07:52.887] [SEVERE ] cannot read configuration file config.properties trying from resources.
[15:07:52.889] [SEVERE ] configuration file was loaded from resources directory.
[15:07:53.337] [INFO   ] thread dealer starting.
[15:07:53.454] [SEVERE ] placing card 33 in slot 0
[15:07:53.456] [SEVERE ] player 4 placing token on slot 0
[15:07:53.456] [SEVERE ] player 3 placing token on slot 0
[15:07:53.456] [SEVERE ] player 2 placing token on slot 0
[15:07:53.457] [SEVERE ] player 1 placing token on slot 0
[15:07:53.457] [SEVERE ] removing player 4 token from slot 0
[15:07:53.458] [SEVERE ] removing player 1 token from slot 0
[15:07:53.461] [SEVERE ] player 4 placing token on slot 0
[15:07:53.461] [SEVERE ] player 1 placing token on slot 0
[15:07:53.462] [SEVERE ] removing player 1 token from slot 0
[15:07:53.462] [SEVERE ] player 1 placing token on slot 0
[15:07:53.462] [SEVERE ] removing player 1 token from slot 0
[15:07:53.462] [SEVERE ] player 1 placing token on slot 0
[15:07:53.464] [SEVERE ] removing player 1 token from slot 0
[15:07:53.464] [SEVERE ] removing player 2 token from slot 0
[15:07:53.464] [SEVERE ] removing player 4 token from slot 0
[15:07:53.465] [SEVERE ] player 2 placing token on slot 0
[15:07:53.464] [SEVERE ] player 1 placing token on slot 0
[15:07:53.466] [SEVERE ] removing player 2 token from slot 0
[15:07:53.467] [SEVERE ] removing player 1 token from slot 0
[15:07:53.467] [SEVERE ] player 2 placing token on slot 0
[15:07:53.467] [SEVERE ] player 1 placing token on slot 0
[15:07:53.468] [SEVERE ] removing player 1 token from slot 0
[15:07:53.468] [SEVERE ] player 1 placing token on slot 0
[15:07:53.468] [SEVERE ] removing player 1 token from slot 0
[15:07:53.469] [SEVERE ] player 4 placing token on slot 0
[15:07:53.468] [SEVERE ] removing player 2 token from slot 0
[15:07:53.481] [SEVERE ] removing player 3 token from slot 0
[15:07:53.481] [SEVERE ] removing player 4 token from slot 0
[15:07:53.481] [SEVERE ] player 1 placing token on slot 0
[15:07:53.481] [SEVERE ] player 2 placing token on slot 0
[15:07:53.481] [SEVERE ] player 4 placing token on slot 0
[15:07:53.482] [SEVERE ] removing player 4 token from slot 0
[15:07:53.482] [SEVERE ] player 4 placing token on slot 0
[15:07:53.482] [SEVERE ] removing player 4 token from slot 0
[15:07:53.481] [SEVERE ] player 3 placing token on slot 0
[15:07:53.482] [SEVERE ] player 4 placing token on slot 0
[15:07:53.484] [SEVERE ] removing player 3 token from slot 0
[15:07:53.488] [SEVERE ] removing player 4 token from slot 0
[15:07:53.488] [SEVERE ] removing player 2 token from slot 0
[15:07:53.488] [SEVERE ] player 3 placing token on slot 0
[15:07:53.489] [SEVERE ] removing player 1 token from slot 0
[15:07:53.488] [SEVERE ] player 4 placing token on slot 0
[15:07:53.489] [SEVERE ] player 1 placing token on slot 0
[15:07:53.489] [SEVERE ] removing player 4 token from slot 0
[15:07:53.489] [SEVERE ] removing player 1 token from slot 0
[15:07:53.490] [SEVERE ] player 4 placing token on slot 0
[15:07:53.490] [SEVERE ] player 1 placing token on slot 0
[15:07:53.490] [SEVERE ] removing player 1 token from slot 0
[15:07:53.491] [SEVERE ] player 1 placing token on slot 0
[15:07:53.491] [SEVERE ] removing player 1 token from slot 0
[15:07:53.491] [SEVERE ] player 1 placing token on slot 0
[15:07:53.492] [SEVERE ] removing player 1 token from slot 0
[15:07:53.492] [SEVERE ] player 1 placing token on slot 0
[15:07:53.497] [SEVERE ] player 2 placing token on slot 0
[15:07:53.497] [SEVERE ] removing player 3 token from slot 0
[15:07:53.497] [SEVERE ] removing player 1 token from slot 0
[15:07:53.498] [SEVERE ] player 3 placing token on slot 0
[15:07:53.498] [SEVERE ] removing player 2 token from slot 0
[15:07:53.498] [SEVERE ] player 2 placing token on slot 0
[15:07:53.499] [SEVERE ] removing player 2 token from slot 0
[15:07:53.499] [SEVERE ] player 2 placing token on slot 0
[15:07:53.499] [SEVERE ] removing player 2 token from slot 0
[15:07:53.504] [SEVERE ] removing player 3 token from slot 0
[15:07:53.504] [SEVERE ] player 2 placing token on slot 0
[15:07:53.504] [SEVERE ] player 1 placing token on slot 0
[15:07:53.504] [SEVERE ] removing player 2 token from slot 0
[15:07:53.504] [SEVERE ] player 3 placing token on slot 0
[15:07:53.505] [SEVERE ] player 2 placing token on slot 0
[15:07:53.505] [SEVERE ] removing player 4 token from slot 0
[15:07:53.505] [SEVERE ] removing player 1 token from slot 0
[15:07:53.506] [SEVERE ] removing player 2 token from slot 0
[15:07:53.508] [SEVERE ] player 2 placing token on slot 0
[15:07:53.508] [SEVERE ] removing player 3 token from slot 0
[15:07:53.508] [SEVERE ] player 1 placing token on slot 0
[15:07:53.508] [SEVERE ] removing player 2 token from slot 0
[15:07:53.508] [SEVERE ] player 4 placing token on slot 0
[15:07:53.509] [SEVERE ] removing player 1 token from slot 0
[15:07:53.509] [SEVERE ] player 2 placing token on slot 0
[15:07:53.509] [SEVERE ] removing player 4 token from slot 0
[15:07:53.509] [SEVERE ] player 1 placing token on slot 0
[15:07:53.509] [SEVERE ] removing player 2 token from slot 0
[15:07:53.512] [SEVERE ] player 2 placing token on slot 0
[15:07:53.512] [SEVERE ] player 4 placing token on slot 0
[15:07:53.512] [SEVERE ] removing player 1 token from slot 0
[15:07:53.512] [SEVERE ] player 3 placing token on slot 0
[15:07:53.512] [SEVERE ] removing player 4 token from slot 0
[15:07:53.512] [SEVERE ] player 1 placing token on slot 0
[15:07:53.512] [SEVERE ] removing player 2 token from slot 0
[15:07:53.513] [SEVERE ] player 4 placing token on slot 0
[15:07:53.513] [SEVERE ] removing player 1 token from slot 0
[15:07:53.512] [SEVERE ] removing player 3 token from slot 0
[15:07:53.513] [SEVERE ] removing player 4 token from slot 0
[15:07:53.513] [SEVERE ] player 2 placing token on slot 0
[15:07:53.515] [SEVERE ] player 1 placing token on slot 0
[15:07:53.515] [SEVERE ] player 4 placing token on slot 0
[15:07:53.516] [SEVERE ] removing player 1 token from slot 0
[15:07:53.516] [SEVERE ] removing player 4 token from slot 0
[15:07:53.516] [SEVERE ] player 1 placing token on slot 0
[15:07:53.517] [SEVERE ] removing player 1 token from slot 0
[15:07:53.520] [SEVERE ] player 3 placing token on slot 0
[15:07:53.521] [SEVERE ] removing player 3 token from slot 0
[15:07:53.524] [SEVERE ] player 3 placing token on slot 0
[15:07:53.525] [SEVERE ] removing player 3 token from slot 0
[15:07:53.525] [SEVERE ] player 3 placing token on slot 0
[15:07:53.527] [SEVERE ] removing player 3 token from slot 0
[15:07:53.529] [SEVERE ] player 1 placing token on slot 0
[15:07:53.529] [SEVERE ] player 3 placing token on slot 0
[15:07:53.529] [SEVERE ] removing player 1 token from slot 0
[15:07:53.529] [SEVERE ] player 4 placing token on slot 0
[15:07:53.529] [SEVERE ] player 1 placing token on slot 0
[15:07:53.529] [SEVERE ] removing player 4 token from slot 0
[15:07:53.530] [SEVERE ] removing player 1 token from slot 0
[15:07:53.530] [SEVERE ] player 4 placing token on slot 0
[15:07:53.530] [SEVERE ] player 1 placing token on slot 0
