[15:00:03.551] [INFO   ] thread main starting.
[15:00:03.556] [SEVERE ] cannot read configuration file config.properties trying from resources.
[15:00:03.558] [SEVERE ] configuration file was loaded from resources directory.
[15:00:03.998] [INFO   ] thread dealer starting.
[15:00:04.117] [SEVERE ] placing card 46 in slot 0
[15:00:04.117] [SEVERE ] player 2 placing token on slot 0
[15:00:04.117] [SEVERE ] player 1 placing token on slot 0
[15:00:04.117] [SEVERE ] player 4 placing token on slot 0
[15:00:04.118] [SEVERE ] removing player 1 token from slot 0
[15:00:04.117] [SEVERE ] player 3 placing token on slot 0
[15:00:04.119] [SEVERE ] player 1 placing token on slot 0
[15:00:04.118] [SEVERE ] removing player 2 token from slot 0
[15:00:04.118] [SEVERE ] removing player 4 token from slot 0
[15:00:04.123] [SEVERE ] player 2 placing token on slot 0
[15:00:04.121] [SEVERE ] removing player 3 token from slot 0
[15:00:04.124] [SEVERE ] removing player 2 token from slot 0
[15:00:04.124] [SEVERE ] player 2 placing token on slot 0
[15:00:04.125] [SEVERE ] removing player 2 token from slot 0
[15:00:04.125] [SEVERE ] player 3 placing token on slot 0
[15:00:04.125] [SEVERE ] player 2 placing token on slot 0
[15:00:04.125] [SEVERE ] removing player 3 token from slot 0
[15:00:04.125] [SEVERE ] removing player 2 token from slot 0
[15:00:04.125] [SEVERE ] player 3 placing token on slot 0
[15:00:04.126] [SEVERE ] player 2 placing token on slot 0
[15:00:04.126] [SEVERE ] removing player 2 token from slot 0
[15:00:04.126] [SEVERE ] removing player 3 token from slot 0
[15:00:04.126] [SEVERE ] removing player 1 token from slot 0
[15:00:04.127] [SEVERE ] player 3 placing token on slot 0
[15:00:04.127] [SEVERE ] player 2 placing token on slot 0
[15:00:04.127] [SEVERE ] player 4 placing token on slot 0
[15:00:04.127] [SEVERE ] removing player 3 token from slot 0
[15:00:04.127] [SEVERE ] player 1 placing token on slot 0
[15:00:04.128] [SEVERE ] player 3 placing token on slot 0
[15:00:04.128] [SEVERE ] removing player 2 token from slot 0
[15:00:04.129] [SEVERE ] player 2 placing token on slot 0
[15:00:04.129] [SEVERE ] removing player 2 token from slot 0
[15:00:04.129] [SEVERE ] player 2 placing token on slot 0
[15:00:04.128] [SEVERE ] removing player 3 token from slot 0
[15:00:04.129] [SEVERE ] removing player 2 token from slot 0
[15:00:04.130] [SEVERE ] player 3 placing token on slot 0
[15:00:04.130] [SEVERE ] removing player 4 token from slot 0
[15:00:04.130] [SEVERE ] removing player 3 token from slot 0
[15:00:04.130] [SEVERE ] removing player 1 token from slot 0
[15:00:04.130] [SEVERE ] player 2 placing token on slot 0
[15:00:04.130] [SEVERE ] player 3 placing token on slot 0
[15:00:04.140] [SEVERE ] player 1 placing token on slot 0
[15:00:04.140] [SEVERE ] removing player 3 token from slot 0
[15:00:04.140] [SEVERE ] player 4 placing token on slot 0
[15:00:04.141] [SEVERE ] player 3 placing token on slot 0
[15:00:04.141] [SEVERE ] removing player 2 token from slot 0
[15:00:04.141] [SEVERE ] removing player 1 token from slot 0
[15:00:04.142] [SEVERE ] player 2 placing token on slot 0
[15:00:04.141] [SEVERE ] removing player 3 token from slot 0
[15:00:04.141] [SEVERE ] removing player 4 token from slot 0
[15:00:04.142] [SEVERE ] removing player 2 token from slot 0
[15:00:04.142] [SEVERE ] player 1 placing token on slot 0
[15:00:04.142] [SEVERE ] player 3 placing token on slot 0
[15:00:04.142] [SEVERE ] player 4 placing token on slot 0
[15:00:04.144] [SEVERE ] removing player 4 token from slot 0
[15:00:04.144] [SEVERE ] player 4 placing token on slot 0
[15:00:04.144] [SEVERE ] removing player 3 token from slot 0
[15:00:04.145] [SEVERE ] player 3 placing token on slot 0
[15:00:04.145] [SEVERE ] removing player 3 token from slot 0
[15:00:04.145] [SEVERE ] player 3 placing token on slot 0
[15:00:04.146] [SEVERE ] removing player 3 token from slot 0
[15:00:04.145] [SEVERE ] player 2 placing token on slot 0
[15:00:04.146] [SEVERE ] removing player 4 token from slot 0
[15:00:04.146] [SEVERE ] player 3 placing token on slot 0
[15:00:04.147] [SEVERE ] removing player 1 token from slot 0
[15:00:04.147] [SEVERE ] player 4 placing token on slot 0
[15:00:04.147] [SEVERE ] removing player 2 token from slot 0
[15:00:04.147] [SEVERE ] removing player 4 token from slot 0
[15:00:04.147] [SEVERE ] player 1 placing token on slot 0
[15:00:04.147] [SEVERE ] removing player 3 token from slot 0
[15:00:04.148] [SEVERE ] removing player 1 token from slot 0
[15:00:04.147] [SEVERE ] player 4 placing token on slot 0
[15:00:04.147] [SEVERE ] player 2 placing token on slot 0
[15:00:04.148] [SEVERE ] player 3 placing token on slot 0
[15:00:04.149] [SEVERE ] removing player 3 token from slot 0
[15:00:04.149] [SEVERE ] player 3 placing token on slot 0
[15:00:04.149] [SEVERE ] removing player 3 token from slot 0
[15:00:04.149] [SEVERE ] player 3 placing token on slot 0
[15:00:04.149] [SEVERE ] removing player 2 token from slot 0
[15:00:04.149] [SEVERE ] removing player 3 token from slot 0
[15:00:04.150] [SEVERE ] player 3 placing token on slot 0
[15:00:04.150] [SEVERE ] removing player 3 token from slot 0
[15:00:04.150] [SEVERE ] player 3 placing token on slot 0
[15:00:04.150] [SEVERE ] removing player 3 token from slot 0
[15:00:04.151] [SEVERE ] player 3 placing token on slot 0
[15:00:04.152] [SEVERE ] removing player 4 token from slot 0
[15:00:04.152] [SEVERE ] player 2 placing token on slot 0
[15:00:04.152] [SEVERE ] removing player 3 token from slot 0
[15:00:04.152] [SEVERE ] player 1 placing token on slot 0
[15:00:04.153] [SEVERE ] removing player 2 token from slot 0
[15:00:04.153] [SEVERE ] player 3 placing token on slot 0
[15:00:04.153] [SEVERE ] removing player 1 token from slot 0
[15:00:04.153] [SEVERE ] player 2 placing token on slot 0
[15:00:04.153] [SEVERE ] player 1 placing token on slot 0
[15:00:04.154] [SEVERE ] removing player 1 token from slot 0
[15:00:04.154] [SEVERE ] player 1 placing token on slot 0
[15:00:04.154] [SEVERE ] removing player 1 token from slot 0
[15:00:04.154] [SEVERE ] player 1 placing token on slot 0
[15:00:04.154] [SEVERE ] removing player 1 token from slot 0
[15:00:04.154] [SEVERE ] player 1 placing token on slot 0
[15:00:04.155] [SEVERE ] removing player 1 token from slot 0
[15:00:04.156] [SEVERE ] player 1 placing token on slot 0
[15:00:04.156] [SEVERE ] removing player 1 token from slot 0
[15:00:04.156] [SEVERE ] player 1 placing token on slot 0
[15:00:04.157] [SEVERE ] removing player 1 token from slot 0
[15:00:04.157] [SEVERE ] removing player 3 token from slot 0
[15:00:04.158] [SEVERE ] removing player 2 token from slot 0
[15:00:04.158] [SEVERE ] player 3 placing token on slot 0
[15:00:04.158] [SEVERE ] player 1 placing token on slot 0
[15:00:04.158] [SEVERE ] player 2 placing token on slot 0
[15:00:04.158] [SEVERE ] removing player 3 token from slot 0
[15:00:04.159] [SEVERE ] removing player 2 token from slot 0
[15:00:04.158] [SEVERE ] removing player 1 token from slot 0
[15:00:04.159] [SEVERE ] player 4 placing token on slot 0
[15:00:04.159] [SEVERE ] player 2 placing token on slot 0
[15:00:04.159] [SEVERE ] removing player 2 token from slot 0
[15:00:04.160] [SEVERE ] player 2 placing token on slot 0
[15:00:04.159] [SEVERE ] player 3 placing token on slot 0
[15:00:04.161] [SEVERE ] removing player 3 token from slot 0
[15:00:04.161] [SEVERE ] player 3 placing token on slot 0
[15:00:04.160] [SEVERE ] removing player 2 token from slot 0
[15:00:04.159] [SEVERE ] player 1 placing token on slot 0
[15:00:04.167] [SEVERE ] removing player 1 token from slot 0
[15:00:04.168] [SEVERE ] player 2 placing token on slot 0
[15:00:04.168] [SEVERE ] removing player 2 token from slot 0
[15:00:04.168] [SEVERE ] player 2 placing token on slot 0
[15:00:04.169] [SEVERE ] removing player 2 token from slot 0
[15:00:04.169] [SEVERE ] player 2 placing token on slot 0
[15:00:04.169] [SEVERE ] removing player 2 token from slot 0
[15:00:04.169] [SEVERE ] player 2 placing token on slot 0
[15:00:04.169] [SEVERE ] removing player 2 token from slot 0
[15:00:04.169] [SEVERE ] player 2 placing token on slot 0
[15:00:04.170] [SEVERE ] removing player 2 token from slot 0
[15:00:04.170] [SEVERE ] player 2 placing token on slot 0
[15:00:04.170] [SEVERE ] removing player 2 token from slot 0
[15:00:04.170] [SEVERE ] player 2 placing token on slot 0
[15:00:04.170] [SEVERE ] removing player 3 token from slot 0
[15:00:04.174] [SEVERE ] removing player 2 token from slot 0
[15:00:04.174] [SEVERE ] player 1 placing token on slot 0
[15:00:04.174] [SEVERE ] player 3 placing token on slot 0
[15:00:04.174] [SEVERE ] player 2 placing token on slot 0
[15:00:04.175] [SEVERE ] removing player 4 token from slot 0
[15:00:04.175] [SEVERE ] player 4 placing token on slot 0
[15:00:04.176] [SEVERE ] removing player 4 token from slot 0
[15:00:04.176] [SEVERE ] player 4 placing token on slot 0
[15:00:04.176] [SEVERE ] removing player 4 token from slot 0
[15:00:04.176] [SEVERE ] removing player 3 token from slot 0
[15:00:04.179] [SEVERE ] player 3 placing token on slot 0
[15:00:04.179] [SEVERE ] player 4 placing token on slot 0
[15:00:04.179] [SEVERE ] removing player 1 token from slot 0
[15:00:04.179] [SEVERE ] removing player 3 token from slot 0
[15:00:04.179] [SEVERE ] player 1 placing token on slot 0
