[14:14:13.526] [INFO   ] thread main starting.
[14:14:13.531] [SEVERE ] cannot read configuration file config.properties trying from resources.
[14:14:13.533] [SEVERE ] configuration file was loaded from resources directory.
[14:14:14.012] [INFO   ] thread dealer starting.
[14:14:14.122] [SEVERE ] player 1 placing token on slot 0
[14:14:14.123] [SEVERE ] player 4 placing token on slot 0
[14:14:14.124] [SEVERE ] placing card 54 in slot 0
[14:14:14.123] [SEVERE ] player 2 placing token on slot 0
[14:14:14.125] [SEVERE ] removing player 2 token from slot 0
[14:14:14.123] [SEVERE ] player 3 placing token on slot 0
[14:14:14.126] [SEVERE ] removing player 1 token from slot 0
[14:14:14.125] [SEVERE ] player 2 placing token on slot 0
[14:14:14.124] [SEVERE ] removing player 4 token from slot 0
[14:14:14.128] [SEVERE ] player 1 placing token on slot 0
[14:14:14.128] [SEVERE ] removing player 1 token from slot 0
[14:14:14.128] [SEVERE ] removing player 3 token from slot 0
[14:14:14.129] [SEVERE ] removing player 2 token from slot 0
[14:14:14.129] [SEVERE ] player 4 placing token on slot 0
[14:14:14.129] [SEVERE ] player 1 placing token on slot 0
[14:14:14.129] [SEVERE ] player 2 placing token on slot 0
[14:14:14.130] [SEVERE ] removing player 2 token from slot 0
[14:14:14.129] [SEVERE ] player 3 placing token on slot 0
[14:14:14.130] [SEVERE ] player 2 placing token on slot 0
[14:14:14.130] [SEVERE ] removing player 4 token from slot 0
[14:14:14.130] [SEVERE ] removing player 1 token from slot 0
[14:14:14.134] [SEVERE ] removing player 2 token from slot 0
[14:14:14.134] [SEVERE ] player 4 placing token on slot 0
[14:14:14.134] [SEVERE ] player 1 placing token on slot 0
[14:14:14.134] [SEVERE ] removing player 3 token from slot 0
[14:14:14.135] [SEVERE ] removing player 1 token from slot 0
[14:14:14.134] [SEVERE ] player 2 placing token on slot 0
[14:14:14.136] [SEVERE ] removing player 2 token from slot 0
[14:14:14.137] [SEVERE ] player 2 placing token on slot 0
[14:14:14.137] [SEVERE ] removing player 2 token from slot 0
[14:14:14.136] [SEVERE ] player 3 placing token on slot 0
[14:14:14.135] [SEVERE ] player 1 placing token on slot 0
[14:14:14.137] [SEVERE ] player 2 placing token on slot 0
[14:14:14.140] [SEVERE ] removing player 3 token from slot 0
[14:14:14.140] [SEVERE ] player 3 placing token on slot 0
[14:14:14.140] [SEVERE ] removing player 3 token from slot 0
[14:14:14.140] [SEVERE ] player 3 placing token on slot 0
[14:14:14.141] [SEVERE ] removing player 3 token from slot 0
[14:14:14.159] [SEVERE ] removing player 1 token from slot 0
[14:14:14.159] [SEVERE ] removing player 2 token from slot 0
[14:14:14.160] [SEVERE ] removing player 4 token from slot 0
[14:14:14.160] [SEVERE ] player 1 placing token on slot 0
[14:14:14.160] [SEVERE ] removing player 1 token from slot 0
[14:14:14.160] [SEVERE ] player 2 placing token on slot 0
[14:14:14.160] [SEVERE ] player 4 placing token on slot 0
[14:14:14.161] [SEVERE ] player 1 placing token on slot 0
