[22:10:17.555] [INFO   ] thread main starting.
[22:10:17.561] [SEVERE ] cannot read configuration file config.properties trying from resources.
[22:10:17.562] [SEVERE ] configuration file was loaded from resources directory.
[22:10:18.069] [INFO   ] thread dealer starting.
[22:10:18.186] [SEVERE ] player 4 placing token on slot 0
[22:10:18.186] [SEVERE ] placing card 2 in slot 0
[22:10:18.186] [SEVERE ] player 2 placing token on slot 0
[22:10:18.187] [SEVERE ] removing player 4 token from slot 0
[22:10:18.187] [SEVERE ] player 4 placing token on slot 0
[22:10:18.187] [SEVERE ] removing player 4 token from slot 0
[22:10:18.197] [SEVERE ] player 4 placing token on slot 0
[22:10:18.198] [SEVERE ] removing player 4 token from slot 0
[22:10:18.198] [SEVERE ] player 4 placing token on slot 0
[22:10:18.198] [SEVERE ] removing player 4 token from slot 0
[22:10:18.187] [SEVERE ] removing player 2 token from slot 0
[22:10:18.199] [SEVERE ] player 4 placing token on slot 0
[22:10:18.199] [SEVERE ] removing player 4 token from slot 0
[22:10:18.200] [SEVERE ] player 4 placing token on slot 0
[22:10:18.200] [SEVERE ] removing player 4 token from slot 0
[22:10:18.200] [SEVERE ] player 4 placing token on slot 0
[22:10:18.200] [SEVERE ] removing player 4 token from slot 0
[22:10:18.200] [SEVERE ] player 4 placing token on slot 0
[22:10:18.201] [SEVERE ] removing player 4 token from slot 0
[22:10:18.201] [SEVERE ] player 4 placing token on slot 0
[22:10:18.201] [SEVERE ] removing player 4 token from slot 0
[22:10:18.201] [SEVERE ] player 4 placing token on slot 0
[22:10:18.201] [SEVERE ] removing player 4 token from slot 0
[22:10:18.201] [SEVERE ] player 4 placing token on slot 0
[22:10:18.202] [SEVERE ] removing player 4 token from slot 0
[22:10:18.202] [SEVERE ] player 4 placing token on slot 0
[22:10:18.202] [SEVERE ] removing player 4 token from slot 0
[22:10:18.190] [SEVERE ] player 3 placing token on slot 0
[22:10:18.188] [SEVERE ] player 5 placing token on slot 0
[22:10:18.204] [SEVERE ] removing player 3 token from slot 0
[22:10:18.204] [SEVERE ] removing player 5 token from slot 0
[22:10:18.202] [SEVERE ] player 4 placing token on slot 0
[22:10:18.204] [SEVERE ] removing player 4 token from slot 0
[22:10:18.204] [SEVERE ] player 4 placing token on slot 0
[22:10:18.205] [SEVERE ] removing player 4 token from slot 0
[22:10:18.205] [SEVERE ] player 4 placing token on slot 0
[22:10:18.205] [SEVERE ] removing player 4 token from slot 0
