[12:08:22.838] [INFO   ] thread main starting.
[12:08:22.843] [SEVERE ] cannot read configuration file config.properties trying from resources.
[12:08:22.844] [SEVERE ] configuration file was loaded from resources directory.
[12:08:23.304] [INFO   ] thread dealer starting.
[12:08:23.429] [SEVERE ] placing card 30 in slot 0
[12:08:23.429] [SEVERE ] player 2 placing token on slot 0
[12:08:23.429] [SEVERE ] player 3 placing token on slot 0
[12:08:23.433] [SEVERE ] removing player 3 token from slot 0
[12:08:23.433] [SEVERE ] player 3 placing token on slot 0
[12:08:23.434] [SEVERE ] removing player 3 token from slot 0
[12:08:23.430] [SEVERE ] removing player 2 token from slot 0
[12:08:23.437] [SEVERE ] player 3 placing token on slot 0
[12:08:23.437] [SEVERE ] removing player 3 token from slot 0
[12:08:23.437] [SEVERE ] player 3 placing token on slot 0
[12:08:23.437] [SEVERE ] removing player 3 token from slot 0
[12:08:23.438] [SEVERE ] player 3 placing token on slot 0
[12:08:23.438] [SEVERE ] removing player 3 token from slot 0
[12:08:23.438] [SEVERE ] player 3 placing token on slot 0
[12:08:23.438] [SEVERE ] removing player 3 token from slot 0
[12:08:23.438] [SEVERE ] player 2 placing token on slot 0
[12:08:23.442] [SEVERE ] player 3 placing token on slot 0
[12:08:23.443] [SEVERE ] removing player 3 token from slot 0
[12:08:23.443] [SEVERE ] removing player 2 token from slot 0
[12:08:23.444] [SEVERE ] player 3 placing token on slot 0
[12:08:23.445] [SEVERE ] removing player 3 token from slot 0
[12:08:23.445] [SEVERE ] player 3 placing token on slot 0
[12:08:23.445] [SEVERE ] removing player 3 token from slot 0
[12:08:23.444] [SEVERE ] player 2 placing token on slot 0
[12:08:23.445] [SEVERE ] removing player 2 token from slot 0
[12:08:23.445] [SEVERE ] player 3 placing token on slot 0
[12:08:23.447] [SEVERE ] removing player 3 token from slot 0
[12:08:23.446] [SEVERE ] player 2 placing token on slot 0
[12:08:23.449] [SEVERE ] player 3 placing token on slot 0
[12:08:23.449] [SEVERE ] removing player 2 token from slot 0
[12:08:23.450] [SEVERE ] player 2 placing token on slot 0
[12:08:23.451] [SEVERE ] removing player 2 token from slot 0
[12:08:23.451] [SEVERE ] player 2 placing token on slot 0
[12:08:23.450] [SEVERE ] removing player 3 token from slot 0
[12:08:23.451] [SEVERE ] removing player 2 token from slot 0
[12:08:23.452] [SEVERE ] player 2 placing token on slot 0
[12:08:23.452] [SEVERE ] player 3 placing token on slot 0
[12:08:23.453] [SEVERE ] removing player 3 token from slot 0
[12:08:23.454] [SEVERE ] player 3 placing token on slot 0
[12:08:23.454] [SEVERE ] removing player 3 token from slot 0
[12:08:23.454] [SEVERE ] player 3 placing token on slot 0
[12:08:23.453] [SEVERE ] removing player 2 token from slot 0
[12:08:23.455] [SEVERE ] removing player 3 token from slot 0
[12:08:23.456] [SEVERE ] player 2 placing token on slot 0
[12:08:23.459] [SEVERE ] player 3 placing token on slot 0
[12:08:23.459] [SEVERE ] removing player 3 token from slot 0
[12:08:23.459] [SEVERE ] player 3 placing token on slot 0
[12:08:23.460] [SEVERE ] removing player 2 token from slot 0
[12:08:23.460] [SEVERE ] removing player 3 token from slot 0
[12:08:23.461] [SEVERE ] player 3 placing token on slot 0
[12:08:23.460] [SEVERE ] player 2 placing token on slot 0
[12:08:23.461] [SEVERE ] removing player 2 token from slot 0
[12:08:23.461] [SEVERE ] player 2 placing token on slot 0
[12:08:23.461] [SEVERE ] removing player 2 token from slot 0
[12:08:23.462] [SEVERE ] player 2 placing token on slot 0
[12:08:23.462] [SEVERE ] removing player 2 token from slot 0
[12:08:23.462] [SEVERE ] player 2 placing token on slot 0
[12:08:23.461] [SEVERE ] removing player 3 token from slot 0
[12:08:23.467] [SEVERE ] player 3 placing token on slot 0
[12:08:23.467] [SEVERE ] removing player 2 token from slot 0
[12:08:23.467] [SEVERE ] removing player 3 token from slot 0
[12:08:23.468] [SEVERE ] player 3 placing token on slot 0
[12:08:23.468] [SEVERE ] player 2 placing token on slot 0
[12:08:23.468] [SEVERE ] removing player 2 token from slot 0
[12:08:23.468] [SEVERE ] removing player 3 token from slot 0
[12:08:23.469] [SEVERE ] player 3 placing token on slot 0
[12:08:23.469] [SEVERE ] removing player 3 token from slot 0
[12:08:23.468] [SEVERE ] player 2 placing token on slot 0
[12:08:23.469] [SEVERE ] removing player 2 token from slot 0
[12:08:23.469] [SEVERE ] player 2 placing token on slot 0
[12:08:23.469] [SEVERE ] removing player 2 token from slot 0
[12:08:23.470] [SEVERE ] player 2 placing token on slot 0
[12:08:23.470] [SEVERE ] removing player 2 token from slot 0
[12:08:23.470] [SEVERE ] player 2 placing token on slot 0
[12:08:23.469] [SEVERE ] player 3 placing token on slot 0
[12:08:23.471] [SEVERE ] removing player 2 token from slot 0
[12:08:23.471] [SEVERE ] player 2 placing token on slot 0
[12:08:23.471] [SEVERE ] removing player 2 token from slot 0
[12:08:23.471] [SEVERE ] player 2 placing token on slot 0
[12:08:23.471] [SEVERE ] removing player 2 token from slot 0
[12:08:23.471] [SEVERE ] removing player 3 token from slot 0
[12:08:23.472] [SEVERE ] player 2 placing token on slot 0
[12:08:23.473] [SEVERE ] removing player 2 token from slot 0
[12:08:23.473] [SEVERE ] player 2 placing token on slot 0
[12:08:23.473] [SEVERE ] removing player 2 token from slot 0
[12:08:23.473] [SEVERE ] player 2 placing token on slot 0
[12:08:23.474] [SEVERE ] removing player 2 token from slot 0
[12:08:23.474] [SEVERE ] player 2 placing token on slot 0
[12:08:23.474] [SEVERE ] removing player 2 token from slot 0
[12:08:23.474] [SEVERE ] player 2 placing token on slot 0
[12:08:23.472] [SEVERE ] player 3 placing token on slot 0
[12:08:23.475] [SEVERE ] removing player 3 token from slot 0
[12:08:23.475] [SEVERE ] player 3 placing token on slot 0
[12:08:23.475] [SEVERE ] removing player 3 token from slot 0
[12:08:23.474] [SEVERE ] removing player 2 token from slot 0
[12:08:23.476] [SEVERE ] player 3 placing token on slot 0
[12:08:23.477] [SEVERE ] removing player 3 token from slot 0
[12:08:23.477] [SEVERE ] player 3 placing token on slot 0
[12:08:23.477] [SEVERE ] removing player 3 token from slot 0
[12:08:23.477] [SEVERE ] player 3 placing token on slot 0
[12:08:23.478] [SEVERE ] removing player 3 token from slot 0
[12:08:23.478] [SEVERE ] player 3 placing token on slot 0
[12:08:23.478] [SEVERE ] removing player 3 token from slot 0
[12:08:23.477] [SEVERE ] player 2 placing token on slot 0
[12:08:23.478] [SEVERE ] player 3 placing token on slot 0
[12:08:23.478] [SEVERE ] removing player 2 token from slot 0
[12:08:23.479] [SEVERE ] removing player 3 token from slot 0
[12:08:23.479] [SEVERE ] player 2 placing token on slot 0
[12:08:23.479] [SEVERE ] player 3 placing token on slot 0
[12:08:23.479] [SEVERE ] removing player 2 token from slot 0
[12:08:23.481] [SEVERE ] player 2 placing token on slot 0
[12:08:23.481] [SEVERE ] removing player 3 token from slot 0
[12:08:23.482] [SEVERE ] player 3 placing token on slot 0
[12:08:23.482] [SEVERE ] removing player 3 token from slot 0
[12:08:23.482] [SEVERE ] player 3 placing token on slot 0
[12:08:23.482] [SEVERE ] removing player 3 token from slot 0
[12:08:23.482] [SEVERE ] player 3 placing token on slot 0
[12:08:23.483] [SEVERE ] removing player 3 token from slot 0
[12:08:23.483] [SEVERE ] removing player 2 token from slot 0
[12:08:23.483] [SEVERE ] player 2 placing token on slot 0
[12:08:23.484] [SEVERE ] player 3 placing token on slot 0
[12:08:23.486] [SEVERE ] removing player 3 token from slot 0
[12:08:23.486] [SEVERE ] removing player 2 token from slot 0
[12:08:23.487] [SEVERE ] player 3 placing token on slot 0
[12:08:23.487] [SEVERE ] player 2 placing token on slot 0
[12:08:23.487] [SEVERE ] removing player 3 token from slot 0
[12:08:23.487] [SEVERE ] removing player 2 token from slot 0
[12:08:23.488] [SEVERE ] player 3 placing token on slot 0
[12:08:23.488] [SEVERE ] player 2 placing token on slot 0
[12:08:23.488] [SEVERE ] removing player 3 token from slot 0
[12:08:23.489] [SEVERE ] removing player 2 token from slot 0
[12:08:23.489] [SEVERE ] player 3 placing token on slot 0
[12:08:23.489] [SEVERE ] player 2 placing token on slot 0
[12:08:23.490] [SEVERE ] removing player 3 token from slot 0
[12:08:23.490] [SEVERE ] player 3 placing token on slot 0
[12:08:23.491] [SEVERE ] removing player 3 token from slot 0
[12:08:23.491] [SEVERE ] player 3 placing token on slot 0
[12:08:23.491] [SEVERE ] removing player 2 token from slot 0
