[17:47:58.347] [INFO   ] thread main starting.
[17:47:58.352] [SEVERE ] cannot read configuration file config.properties trying from resources.
[17:47:58.353] [SEVERE ] configuration file was loaded from resources directory.
[17:47:58.915] [INFO   ] thread dealer starting.
[17:47:59.062] [SEVERE ] placing card 46 in slot 0
[17:47:59.062] [SEVERE ] player 2 placing token on slot 0
[17:47:59.062] [SEVERE ] player 1 placing token on slot 0
[17:47:59.062] [SEVERE ] player 3 placing token on slot 0
[17:47:59.063] [SEVERE ] removing player 3 token from slot 0
[17:47:59.063] [SEVERE ] removing player 1 token from slot 0
[17:47:59.063] [SEVERE ] removing player 2 token from slot 0
[17:47:59.064] [SEVERE ] player 2 placing token on slot 0
[17:47:59.064] [SEVERE ] removing player 2 token from slot 0
[17:47:59.064] [SEVERE ] player 2 placing token on slot 0
[17:47:59.065] [SEVERE ] removing player 2 token from slot 0
[17:47:59.065] [SEVERE ] player 2 placing token on slot 0
[17:47:59.065] [SEVERE ] removing player 2 token from slot 0
[17:47:59.066] [SEVERE ] player 2 placing token on slot 0
[17:47:59.066] [SEVERE ] removing player 2 token from slot 0
[17:47:59.066] [SEVERE ] player 2 placing token on slot 0
[17:47:59.066] [SEVERE ] removing player 2 token from slot 0
[17:47:59.067] [SEVERE ] player 2 placing token on slot 0
[17:47:59.067] [SEVERE ] removing player 2 token from slot 0
[17:47:59.067] [SEVERE ] player 2 placing token on slot 0
[17:47:59.068] [SEVERE ] removing player 2 token from slot 0
[17:47:59.068] [SEVERE ] player 2 placing token on slot 0
[17:47:59.068] [SEVERE ] removing player 2 token from slot 0
[17:47:59.068] [SEVERE ] player 2 placing token on slot 0
[17:47:59.068] [SEVERE ] removing player 2 token from slot 0
[17:47:59.069] [SEVERE ] player 2 placing token on slot 0
[17:47:59.069] [SEVERE ] removing player 2 token from slot 0
[17:47:59.069] [SEVERE ] player 2 placing token on slot 0
[17:47:59.069] [SEVERE ] removing player 2 token from slot 0
[17:47:59.070] [SEVERE ] player 2 placing token on slot 0
[17:47:59.070] [SEVERE ] removing player 2 token from slot 0
[17:47:59.070] [SEVERE ] player 2 placing token on slot 0
[17:47:59.070] [SEVERE ] removing player 2 token from slot 0
[17:47:59.063] [SEVERE ] player 3 placing token on slot 0
[17:47:59.065] [SEVERE ] player 1 placing token on slot 0
[17:47:59.075] [SEVERE ] removing player 1 token from slot 0
[17:47:59.075] [SEVERE ] player 1 placing token on slot 0
[17:47:59.076] [SEVERE ] removing player 1 token from slot 0
[17:47:59.076] [SEVERE ] player 1 placing token on slot 0
[17:47:59.076] [SEVERE ] removing player 1 token from slot 0
[17:47:59.077] [SEVERE ] player 1 placing token on slot 0
[17:47:59.077] [SEVERE ] player 2 placing token on slot 0
[17:47:59.077] [SEVERE ] removing player 2 token from slot 0
[17:47:59.077] [SEVERE ] player 2 placing token on slot 0
[17:47:59.078] [SEVERE ] removing player 2 token from slot 0
[17:47:59.078] [SEVERE ] player 2 placing token on slot 0
[17:47:59.078] [SEVERE ] removing player 2 token from slot 0
[17:47:59.078] [SEVERE ] player 2 placing token on slot 0
[17:47:59.078] [SEVERE ] removing player 2 token from slot 0
[17:47:59.079] [SEVERE ] player 2 placing token on slot 0
[17:47:59.079] [SEVERE ] removing player 2 token from slot 0
[17:47:59.079] [SEVERE ] player 2 placing token on slot 0
[17:47:59.079] [SEVERE ] removing player 2 token from slot 0
[17:47:59.079] [SEVERE ] player 2 placing token on slot 0
[17:47:59.079] [SEVERE ] removing player 2 token from slot 0
[17:47:59.079] [SEVERE ] player 2 placing token on slot 0
[17:47:59.080] [SEVERE ] removing player 2 token from slot 0
[17:47:59.080] [SEVERE ] player 2 placing token on slot 0
[17:47:59.080] [SEVERE ] removing player 2 token from slot 0
[17:47:59.080] [SEVERE ] player 2 placing token on slot 0
[17:47:59.080] [SEVERE ] removing player 2 token from slot 0
[17:47:59.081] [SEVERE ] player 2 placing token on slot 0
[17:47:59.081] [SEVERE ] removing player 2 token from slot 0
[17:47:59.081] [SEVERE ] player 2 placing token on slot 0
[17:47:59.081] [SEVERE ] removing player 2 token from slot 0
[17:47:59.081] [SEVERE ] player 2 placing token on slot 0
[17:47:59.082] [SEVERE ] removing player 2 token from slot 0
[17:47:59.082] [SEVERE ] player 2 placing token on slot 0
[17:47:59.075] [SEVERE ] removing player 3 token from slot 0
[17:47:59.082] [SEVERE ] removing player 2 token from slot 0
[17:47:59.082] [SEVERE ] player 2 placing token on slot 0
[17:47:59.083] [SEVERE ] removing player 2 token from slot 0
[17:47:59.083] [SEVERE ] player 2 placing token on slot 0
