[17:24:24.666] [INFO   ] thread main starting.
[17:24:24.670] [SEVERE ] cannot read configuration file config.properties trying from resources.
[17:24:24.672] [SEVERE ] configuration file was loaded from resources directory.
[17:24:25.151] [INFO   ] thread dealer starting.
[17:24:25.265] [SEVERE ] placing card 44 in slot 0
[17:24:25.269] [SEVERE ] player 4 placing token on slot 0
[17:24:25.270] [SEVERE ] removing player 4 token from slot 0
[17:24:25.270] [SEVERE ] player 4 placing token on slot 0
[17:24:25.271] [SEVERE ] removing player 4 token from slot 0
[17:24:25.273] [SEVERE ] player 4 placing token on slot 0
[17:24:25.274] [SEVERE ] removing player 4 token from slot 0
[17:24:25.274] [SEVERE ] player 4 placing token on slot 0
[17:24:25.275] [SEVERE ] removing player 4 token from slot 0
[17:24:25.276] [SEVERE ] player 4 placing token on slot 0
[17:24:25.276] [SEVERE ] removing player 4 token from slot 0
[17:24:25.276] [SEVERE ] player 4 placing token on slot 0
[17:24:25.276] [SEVERE ] removing player 4 token from slot 0
[17:24:25.277] [SEVERE ] player 4 placing token on slot 0
[17:24:25.277] [SEVERE ] removing player 4 token from slot 0
[17:24:25.277] [SEVERE ] player 4 placing token on slot 0
[17:24:25.277] [SEVERE ] removing player 4 token from slot 0
[17:24:25.279] [SEVERE ] player 4 placing token on slot 0
[17:24:25.279] [SEVERE ] removing player 4 token from slot 0
[17:24:25.283] [SEVERE ] player 4 placing token on slot 0
[17:24:25.284] [SEVERE ] player 1 placing token on slot 0
[17:24:25.284] [SEVERE ] removing player 4 token from slot 0
[17:24:25.284] [SEVERE ] player 4 placing token on slot 0
[17:24:25.284] [SEVERE ] removing player 1 token from slot 0
[17:24:25.285] [SEVERE ] player 2 placing token on slot 0
[17:24:25.285] [SEVERE ] player 1 placing token on slot 0
[17:24:25.285] [SEVERE ] removing player 1 token from slot 0
[17:24:25.286] [SEVERE ] player 1 placing token on slot 0
[17:24:25.286] [SEVERE ] removing player 1 token from slot 0
[17:24:25.286] [SEVERE ] player 1 placing token on slot 0
[17:24:25.286] [SEVERE ] removing player 1 token from slot 0
[17:24:25.287] [SEVERE ] player 1 placing token on slot 0
[17:24:25.287] [SEVERE ] removing player 1 token from slot 0
[17:24:25.287] [SEVERE ] player 1 placing token on slot 0
[17:24:25.287] [SEVERE ] removing player 1 token from slot 0
[17:24:25.287] [SEVERE ] player 1 placing token on slot 0
[17:24:25.288] [SEVERE ] removing player 1 token from slot 0
[17:24:25.288] [SEVERE ] player 1 placing token on slot 0
[17:24:25.288] [SEVERE ] removing player 1 token from slot 0
[17:24:25.288] [SEVERE ] player 1 placing token on slot 0
[17:24:25.288] [SEVERE ] removing player 1 token from slot 0
[17:24:25.289] [SEVERE ] player 1 placing token on slot 0
[17:24:25.289] [SEVERE ] removing player 1 token from slot 0
[17:24:25.285] [SEVERE ] player 3 placing token on slot 0
[17:24:25.289] [SEVERE ] player 1 placing token on slot 0
[17:24:25.285] [SEVERE ] removing player 4 token from slot 0
[17:24:25.299] [SEVERE ] player 4 placing token on slot 0
[17:24:25.299] [SEVERE ] removing player 3 token from slot 0
[17:24:25.299] [SEVERE ] removing player 2 token from slot 0
[17:24:25.299] [SEVERE ] removing player 1 token from slot 0
[17:24:25.300] [SEVERE ] removing player 4 token from slot 0
[17:24:25.300] [SEVERE ] player 3 placing token on slot 0
[17:24:25.300] [SEVERE ] removing player 3 token from slot 0
[17:24:25.301] [SEVERE ] player 1 placing token on slot 0
[17:24:25.301] [SEVERE ] player 3 placing token on slot 0
[17:24:25.302] [SEVERE ] removing player 1 token from slot 0
[17:24:25.302] [SEVERE ] removing player 3 token from slot 0
[17:24:25.304] [SEVERE ] player 4 placing token on slot 0
[17:24:25.304] [SEVERE ] player 3 placing token on slot 0
[17:24:25.304] [SEVERE ] player 2 placing token on slot 0
[17:24:25.304] [SEVERE ] removing player 3 token from slot 0
[17:24:25.305] [SEVERE ] player 3 placing token on slot 0
[17:24:25.305] [SEVERE ] removing player 3 token from slot 0
[17:24:25.305] [SEVERE ] player 3 placing token on slot 0
[17:24:25.304] [SEVERE ] removing player 2 token from slot 0
[17:24:25.305] [SEVERE ] player 1 placing token on slot 0
[17:24:25.305] [SEVERE ] removing player 4 token from slot 0
[17:24:25.305] [SEVERE ] removing player 3 token from slot 0
[17:24:25.306] [SEVERE ] removing player 1 token from slot 0
[17:24:25.306] [SEVERE ] player 3 placing token on slot 0
[17:24:25.306] [SEVERE ] player 4 placing token on slot 0
[17:24:25.306] [SEVERE ] removing player 3 token from slot 0
[17:24:25.306] [SEVERE ] player 1 placing token on slot 0
[17:24:25.308] [SEVERE ] removing player 1 token from slot 0
[17:24:25.308] [SEVERE ] player 3 placing token on slot 0
[17:24:25.309] [SEVERE ] removing player 3 token from slot 0
[17:24:25.309] [SEVERE ] removing player 4 token from slot 0
[17:24:25.309] [SEVERE ] player 1 placing token on slot 0
[17:24:25.310] [SEVERE ] removing player 1 token from slot 0
[17:24:25.310] [SEVERE ] player 3 placing token on slot 0
[17:24:25.311] [SEVERE ] removing player 3 token from slot 0
