[21:49:33.784] [INFO   ] thread main starting.
[21:49:33.789] [SEVERE ] cannot read configuration file config.properties trying from resources.
[21:49:33.791] [SEVERE ] configuration file was loaded from resources directory.
[21:49:34.307] [INFO   ] thread dealer starting.
[21:49:34.425] [SEVERE ] placing card 25 in slot 0
[21:49:34.425] [SEVERE ] player 4 placing token on slot 0
[21:49:34.425] [SEVERE ] player 5 placing token on slot 0
[21:49:34.426] [SEVERE ] removing player 5 token from slot 0
[21:49:34.426] [SEVERE ] player 5 placing token on slot 0
[21:49:34.426] [SEVERE ] removing player 5 token from slot 0
[21:49:34.425] [SEVERE ] player 3 placing token on slot 0
[21:49:34.441] [SEVERE ] player 5 placing token on slot 0
[21:49:34.442] [SEVERE ] removing player 5 token from slot 0
[21:49:34.442] [SEVERE ] player 5 placing token on slot 0
[21:49:34.442] [SEVERE ] removing player 5 token from slot 0
[21:49:34.443] [SEVERE ] player 5 placing token on slot 0
[21:49:34.443] [SEVERE ] removing player 5 token from slot 0
[21:49:34.443] [SEVERE ] player 5 placing token on slot 0
[21:49:34.443] [SEVERE ] removing player 5 token from slot 0
[21:49:34.444] [SEVERE ] player 5 placing token on slot 0
[21:49:34.444] [SEVERE ] removing player 5 token from slot 0
[21:49:34.444] [SEVERE ] player 5 placing token on slot 0
[21:49:34.444] [SEVERE ] removing player 5 token from slot 0
[21:49:34.444] [SEVERE ] player 5 placing token on slot 0
[21:49:34.444] [SEVERE ] removing player 5 token from slot 0
[21:49:34.445] [SEVERE ] player 5 placing token on slot 0
[21:49:34.445] [SEVERE ] removing player 5 token from slot 0
[21:49:34.435] [SEVERE ] player 2 placing token on slot 0
[21:49:34.428] [SEVERE ] removing player 4 token from slot 0
[21:49:34.447] [SEVERE ] player 4 placing token on slot 0
[21:49:34.447] [SEVERE ] removing player 4 token from slot 0
[21:49:34.447] [SEVERE ] player 4 placing token on slot 0
[21:49:34.448] [SEVERE ] removing player 4 token from slot 0
[21:49:34.447] [SEVERE ] removing player 2 token from slot 0
[21:49:34.445] [SEVERE ] player 5 placing token on slot 0
[21:49:34.444] [SEVERE ] removing player 3 token from slot 0
[21:49:34.448] [SEVERE ] removing player 5 token from slot 0
[21:49:34.448] [SEVERE ] player 2 placing token on slot 0
[21:49:34.448] [SEVERE ] player 4 placing token on slot 0
[21:49:34.449] [SEVERE ] removing player 2 token from slot 0
[21:49:34.449] [SEVERE ] player 5 placing token on slot 0
[21:49:34.449] [SEVERE ] player 3 placing token on slot 0
[21:49:34.449] [SEVERE ] removing player 5 token from slot 0
[21:49:34.449] [SEVERE ] player 2 placing token on slot 0
