[17:16:21.132] [INFO   ] thread main starting.
[17:16:21.139] [SEVERE ] cannot read configuration file config.properties trying from resources.
[17:16:21.147] [SEVERE ] configuration file was loaded from resources directory.
[17:16:21.712] [INFO   ] thread dealer starting.
[17:16:21.830] [SEVERE ] placing card 54 in slot 0
[17:16:21.830] [SEVERE ] player 2 placing token on slot 0
[17:16:21.830] [SEVERE ] player 5 placing token on slot 0
[17:16:21.830] [SEVERE ] player 3 placing token on slot 0
[17:16:21.830] [SEVERE ] player 4 placing token on slot 0
[17:16:21.846] [SEVERE ] removing player 5 token from slot 0
[17:16:21.847] [SEVERE ] player 5 placing token on slot 0
[17:16:21.847] [SEVERE ] removing player 5 token from slot 0
[17:16:21.847] [SEVERE ] player 5 placing token on slot 0
[17:16:21.846] [SEVERE ] removing player 4 token from slot 0
[17:16:21.848] [SEVERE ] removing player 5 token from slot 0
[17:16:21.848] [SEVERE ] player 5 placing token on slot 0
[17:16:21.848] [SEVERE ] removing player 5 token from slot 0
[17:16:21.849] [SEVERE ] player 5 placing token on slot 0
[17:16:21.849] [SEVERE ] removing player 5 token from slot 0
[17:16:21.849] [SEVERE ] player 5 placing token on slot 0
[17:16:21.849] [SEVERE ] removing player 5 token from slot 0
[17:16:21.849] [SEVERE ] player 5 placing token on slot 0
[17:16:21.850] [SEVERE ] removing player 5 token from slot 0
[17:16:21.850] [SEVERE ] player 5 placing token on slot 0
[17:16:21.850] [SEVERE ] removing player 5 token from slot 0
[17:16:21.850] [SEVERE ] player 5 placing token on slot 0
[17:16:21.851] [SEVERE ] removing player 5 token from slot 0
[17:16:21.851] [SEVERE ] player 5 placing token on slot 0
[17:16:21.851] [SEVERE ] removing player 5 token from slot 0
[17:16:21.852] [SEVERE ] removing player 3 token from slot 0
[17:16:21.853] [SEVERE ] player 3 placing token on slot 0
[17:16:21.854] [SEVERE ] removing player 3 token from slot 0
[17:16:21.852] [SEVERE ] player 5 placing token on slot 0
[17:16:21.859] [SEVERE ] removing player 5 token from slot 0
[17:16:21.859] [SEVERE ] player 3 placing token on slot 0
[17:16:21.855] [SEVERE ] player 4 placing token on slot 0
[17:16:21.871] [SEVERE ] removing player 4 token from slot 0
[17:16:21.871] [SEVERE ] removing player 3 token from slot 0
