[21:31:28.647] [INFO   ] thread main starting.
[21:31:28.652] [SEVERE ] cannot read configuration file config.properties trying from resources.
[21:31:28.653] [SEVERE ] configuration file was loaded from resources directory.
[21:31:29.127] [INFO   ] thread dealer starting.
[21:31:29.236] [SEVERE ] player 2 placing token on slot 0
[21:31:29.236] [SEVERE ] player 4 placing token on slot 0
[21:31:29.236] [SEVERE ] placing card 1 in slot 0
[21:31:29.236] [SEVERE ] player 3 placing token on slot 0
[21:31:29.237] [SEVERE ] removing player 2 token from slot 0
[21:31:29.238] [SEVERE ] player 2 placing token on slot 0
[21:31:29.241] [SEVERE ] player 5 placing token on slot 0
[21:31:29.238] [SEVERE ] removing player 3 token from slot 0
[21:31:29.238] [SEVERE ] removing player 4 token from slot 0
[21:31:29.243] [SEVERE ] removing player 2 token from slot 0
[21:31:29.250] [SEVERE ] removing player 5 token from slot 0
[21:31:29.250] [SEVERE ] player 4 placing token on slot 0
[21:31:29.259] [SEVERE ] player 5 placing token on slot 0
[21:31:29.259] [SEVERE ] removing player 5 token from slot 0
[21:31:29.260] [SEVERE ] player 5 placing token on slot 0
[21:31:29.260] [SEVERE ] removing player 5 token from slot 0
[21:31:29.259] [SEVERE ] player 3 placing token on slot 0
[21:31:29.261] [SEVERE ] removing player 3 token from slot 0
[21:31:29.261] [SEVERE ] player 3 placing token on slot 0
[21:31:29.263] [SEVERE ] removing player 3 token from slot 0
[21:31:29.263] [SEVERE ] player 3 placing token on slot 0
[21:31:29.264] [SEVERE ] removing player 3 token from slot 0
[21:31:29.264] [SEVERE ] player 3 placing token on slot 0
[21:31:29.265] [SEVERE ] removing player 3 token from slot 0
[21:31:29.265] [SEVERE ] player 3 placing token on slot 0
[21:31:29.265] [SEVERE ] removing player 3 token from slot 0
[21:31:29.259] [SEVERE ] player 2 placing token on slot 0
[21:31:29.266] [SEVERE ] removing player 2 token from slot 0
[21:31:29.266] [SEVERE ] player 2 placing token on slot 0
[21:31:29.265] [SEVERE ] player 3 placing token on slot 0
[21:31:29.260] [SEVERE ] player 5 placing token on slot 0
[21:31:29.259] [SEVERE ] removing player 4 token from slot 0
[21:31:29.267] [SEVERE ] removing player 5 token from slot 0
[21:31:29.267] [SEVERE ] player 5 placing token on slot 0
[21:31:29.267] [SEVERE ] removing player 5 token from slot 0
[21:31:29.267] [SEVERE ] player 5 placing token on slot 0
[21:31:29.267] [SEVERE ] removing player 5 token from slot 0
[21:31:29.268] [SEVERE ] player 5 placing token on slot 0
[21:31:29.268] [SEVERE ] removing player 5 token from slot 0
[21:31:29.268] [SEVERE ] removing player 2 token from slot 0
[21:31:29.268] [SEVERE ] player 2 placing token on slot 0
[21:31:29.269] [SEVERE ] removing player 2 token from slot 0
[21:31:29.269] [SEVERE ] player 2 placing token on slot 0
[21:31:29.267] [SEVERE ] removing player 3 token from slot 0
[21:31:29.269] [SEVERE ] player 3 placing token on slot 0
[21:31:29.270] [SEVERE ] removing player 3 token from slot 0
[21:31:29.270] [SEVERE ] player 3 placing token on slot 0
[21:31:29.270] [SEVERE ] removing player 3 token from slot 0
[21:31:29.270] [SEVERE ] player 3 placing token on slot 0
[21:31:29.270] [SEVERE ] removing player 3 token from slot 0
[21:31:29.271] [SEVERE ] player 3 placing token on slot 0
[21:31:29.271] [SEVERE ] removing player 3 token from slot 0
[21:31:29.271] [SEVERE ] player 3 placing token on slot 0
[21:31:29.271] [SEVERE ] removing player 3 token from slot 0
[21:31:29.271] [SEVERE ] player 3 placing token on slot 0
[21:31:29.271] [SEVERE ] removing player 3 token from slot 0
[21:31:29.272] [SEVERE ] player 3 placing token on slot 0
[21:31:29.272] [SEVERE ] removing player 3 token from slot 0
[21:31:29.272] [SEVERE ] player 3 placing token on slot 0
[21:31:29.272] [SEVERE ] removing player 3 token from slot 0
[21:31:29.274] [SEVERE ] player 3 placing token on slot 0
[21:31:29.274] [SEVERE ] removing player 3 token from slot 0
[21:31:29.274] [SEVERE ] player 3 placing token on slot 0
[21:31:29.269] [SEVERE ] removing player 2 token from slot 0
[21:31:29.268] [SEVERE ] player 5 placing token on slot 0
[21:31:29.278] [SEVERE ] removing player 5 token from slot 0
[21:31:29.278] [SEVERE ] player 5 placing token on slot 0
[21:31:29.278] [SEVERE ] removing player 5 token from slot 0
[21:31:29.278] [SEVERE ] player 5 placing token on slot 0
[21:31:29.278] [SEVERE ] removing player 5 token from slot 0
[21:31:29.278] [SEVERE ] player 5 placing token on slot 0
[21:31:29.279] [SEVERE ] removing player 5 token from slot 0
[21:31:29.279] [SEVERE ] player 5 placing token on slot 0
[21:31:29.279] [SEVERE ] removing player 5 token from slot 0
[21:31:29.279] [SEVERE ] player 5 placing token on slot 0
[21:31:29.279] [SEVERE ] removing player 5 token from slot 0
[21:31:29.279] [SEVERE ] player 5 placing token on slot 0
[21:31:29.280] [SEVERE ] removing player 5 token from slot 0
[21:31:29.280] [SEVERE ] player 5 placing token on slot 0
[21:31:29.280] [SEVERE ] removing player 5 token from slot 0
[21:31:29.280] [SEVERE ] player 5 placing token on slot 0
[21:31:29.280] [SEVERE ] removing player 5 token from slot 0
[21:31:29.280] [SEVERE ] player 5 placing token on slot 0
