[21:32:30.692] [INFO   ] thread main starting.
[21:32:30.698] [SEVERE ] cannot read configuration file config.properties trying from resources.
[21:32:30.700] [SEVERE ] configuration file was loaded from resources directory.
[21:32:31.174] [INFO   ] thread dealer starting.
[21:32:31.291] [SEVERE ] placing card 61 in slot 0
[21:32:31.291] [SEVERE ] player 5 placing token on slot 0
[21:32:31.291] [SEVERE ] player 4 placing token on slot 0
[21:32:31.292] [SEVERE ] removing player 4 token from slot 0
[21:32:31.292] [SEVERE ] removing player 5 token from slot 0
[21:32:31.292] [SEVERE ] player 5 placing token on slot 0
[21:32:31.292] [SEVERE ] player 4 placing token on slot 0
[21:32:31.298] [SEVERE ] removing player 5 token from slot 0
[21:32:31.298] [SEVERE ] removing player 4 token from slot 0
[21:32:31.299] [SEVERE ] player 4 placing token on slot 0
[21:32:31.299] [SEVERE ] player 5 placing token on slot 0
[21:32:31.299] [SEVERE ] removing player 4 token from slot 0
[21:32:31.299] [SEVERE ] player 4 placing token on slot 0
[21:32:31.299] [SEVERE ] removing player 5 token from slot 0
[21:32:31.300] [SEVERE ] removing player 4 token from slot 0
[21:32:31.300] [SEVERE ] player 5 placing token on slot 0
[21:32:31.300] [SEVERE ] player 4 placing token on slot 0
[21:32:31.300] [SEVERE ] removing player 5 token from slot 0
[21:32:31.300] [SEVERE ] removing player 4 token from slot 0
[21:32:31.300] [SEVERE ] player 5 placing token on slot 0
[21:32:31.300] [SEVERE ] player 4 placing token on slot 0
[21:32:31.301] [SEVERE ] removing player 5 token from slot 0
[21:32:31.301] [SEVERE ] removing player 4 token from slot 0
[21:32:31.301] [SEVERE ] player 4 placing token on slot 0
[21:32:31.301] [SEVERE ] removing player 4 token from slot 0
[21:32:31.302] [SEVERE ] player 4 placing token on slot 0
[21:32:31.301] [SEVERE ] player 5 placing token on slot 0
[21:32:31.302] [SEVERE ] removing player 4 token from slot 0
[21:32:31.302] [SEVERE ] removing player 5 token from slot 0
[21:32:31.302] [SEVERE ] player 4 placing token on slot 0
[21:32:31.302] [SEVERE ] player 5 placing token on slot 0
[21:32:31.303] [SEVERE ] removing player 4 token from slot 0
[21:32:31.303] [SEVERE ] removing player 5 token from slot 0
[21:32:31.303] [SEVERE ] player 4 placing token on slot 0
[21:32:31.303] [SEVERE ] player 5 placing token on slot 0
[21:32:31.303] [SEVERE ] removing player 4 token from slot 0
[21:32:31.304] [SEVERE ] removing player 5 token from slot 0
[21:32:31.304] [SEVERE ] player 4 placing token on slot 0
[21:32:31.304] [SEVERE ] player 5 placing token on slot 0
[21:32:31.304] [SEVERE ] removing player 4 token from slot 0
[21:32:31.304] [SEVERE ] removing player 5 token from slot 0
[21:32:31.304] [SEVERE ] player 4 placing token on slot 0
[21:32:31.305] [SEVERE ] player 5 placing token on slot 0
[21:32:31.305] [SEVERE ] removing player 4 token from slot 0
[21:32:31.305] [SEVERE ] removing player 5 token from slot 0
[21:32:31.305] [SEVERE ] player 4 placing token on slot 0
[21:32:31.305] [SEVERE ] removing player 4 token from slot 0
[21:32:31.305] [SEVERE ] player 5 placing token on slot 0
[21:32:31.306] [SEVERE ] removing player 5 token from slot 0
[21:32:31.306] [SEVERE ] player 4 placing token on slot 0
[21:32:31.306] [SEVERE ] removing player 4 token from slot 0
[21:32:31.306] [SEVERE ] player 4 placing token on slot 0
[21:32:31.306] [SEVERE ] removing player 4 token from slot 0
[21:32:31.306] [SEVERE ] player 4 placing token on slot 0
[21:32:31.307] [SEVERE ] removing player 4 token from slot 0
[21:32:31.307] [SEVERE ] player 5 placing token on slot 0
[21:32:31.307] [SEVERE ] removing player 5 token from slot 0
[21:32:31.308] [SEVERE ] player 5 placing token on slot 0
[21:32:31.308] [SEVERE ] removing player 5 token from slot 0
[21:32:31.308] [SEVERE ] player 5 placing token on slot 0
[21:32:31.308] [SEVERE ] removing player 5 token from slot 0
[21:32:31.307] [SEVERE ] player 4 placing token on slot 0
[21:32:31.308] [SEVERE ] player 5 placing token on slot 0
[21:32:31.309] [SEVERE ] removing player 5 token from slot 0
[21:32:31.309] [SEVERE ] player 5 placing token on slot 0
[21:32:31.309] [SEVERE ] removing player 4 token from slot 0
[21:32:31.309] [SEVERE ] player 4 placing token on slot 0
[21:32:31.309] [SEVERE ] removing player 4 token from slot 0
[21:32:31.309] [SEVERE ] player 4 placing token on slot 0
[21:32:31.310] [SEVERE ] removing player 4 token from slot 0
[21:32:31.309] [SEVERE ] removing player 5 token from slot 0
[21:32:31.310] [SEVERE ] player 5 placing token on slot 0
[21:32:31.310] [SEVERE ] player 4 placing token on slot 0
[21:32:31.310] [SEVERE ] removing player 4 token from slot 0
[21:32:31.311] [SEVERE ] player 4 placing token on slot 0
[21:32:31.311] [SEVERE ] removing player 4 token from slot 0
[21:32:31.310] [SEVERE ] removing player 5 token from slot 0
[21:32:31.311] [SEVERE ] player 5 placing token on slot 0
[21:32:31.311] [SEVERE ] removing player 5 token from slot 0
[21:32:31.311] [SEVERE ] player 5 placing token on slot 0
[21:32:31.312] [SEVERE ] removing player 5 token from slot 0
[21:32:31.312] [SEVERE ] player 5 placing token on slot 0
[21:32:31.312] [SEVERE ] removing player 5 token from slot 0
[21:32:31.312] [SEVERE ] player 5 placing token on slot 0
[21:32:31.312] [SEVERE ] removing player 5 token from slot 0
[21:32:31.312] [SEVERE ] player 5 placing token on slot 0
[21:32:31.313] [SEVERE ] removing player 5 token from slot 0
[21:32:31.313] [SEVERE ] player 5 placing token on slot 0
[21:32:31.313] [SEVERE ] removing player 5 token from slot 0
[21:32:31.311] [SEVERE ] player 4 placing token on slot 0
[21:32:31.313] [SEVERE ] removing player 4 token from slot 0
[21:32:31.313] [SEVERE ] player 4 placing token on slot 0
[21:32:31.314] [SEVERE ] removing player 4 token from slot 0
[21:32:31.314] [SEVERE ] player 4 placing token on slot 0
[21:32:31.313] [SEVERE ] player 5 placing token on slot 0
[21:32:31.314] [SEVERE ] removing player 5 token from slot 0
[21:32:31.314] [SEVERE ] player 5 placing token on slot 0
[21:32:31.314] [SEVERE ] removing player 5 token from slot 0
[21:32:31.314] [SEVERE ] player 5 placing token on slot 0
[21:32:31.314] [SEVERE ] removing player 4 token from slot 0
[21:32:31.315] [SEVERE ] player 4 placing token on slot 0
[21:32:31.315] [SEVERE ] removing player 4 token from slot 0
[21:32:31.315] [SEVERE ] player 4 placing token on slot 0
[21:32:31.315] [SEVERE ] removing player 4 token from slot 0
[21:32:31.315] [SEVERE ] removing player 5 token from slot 0
[21:32:31.316] [SEVERE ] player 5 placing token on slot 0
[21:32:31.316] [SEVERE ] removing player 5 token from slot 0
[21:32:31.316] [SEVERE ] player 2 placing token on slot 0
[21:32:31.316] [SEVERE ] player 4 placing token on slot 0
[21:32:31.317] [SEVERE ] removing player 2 token from slot 0
[21:32:31.316] [SEVERE ] player 5 placing token on slot 0
[21:32:31.317] [SEVERE ] player 2 placing token on slot 0
[21:32:31.317] [SEVERE ] removing player 4 token from slot 0
[21:32:31.317] [SEVERE ] removing player 2 token from slot 0
[21:32:31.317] [SEVERE ] removing player 5 token from slot 0
[21:32:31.319] [SEVERE ] player 2 placing token on slot 0
[21:32:31.317] [SEVERE ] player 4 placing token on slot 0
[21:32:31.319] [SEVERE ] player 5 placing token on slot 0
[21:32:31.320] [SEVERE ] removing player 4 token from slot 0
[21:32:31.320] [SEVERE ] removing player 5 token from slot 0
[21:32:31.320] [SEVERE ] removing player 2 token from slot 0
[21:32:31.320] [SEVERE ] player 5 placing token on slot 0
[21:32:31.320] [SEVERE ] player 4 placing token on slot 0
[21:32:31.320] [SEVERE ] removing player 5 token from slot 0
[21:32:31.320] [SEVERE ] player 2 placing token on slot 0
[21:32:31.321] [SEVERE ] player 5 placing token on slot 0
[21:32:31.321] [SEVERE ] removing player 4 token from slot 0
[21:32:31.321] [SEVERE ] removing player 5 token from slot 0
[21:32:31.321] [SEVERE ] removing player 2 token from slot 0
[21:32:31.321] [SEVERE ] player 5 placing token on slot 0
[21:32:31.321] [SEVERE ] player 4 placing token on slot 0
[21:32:31.322] [SEVERE ] removing player 5 token from slot 0
[21:32:31.322] [SEVERE ] player 2 placing token on slot 0
[21:32:31.322] [SEVERE ] player 5 placing token on slot 0
[21:32:31.322] [SEVERE ] removing player 4 token from slot 0
[21:32:31.323] [SEVERE ] player 4 placing token on slot 0
[21:32:31.322] [SEVERE ] removing player 5 token from slot 0
[21:32:31.323] [SEVERE ] player 5 placing token on slot 0
[21:32:31.323] [SEVERE ] removing player 5 token from slot 0
[21:32:31.323] [SEVERE ] player 5 placing token on slot 0
[21:32:31.322] [SEVERE ] removing player 2 token from slot 0
[21:32:31.323] [SEVERE ] removing player 5 token from slot 0
[21:32:31.323] [SEVERE ] removing player 4 token from slot 0
[21:32:31.324] [SEVERE ] player 5 placing token on slot 0
[21:32:31.324] [SEVERE ] removing player 5 token from slot 0
[21:32:31.324] [SEVERE ] player 5 placing token on slot 0
[21:32:31.324] [SEVERE ] removing player 5 token from slot 0
[21:32:31.325] [SEVERE ] player 5 placing token on slot 0
[21:32:31.325] [SEVERE ] removing player 5 token from slot 0
[21:32:31.325] [SEVERE ] player 5 placing token on slot 0
[21:32:31.325] [SEVERE ] removing player 5 token from slot 0
