[13:32:23.047] [INFO   ] thread main starting.
[13:32:23.051] [SEVERE ] cannot read configuration file config.properties trying from resources.
[13:32:23.054] [SEVERE ] configuration file was loaded from resources directory.
[13:32:23.621] [INFO   ] thread dealer starting.
[13:32:23.739] [SEVERE ] placing card 0 in slot 0
[13:32:23.759] [SEVERE ] player 2 placing token on slot 0
[13:32:23.759] [SEVERE ] player 1 placing token on slot 0
[13:32:23.759] [SEVERE ] player 3 placing token on slot 0
[13:32:23.763] [SEVERE ] player 4 placing token on slot 0
[13:32:23.763] [SEVERE ] removing player 2 token from slot 0
[13:32:23.766] [SEVERE ] removing player 4 token from slot 0
[13:32:23.768] [SEVERE ] player 2 placing token on slot 0
[13:32:23.768] [SEVERE ] player 4 placing token on slot 0
[13:32:23.768] [SEVERE ] removing player 4 token from slot 0
[13:32:23.764] [SEVERE ] removing player 3 token from slot 0
[13:32:23.772] [SEVERE ] removing player 2 token from slot 0
[13:32:23.768] [SEVERE ] player 4 placing token on slot 0
[13:32:23.773] [SEVERE ] removing player 4 token from slot 0
[13:32:23.773] [SEVERE ] player 2 placing token on slot 0
[13:32:23.773] [SEVERE ] player 4 placing token on slot 0
[13:32:23.774] [SEVERE ] removing player 4 token from slot 0
[13:32:23.774] [SEVERE ] removing player 2 token from slot 0
[13:32:23.785] [SEVERE ] player 4 placing token on slot 0
[13:32:23.785] [SEVERE ] player 3 placing token on slot 0
[13:32:23.785] [SEVERE ] player 2 placing token on slot 0
[13:32:23.786] [SEVERE ] removing player 3 token from slot 0
[13:32:23.786] [SEVERE ] removing player 1 token from slot 0
[13:32:23.785] [SEVERE ] removing player 4 token from slot 0
[13:32:23.787] [SEVERE ] player 1 placing token on slot 0
[13:32:23.787] [SEVERE ] player 3 placing token on slot 0
[13:32:23.786] [SEVERE ] removing player 2 token from slot 0
[13:32:23.788] [SEVERE ] player 2 placing token on slot 0
[13:32:23.787] [SEVERE ] removing player 3 token from slot 0
[13:32:23.787] [SEVERE ] removing player 1 token from slot 0
[13:32:23.787] [SEVERE ] player 4 placing token on slot 0
[13:32:23.788] [SEVERE ] player 3 placing token on slot 0
[13:32:23.788] [SEVERE ] removing player 2 token from slot 0
[13:32:23.789] [SEVERE ] player 1 placing token on slot 0
[13:32:23.789] [SEVERE ] removing player 4 token from slot 0
[13:32:23.789] [SEVERE ] removing player 1 token from slot 0
[13:32:23.789] [SEVERE ] player 2 placing token on slot 0
[13:32:23.790] [SEVERE ] removing player 2 token from slot 0
[13:32:23.790] [SEVERE ] player 2 placing token on slot 0
[13:32:23.789] [SEVERE ] removing player 3 token from slot 0
[13:32:23.790] [SEVERE ] player 1 placing token on slot 0
[13:32:23.790] [SEVERE ] removing player 2 token from slot 0
[13:32:23.789] [SEVERE ] player 4 placing token on slot 0
[13:32:23.791] [SEVERE ] player 2 placing token on slot 0
[13:32:23.791] [SEVERE ] removing player 1 token from slot 0
[13:32:23.791] [SEVERE ] player 3 placing token on slot 0
[13:32:23.791] [SEVERE ] removing player 2 token from slot 0
[13:32:23.791] [SEVERE ] removing player 4 token from slot 0
[13:32:23.792] [SEVERE ] removing player 3 token from slot 0
[13:32:23.792] [SEVERE ] player 2 placing token on slot 0
[13:32:23.792] [SEVERE ] player 4 placing token on slot 0
[13:32:23.792] [SEVERE ] player 1 placing token on slot 0
[13:32:23.793] [SEVERE ] player 3 placing token on slot 0
[13:32:23.793] [SEVERE ] removing player 4 token from slot 0
[13:32:23.793] [SEVERE ] removing player 2 token from slot 0
[13:32:23.794] [SEVERE ] player 4 placing token on slot 0
[13:32:23.794] [SEVERE ] removing player 3 token from slot 0
[13:32:23.793] [SEVERE ] removing player 1 token from slot 0
[13:32:23.794] [SEVERE ] removing player 4 token from slot 0
[13:32:23.794] [SEVERE ] player 2 placing token on slot 0
[13:32:23.795] [SEVERE ] player 3 placing token on slot 0
[13:32:23.795] [SEVERE ] removing player 3 token from slot 0
[13:32:23.796] [SEVERE ] player 3 placing token on slot 0
[13:32:23.796] [SEVERE ] removing player 3 token from slot 0
[13:32:23.796] [SEVERE ] removing player 2 token from slot 0
[13:32:23.796] [SEVERE ] player 4 placing token on slot 0
[13:32:23.796] [SEVERE ] player 3 placing token on slot 0
[13:32:23.797] [SEVERE ] player 2 placing token on slot 0
[13:32:23.797] [SEVERE ] removing player 4 token from slot 0
[13:32:23.797] [SEVERE ] player 4 placing token on slot 0
[13:32:23.797] [SEVERE ] removing player 3 token from slot 0
[13:32:23.798] [SEVERE ] player 3 placing token on slot 0
[13:32:23.798] [SEVERE ] removing player 3 token from slot 0
[13:32:23.799] [SEVERE ] player 3 placing token on slot 0
[13:32:23.798] [SEVERE ] removing player 2 token from slot 0
[13:32:23.798] [SEVERE ] removing player 4 token from slot 0
[13:32:23.799] [SEVERE ] player 2 placing token on slot 0
[13:32:23.799] [SEVERE ] removing player 2 token from slot 0
[13:32:23.800] [SEVERE ] player 2 placing token on slot 0
[13:32:23.799] [SEVERE ] removing player 3 token from slot 0
[13:32:23.799] [SEVERE ] player 4 placing token on slot 0
[13:32:23.801] [SEVERE ] removing player 2 token from slot 0
[13:32:23.801] [SEVERE ] removing player 4 token from slot 0
[13:32:23.802] [SEVERE ] player 4 placing token on slot 0
[13:32:23.802] [SEVERE ] removing player 4 token from slot 0
[13:32:23.802] [SEVERE ] player 3 placing token on slot 0
[13:32:23.802] [SEVERE ] player 4 placing token on slot 0
[13:32:23.802] [SEVERE ] player 2 placing token on slot 0
[13:32:23.802] [SEVERE ] removing player 4 token from slot 0
[13:32:23.802] [SEVERE ] removing player 3 token from slot 0
[13:32:23.802] [SEVERE ] player 4 placing token on slot 0
[13:32:23.802] [SEVERE ] removing player 2 token from slot 0
[13:32:23.803] [SEVERE ] removing player 4 token from slot 0
[13:32:23.803] [SEVERE ] player 4 placing token on slot 0
[13:32:23.803] [SEVERE ] removing player 4 token from slot 0
[13:32:23.803] [SEVERE ] player 4 placing token on slot 0
[13:32:23.803] [SEVERE ] removing player 4 token from slot 0
[13:32:23.804] [SEVERE ] player 4 placing token on slot 0
[13:32:23.803] [SEVERE ] player 3 placing token on slot 0
[13:32:23.805] [SEVERE ] removing player 4 token from slot 0
[13:32:23.805] [SEVERE ] removing player 3 token from slot 0
[13:32:23.805] [SEVERE ] player 2 placing token on slot 0
[13:32:23.805] [SEVERE ] player 3 placing token on slot 0
[13:32:23.805] [SEVERE ] player 4 placing token on slot 0
[13:32:23.806] [SEVERE ] removing player 3 token from slot 0
[13:32:23.805] [SEVERE ] removing player 2 token from slot 0
[13:32:23.806] [SEVERE ] player 3 placing token on slot 0
[13:32:23.806] [SEVERE ] removing player 4 token from slot 0
[13:32:23.806] [SEVERE ] removing player 3 token from slot 0
[13:32:23.806] [SEVERE ] player 2 placing token on slot 0
[13:32:23.806] [SEVERE ] player 3 placing token on slot 0
[13:32:23.806] [SEVERE ] player 4 placing token on slot 0
[13:32:23.807] [SEVERE ] removing player 3 token from slot 0
[13:32:23.807] [SEVERE ] removing player 2 token from slot 0
[13:32:23.807] [SEVERE ] player 3 placing token on slot 0
[13:32:23.807] [SEVERE ] removing player 4 token from slot 0
[13:32:23.808] [SEVERE ] removing player 3 token from slot 0
[13:32:23.808] [SEVERE ] player 3 placing token on slot 0
