[14:41:21.213] [INFO   ] thread main starting.
[14:41:21.218] [SEVERE ] cannot read configuration file config.properties trying from resources.
[14:41:21.220] [SEVERE ] configuration file was loaded from resources directory.
[14:41:21.695] [INFO   ] thread dealer starting.
[14:41:21.824] [SEVERE ] placing card 50 in slot 0
[14:41:21.832] [SEVERE ] player 3 placing token on slot 0
[14:41:21.832] [SEVERE ] player 4 placing token on slot 0
[14:41:21.833] [SEVERE ] removing player 4 token from slot 0
[14:41:21.833] [SEVERE ] player 4 placing token on slot 0
[14:41:21.834] [SEVERE ] removing player 4 token from slot 0
[14:41:21.833] [SEVERE ] removing player 3 token from slot 0
[14:41:21.841] [SEVERE ] player 2 placing token on slot 0
[14:41:21.841] [SEVERE ] removing player 2 token from slot 0
[14:41:21.841] [SEVERE ] player 2 placing token on slot 0
[14:41:21.842] [SEVERE ] removing player 2 token from slot 0
[14:41:21.842] [SEVERE ] player 2 placing token on slot 0
[14:41:21.842] [SEVERE ] removing player 2 token from slot 0
[14:41:21.842] [SEVERE ] player 1 placing token on slot 0
[14:41:21.842] [SEVERE ] player 2 placing token on slot 0
[14:41:21.843] [SEVERE ] removing player 1 token from slot 0
[14:41:21.843] [SEVERE ] player 1 placing token on slot 0
[14:41:21.843] [SEVERE ] removing player 1 token from slot 0
[14:41:21.846] [SEVERE ] player 3 placing token on slot 0
[14:41:21.843] [SEVERE ] removing player 2 token from slot 0
[14:41:21.847] [SEVERE ] removing player 3 token from slot 0
[14:41:21.846] [SEVERE ] player 1 placing token on slot 0
[14:41:21.860] [SEVERE ] player 4 placing token on slot 0
[14:41:21.860] [SEVERE ] removing player 1 token from slot 0
[14:41:21.860] [SEVERE ] player 2 placing token on slot 0
[14:41:21.861] [SEVERE ] player 1 placing token on slot 0
[14:41:21.861] [SEVERE ] removing player 1 token from slot 0
[14:41:21.861] [SEVERE ] player 1 placing token on slot 0
[14:41:21.862] [SEVERE ] removing player 1 token from slot 0
[14:41:21.861] [SEVERE ] removing player 4 token from slot 0
[14:41:21.862] [SEVERE ] player 1 placing token on slot 0
[14:41:21.861] [SEVERE ] removing player 2 token from slot 0
[14:41:21.862] [SEVERE ] removing player 1 token from slot 0
[14:41:21.862] [SEVERE ] player 4 placing token on slot 0
[14:41:21.862] [SEVERE ] player 2 placing token on slot 0
[14:41:21.863] [SEVERE ] removing player 4 token from slot 0
[14:41:21.863] [SEVERE ] player 1 placing token on slot 0
[14:41:21.863] [SEVERE ] removing player 2 token from slot 0
[14:41:21.863] [SEVERE ] removing player 1 token from slot 0
[14:41:21.864] [SEVERE ] player 1 placing token on slot 0
[14:41:21.864] [SEVERE ] removing player 1 token from slot 0
[14:41:21.864] [SEVERE ] player 1 placing token on slot 0
[14:41:21.864] [SEVERE ] removing player 1 token from slot 0
[14:41:21.864] [SEVERE ] player 1 placing token on slot 0
[14:41:21.865] [SEVERE ] removing player 1 token from slot 0
[14:41:21.865] [SEVERE ] player 1 placing token on slot 0
[14:41:21.866] [SEVERE ] player 4 placing token on slot 0
[14:41:21.866] [SEVERE ] player 2 placing token on slot 0
[14:41:21.866] [SEVERE ] removing player 1 token from slot 0
[14:41:21.866] [SEVERE ] removing player 2 token from slot 0
[14:41:21.866] [SEVERE ] player 1 placing token on slot 0
[14:41:21.866] [SEVERE ] player 2 placing token on slot 0
[14:41:21.867] [SEVERE ] removing player 1 token from slot 0
[14:41:21.867] [SEVERE ] removing player 2 token from slot 0
[14:41:21.867] [SEVERE ] player 1 placing token on slot 0
[14:41:21.867] [SEVERE ] player 2 placing token on slot 0
[14:41:21.868] [SEVERE ] removing player 1 token from slot 0
[14:41:21.868] [SEVERE ] player 3 placing token on slot 0
[14:41:21.868] [SEVERE ] removing player 4 token from slot 0
[14:41:21.869] [SEVERE ] removing player 3 token from slot 0
[14:41:21.868] [SEVERE ] removing player 2 token from slot 0
[14:41:21.868] [SEVERE ] player 1 placing token on slot 0
[14:41:21.871] [SEVERE ] player 2 placing token on slot 0
[14:41:21.871] [SEVERE ] player 4 placing token on slot 0
[14:41:21.871] [SEVERE ] player 3 placing token on slot 0
