[14:39:13.024] [INFO   ] thread main starting.
[14:39:13.029] [SEVERE ] cannot read configuration file config.properties trying from resources.
[14:39:13.030] [SEVERE ] configuration file was loaded from resources directory.
[14:39:13.475] [INFO   ] thread dealer starting.
[14:39:13.633] [SEVERE ] placing card 40 in slot 0
[14:39:13.645] [SEVERE ] player 4 placing token on slot 0
[14:39:13.645] [SEVERE ] player 2 placing token on slot 0
[14:39:13.645] [SEVERE ] player 1 placing token on slot 0
[14:39:13.646] [SEVERE ] removing player 2 token from slot 0
[14:39:13.646] [SEVERE ] removing player 1 token from slot 0
[14:39:13.647] [SEVERE ] removing player 4 token from slot 0
[14:39:13.646] [SEVERE ] player 2 placing token on slot 0
[14:39:13.649] [SEVERE ] player 1 placing token on slot 0
[14:39:13.650] [SEVERE ] removing player 2 token from slot 0
[14:39:13.651] [SEVERE ] player 2 placing token on slot 0
[14:39:13.651] [SEVERE ] removing player 2 token from slot 0
[14:39:13.651] [SEVERE ] player 2 placing token on slot 0
[14:39:13.652] [SEVERE ] removing player 1 token from slot 0
[14:39:13.652] [SEVERE ] removing player 2 token from slot 0
[14:39:13.652] [SEVERE ] player 2 placing token on slot 0
[14:39:13.653] [SEVERE ] removing player 2 token from slot 0
[14:39:13.653] [SEVERE ] player 1 placing token on slot 0
[14:39:13.654] [SEVERE ] player 4 placing token on slot 0
[14:39:13.654] [SEVERE ] player 2 placing token on slot 0
[14:39:13.655] [SEVERE ] removing player 1 token from slot 0
[14:39:13.655] [SEVERE ] removing player 2 token from slot 0
[14:39:13.655] [SEVERE ] removing player 4 token from slot 0
[14:39:13.655] [SEVERE ] player 3 placing token on slot 0
[14:39:13.655] [SEVERE ] player 2 placing token on slot 0
[14:39:13.655] [SEVERE ] player 1 placing token on slot 0
[14:39:13.657] [SEVERE ] removing player 1 token from slot 0
[14:39:13.657] [SEVERE ] player 1 placing token on slot 0
[14:39:13.658] [SEVERE ] removing player 1 token from slot 0
[14:39:13.658] [SEVERE ] player 1 placing token on slot 0
[14:39:13.658] [SEVERE ] removing player 1 token from slot 0
[14:39:13.658] [SEVERE ] player 1 placing token on slot 0
[14:39:13.658] [SEVERE ] removing player 1 token from slot 0
[14:39:13.658] [SEVERE ] player 1 placing token on slot 0
[14:39:13.659] [SEVERE ] removing player 1 token from slot 0
[14:39:13.656] [SEVERE ] player 4 placing token on slot 0
[14:39:13.666] [SEVERE ] removing player 3 token from slot 0
[14:39:13.666] [SEVERE ] removing player 4 token from slot 0
[14:39:13.666] [SEVERE ] removing player 2 token from slot 0
[14:39:13.666] [SEVERE ] player 1 placing token on slot 0
[14:39:13.667] [SEVERE ] removing player 1 token from slot 0
[14:39:13.667] [SEVERE ] player 1 placing token on slot 0
[14:39:13.667] [SEVERE ] removing player 1 token from slot 0
[14:39:13.668] [SEVERE ] player 1 placing token on slot 0
[14:39:13.668] [SEVERE ] player 4 placing token on slot 0
[14:39:13.668] [SEVERE ] player 2 placing token on slot 0
[14:39:13.668] [SEVERE ] removing player 1 token from slot 0
[14:39:13.668] [SEVERE ] player 1 placing token on slot 0
[14:39:13.668] [SEVERE ] removing player 1 token from slot 0
[14:39:13.669] [SEVERE ] player 1 placing token on slot 0
[14:39:13.670] [SEVERE ] removing player 4 token from slot 0
[14:39:13.670] [SEVERE ] removing player 2 token from slot 0
[14:39:13.671] [SEVERE ] player 2 placing token on slot 0
[14:39:13.672] [SEVERE ] removing player 1 token from slot 0
[14:39:13.672] [SEVERE ] removing player 2 token from slot 0
[14:39:13.672] [SEVERE ] player 1 placing token on slot 0
[14:39:13.672] [SEVERE ] removing player 1 token from slot 0
[14:39:13.672] [SEVERE ] player 2 placing token on slot 0
[14:39:13.673] [SEVERE ] player 1 placing token on slot 0
[14:39:13.675] [SEVERE ] removing player 2 token from slot 0
[14:39:13.676] [SEVERE ] player 3 placing token on slot 0
[14:39:13.675] [SEVERE ] removing player 1 token from slot 0
[14:39:13.675] [SEVERE ] player 4 placing token on slot 0
[14:39:13.676] [SEVERE ] player 1 placing token on slot 0
[14:39:13.677] [SEVERE ] removing player 1 token from slot 0
[14:39:13.676] [SEVERE ] removing player 3 token from slot 0
[14:39:13.676] [SEVERE ] player 2 placing token on slot 0
[14:39:13.678] [SEVERE ] player 3 placing token on slot 0
[14:39:13.678] [SEVERE ] player 1 placing token on slot 0
[14:39:13.678] [SEVERE ] removing player 2 token from slot 0
[14:39:13.678] [SEVERE ] removing player 4 token from slot 0
[14:39:13.678] [SEVERE ] removing player 3 token from slot 0
[14:39:13.678] [SEVERE ] player 4 placing token on slot 0
[14:39:13.679] [SEVERE ] player 3 placing token on slot 0
[14:39:13.679] [SEVERE ] removing player 3 token from slot 0
[14:39:13.679] [SEVERE ] player 2 placing token on slot 0
[14:39:13.679] [SEVERE ] removing player 1 token from slot 0
[14:39:13.684] [SEVERE ] player 1 placing token on slot 0
[14:39:13.684] [SEVERE ] removing player 2 token from slot 0
[14:39:13.684] [SEVERE ] removing player 4 token from slot 0
[14:39:13.684] [SEVERE ] player 3 placing token on slot 0
[14:39:13.684] [SEVERE ] player 4 placing token on slot 0
[14:39:13.684] [SEVERE ] player 2 placing token on slot 0
[14:39:13.684] [SEVERE ] removing player 1 token from slot 0
[14:39:13.685] [SEVERE ] removing player 2 token from slot 0
[14:39:13.685] [SEVERE ] removing player 4 token from slot 0
[14:39:13.685] [SEVERE ] removing player 3 token from slot 0
[14:39:13.685] [SEVERE ] player 4 placing token on slot 0
[14:39:13.685] [SEVERE ] player 2 placing token on slot 0
[14:39:13.685] [SEVERE ] player 1 placing token on slot 0
[14:39:13.686] [SEVERE ] removing player 4 token from slot 0
[14:39:13.686] [SEVERE ] removing player 2 token from slot 0
[14:39:13.686] [SEVERE ] player 3 placing token on slot 0
