[12:06:23.542] [INFO   ] thread main starting.
[12:06:23.547] [SEVERE ] cannot read configuration file config.properties trying from resources.
[12:06:23.550] [SEVERE ] configuration file was loaded from resources directory.
[12:06:24.108] [INFO   ] thread dealer starting.
[12:06:24.243] [SEVERE ] placing card 36 in slot 0
[12:06:24.243] [SEVERE ] player 3 placing token on slot 0
[12:06:24.243] [SEVERE ] player 2 placing token on slot 0
[12:06:24.245] [SEVERE ] removing player 2 token from slot 0
[12:06:24.245] [SEVERE ] player 2 placing token on slot 0
[12:06:24.246] [SEVERE ] removing player 2 token from slot 0
[12:06:24.246] [SEVERE ] removing player 3 token from slot 0
[12:06:24.248] [SEVERE ] player 2 placing token on slot 0
[12:06:24.248] [SEVERE ] player 3 placing token on slot 0
[12:06:24.249] [SEVERE ] removing player 2 token from slot 0
[12:06:24.249] [SEVERE ] removing player 3 token from slot 0
[12:06:24.249] [SEVERE ] player 2 placing token on slot 0
[12:06:24.249] [SEVERE ] player 3 placing token on slot 0
[12:06:24.249] [SEVERE ] removing player 2 token from slot 0
[12:06:24.250] [SEVERE ] removing player 3 token from slot 0
[12:06:24.250] [SEVERE ] player 2 placing token on slot 0
[12:06:24.250] [SEVERE ] player 3 placing token on slot 0
[12:06:24.250] [SEVERE ] removing player 2 token from slot 0
[12:06:24.250] [SEVERE ] removing player 3 token from slot 0
[12:06:24.251] [SEVERE ] player 2 placing token on slot 0
[12:06:24.251] [SEVERE ] player 3 placing token on slot 0
[12:06:24.251] [SEVERE ] removing player 2 token from slot 0
[12:06:24.251] [SEVERE ] removing player 3 token from slot 0
[12:06:24.251] [SEVERE ] player 2 placing token on slot 0
[12:06:24.252] [SEVERE ] removing player 2 token from slot 0
[12:06:24.252] [SEVERE ] player 3 placing token on slot 0
[12:06:24.252] [SEVERE ] removing player 3 token from slot 0
[12:06:24.252] [SEVERE ] player 2 placing token on slot 0
[12:06:24.253] [SEVERE ] player 3 placing token on slot 0
[12:06:24.253] [SEVERE ] removing player 2 token from slot 0
[12:06:24.253] [SEVERE ] removing player 3 token from slot 0
[12:06:24.253] [SEVERE ] player 3 placing token on slot 0
[12:06:24.254] [SEVERE ] removing player 3 token from slot 0
[12:06:24.254] [SEVERE ] player 2 placing token on slot 0
[12:06:24.254] [SEVERE ] removing player 2 token from slot 0
[12:06:24.254] [SEVERE ] player 3 placing token on slot 0
[12:06:24.255] [SEVERE ] removing player 3 token from slot 0
[12:06:24.255] [SEVERE ] player 3 placing token on slot 0
[12:06:24.255] [SEVERE ] removing player 3 token from slot 0
[12:06:24.254] [SEVERE ] player 2 placing token on slot 0
[12:06:24.255] [SEVERE ] player 3 placing token on slot 0
[12:06:24.255] [SEVERE ] removing player 2 token from slot 0
[12:06:24.256] [SEVERE ] removing player 3 token from slot 0
[12:06:24.256] [SEVERE ] player 2 placing token on slot 0
[12:06:24.256] [SEVERE ] player 3 placing token on slot 0
[12:06:24.256] [SEVERE ] removing player 2 token from slot 0
[12:06:24.256] [SEVERE ] removing player 3 token from slot 0
[12:06:24.256] [SEVERE ] player 2 placing token on slot 0
[12:06:24.257] [SEVERE ] player 3 placing token on slot 0
[12:06:24.257] [SEVERE ] removing player 2 token from slot 0
[12:06:24.257] [SEVERE ] removing player 3 token from slot 0
[12:06:24.257] [SEVERE ] player 2 placing token on slot 0
[12:06:24.257] [SEVERE ] player 3 placing token on slot 0
[12:06:24.258] [SEVERE ] removing player 2 token from slot 0
[12:06:24.258] [SEVERE ] removing player 3 token from slot 0
[12:06:24.258] [SEVERE ] player 2 placing token on slot 0
[12:06:24.258] [SEVERE ] player 3 placing token on slot 0
[12:06:24.259] [SEVERE ] removing player 2 token from slot 0
[12:06:24.259] [SEVERE ] removing player 3 token from slot 0
[12:06:24.260] [SEVERE ] player 3 placing token on slot 0
[12:06:24.260] [SEVERE ] removing player 3 token from slot 0
[12:06:24.260] [SEVERE ] player 2 placing token on slot 0
[12:06:24.260] [SEVERE ] player 3 placing token on slot 0
[12:06:24.261] [SEVERE ] removing player 2 token from slot 0
[12:06:24.261] [SEVERE ] removing player 3 token from slot 0
[12:06:24.261] [SEVERE ] player 2 placing token on slot 0
[12:06:24.261] [SEVERE ] player 3 placing token on slot 0
[12:06:24.262] [SEVERE ] removing player 2 token from slot 0
[12:06:24.262] [SEVERE ] removing player 3 token from slot 0
[12:06:24.262] [SEVERE ] player 3 placing token on slot 0
[12:06:24.262] [SEVERE ] player 2 placing token on slot 0
[12:06:24.262] [SEVERE ] removing player 3 token from slot 0
[12:06:24.263] [SEVERE ] removing player 2 token from slot 0
[12:06:24.263] [SEVERE ] player 3 placing token on slot 0
[12:06:24.263] [SEVERE ] player 2 placing token on slot 0
[12:06:24.263] [SEVERE ] removing player 3 token from slot 0
[12:06:24.263] [SEVERE ] removing player 2 token from slot 0
[12:06:24.264] [SEVERE ] player 3 placing token on slot 0
[12:06:24.264] [SEVERE ] player 2 placing token on slot 0
[12:06:24.264] [SEVERE ] removing player 3 token from slot 0
[12:06:24.264] [SEVERE ] removing player 2 token from slot 0
[12:06:24.264] [SEVERE ] player 3 placing token on slot 0
[12:06:24.264] [SEVERE ] player 2 placing token on slot 0
[12:06:24.265] [SEVERE ] removing player 3 token from slot 0
