[21:27:36.836] [INFO   ] thread main starting.
[21:27:36.841] [SEVERE ] cannot read configuration file config.properties trying from resources.
[21:27:36.842] [SEVERE ] configuration file was loaded from resources directory.
[21:27:37.323] [INFO   ] thread dealer starting.
[21:27:37.435] [SEVERE ] placing card 78 in slot 0
[21:27:37.435] [SEVERE ] player 4 placing token on slot 0
[21:27:37.435] [SEVERE ] player 2 placing token on slot 0
[21:27:37.439] [SEVERE ] removing player 2 token from slot 0
[21:27:37.439] [SEVERE ] player 2 placing token on slot 0
[21:27:37.435] [SEVERE ] player 3 placing token on slot 0
[21:27:37.439] [SEVERE ] removing player 2 token from slot 0
[21:27:37.436] [SEVERE ] removing player 4 token from slot 0
[21:27:37.444] [SEVERE ] player 2 placing token on slot 0
[21:27:37.444] [SEVERE ] removing player 2 token from slot 0
[21:27:37.445] [SEVERE ] player 2 placing token on slot 0
[21:27:37.446] [SEVERE ] removing player 2 token from slot 0
[21:27:37.443] [SEVERE ] removing player 3 token from slot 0
[21:27:37.444] [SEVERE ] player 4 placing token on slot 0
[21:27:37.448] [SEVERE ] player 2 placing token on slot 0
[21:27:37.448] [SEVERE ] removing player 2 token from slot 0
[21:27:37.448] [SEVERE ] player 2 placing token on slot 0
[21:27:37.449] [SEVERE ] removing player 2 token from slot 0
[21:27:37.448] [SEVERE ] player 3 placing token on slot 0
[21:27:37.450] [SEVERE ] player 5 placing token on slot 0
[21:27:37.451] [SEVERE ] removing player 5 token from slot 0
[21:27:37.450] [SEVERE ] player 2 placing token on slot 0
[21:27:37.448] [SEVERE ] removing player 4 token from slot 0
[21:27:37.452] [SEVERE ] player 4 placing token on slot 0
[21:27:37.452] [SEVERE ] removing player 4 token from slot 0
[21:27:37.452] [SEVERE ] player 4 placing token on slot 0
[21:27:37.452] [SEVERE ] removing player 4 token from slot 0
[21:27:37.452] [SEVERE ] player 4 placing token on slot 0
[21:27:37.452] [SEVERE ] removing player 4 token from slot 0
[21:27:37.453] [SEVERE ] player 4 placing token on slot 0
