[21:49:05.173] [INFO   ] thread main starting.
[21:49:05.178] [SEVERE ] cannot read configuration file config.properties trying from resources.
[21:49:05.181] [SEVERE ] configuration file was loaded from resources directory.
[21:49:05.708] [INFO   ] thread dealer starting.
[21:49:05.827] [SEVERE ] placing card 19 in slot 0
[21:49:05.827] [SEVERE ] player 2 placing token on slot 0
[21:49:05.827] [SEVERE ] player 4 placing token on slot 0
[21:49:05.827] [SEVERE ] player 3 placing token on slot 0
[21:49:05.827] [SEVERE ] player 5 placing token on slot 0
[21:49:05.829] [SEVERE ] removing player 5 token from slot 0
[21:49:05.833] [SEVERE ] player 5 placing token on slot 0
[21:49:05.833] [SEVERE ] removing player 5 token from slot 0
[21:49:05.833] [SEVERE ] player 5 placing token on slot 0
[21:49:05.830] [SEVERE ] removing player 2 token from slot 0
[21:49:05.835] [SEVERE ] player 2 placing token on slot 0
[21:49:05.835] [SEVERE ] removing player 2 token from slot 0
[21:49:05.829] [SEVERE ] removing player 3 token from slot 0
[21:49:05.829] [SEVERE ] removing player 4 token from slot 0
[21:49:05.841] [SEVERE ] player 4 placing token on slot 0
[21:49:05.841] [SEVERE ] removing player 4 token from slot 0
[21:49:05.841] [SEVERE ] player 4 placing token on slot 0
[21:49:05.841] [SEVERE ] removing player 4 token from slot 0
[21:49:05.842] [SEVERE ] player 4 placing token on slot 0
[21:49:05.842] [SEVERE ] removing player 4 token from slot 0
[21:49:05.841] [SEVERE ] player 3 placing token on slot 0
[21:49:05.843] [SEVERE ] removing player 3 token from slot 0
[21:49:05.843] [SEVERE ] player 3 placing token on slot 0
[21:49:05.844] [SEVERE ] removing player 3 token from slot 0
[21:49:05.844] [SEVERE ] player 3 placing token on slot 0
[21:49:05.844] [SEVERE ] removing player 3 token from slot 0
[21:49:05.845] [SEVERE ] player 3 placing token on slot 0
[21:49:05.846] [SEVERE ] removing player 3 token from slot 0
[21:49:05.846] [SEVERE ] player 3 placing token on slot 0
[21:49:05.846] [SEVERE ] removing player 3 token from slot 0
[21:49:05.847] [SEVERE ] player 3 placing token on slot 0
[21:49:05.847] [SEVERE ] removing player 3 token from slot 0
[21:49:05.847] [SEVERE ] player 3 placing token on slot 0
[21:49:05.847] [SEVERE ] removing player 3 token from slot 0
[21:49:05.849] [SEVERE ] player 3 placing token on slot 0
[21:49:05.840] [SEVERE ] player 2 placing token on slot 0
[21:49:05.834] [SEVERE ] removing player 5 token from slot 0
[21:49:05.850] [SEVERE ] removing player 3 token from slot 0
[21:49:05.851] [SEVERE ] player 3 placing token on slot 0
[21:49:05.851] [SEVERE ] removing player 3 token from slot 0
[21:49:05.852] [SEVERE ] player 3 placing token on slot 0
[21:49:05.852] [SEVERE ] removing player 3 token from slot 0
