[14:37:22.215] [INFO   ] thread main starting.
[14:37:22.221] [SEVERE ] cannot read configuration file config.properties trying from resources.
[14:37:22.223] [SEVERE ] configuration file was loaded from resources directory.
[14:37:22.763] [INFO   ] thread dealer starting.
[14:37:22.883] [SEVERE ] player 3 placing token on slot 0
[14:37:22.883] [SEVERE ] placing card 29 in slot 0
[14:37:22.884] [SEVERE ] player 1 placing token on slot 0
[14:37:22.884] [SEVERE ] player 4 placing token on slot 0
[14:37:22.883] [SEVERE ] player 2 placing token on slot 0
[14:37:22.886] [SEVERE ] removing player 2 token from slot 0
[14:37:22.893] [SEVERE ] player 2 placing token on slot 0
[14:37:22.892] [SEVERE ] removing player 3 token from slot 0
[14:37:22.887] [SEVERE ] removing player 4 token from slot 0
[14:37:22.886] [SEVERE ] removing player 1 token from slot 0
[14:37:22.898] [SEVERE ] player 4 placing token on slot 0
[14:37:22.895] [SEVERE ] removing player 2 token from slot 0
[14:37:22.899] [SEVERE ] player 1 placing token on slot 0
[14:37:22.899] [SEVERE ] removing player 4 token from slot 0
[14:37:22.899] [SEVERE ] player 4 placing token on slot 0
[14:37:22.900] [SEVERE ] removing player 4 token from slot 0
[14:37:22.900] [SEVERE ] player 4 placing token on slot 0
[14:37:22.900] [SEVERE ] removing player 4 token from slot 0
[14:37:22.900] [SEVERE ] player 4 placing token on slot 0
[14:37:22.900] [SEVERE ] removing player 4 token from slot 0
[14:37:22.901] [SEVERE ] player 3 placing token on slot 0
[14:37:22.902] [SEVERE ] removing player 3 token from slot 0
[14:37:22.902] [SEVERE ] player 3 placing token on slot 0
[14:37:22.899] [SEVERE ] player 2 placing token on slot 0
[14:37:22.910] [SEVERE ] removing player 3 token from slot 0
[14:37:22.910] [SEVERE ] player 4 placing token on slot 0
[14:37:22.910] [SEVERE ] removing player 1 token from slot 0
[14:37:22.911] [SEVERE ] removing player 4 token from slot 0
[14:37:22.911] [SEVERE ] player 3 placing token on slot 0
[14:37:22.911] [SEVERE ] player 4 placing token on slot 0
[14:37:22.912] [SEVERE ] removing player 4 token from slot 0
[14:37:22.912] [SEVERE ] player 4 placing token on slot 0
[14:37:22.912] [SEVERE ] removing player 4 token from slot 0
[14:37:22.912] [SEVERE ] player 4 placing token on slot 0
[14:37:22.912] [SEVERE ] removing player 4 token from slot 0
[14:37:22.912] [SEVERE ] player 4 placing token on slot 0
[14:37:22.913] [SEVERE ] removing player 3 token from slot 0
[14:37:22.913] [SEVERE ] removing player 4 token from slot 0
[14:37:22.913] [SEVERE ] player 3 placing token on slot 0
[14:37:22.913] [SEVERE ] player 4 placing token on slot 0
[14:37:22.913] [SEVERE ] removing player 3 token from slot 0
[14:37:22.913] [SEVERE ] removing player 4 token from slot 0
[14:37:22.914] [SEVERE ] player 3 placing token on slot 0
[14:37:22.914] [SEVERE ] player 1 placing token on slot 0
[14:37:22.914] [SEVERE ] player 4 placing token on slot 0
[14:37:22.914] [SEVERE ] removing player 1 token from slot 0
[14:37:22.915] [SEVERE ] player 1 placing token on slot 0
[14:37:22.915] [SEVERE ] removing player 4 token from slot 0
[14:37:22.915] [SEVERE ] removing player 3 token from slot 0
[14:37:22.916] [SEVERE ] removing player 1 token from slot 0
[14:37:22.918] [SEVERE ] player 1 placing token on slot 0
[14:37:22.918] [SEVERE ] removing player 1 token from slot 0
[14:37:22.918] [SEVERE ] player 1 placing token on slot 0
[14:37:22.918] [SEVERE ] removing player 1 token from slot 0
[14:37:22.920] [SEVERE ] player 3 placing token on slot 0
[14:37:22.920] [SEVERE ] removing player 3 token from slot 0
[14:37:22.920] [SEVERE ] player 3 placing token on slot 0
[14:37:22.920] [SEVERE ] removing player 3 token from slot 0
[14:37:22.920] [SEVERE ] player 3 placing token on slot 0
[14:37:22.920] [SEVERE ] removing player 3 token from slot 0
[14:37:22.921] [SEVERE ] removing player 2 token from slot 0
[14:37:22.929] [SEVERE ] player 1 placing token on slot 0
[14:37:22.930] [SEVERE ] removing player 1 token from slot 0
[14:37:22.930] [SEVERE ] player 1 placing token on slot 0
[14:37:22.930] [SEVERE ] removing player 1 token from slot 0
[14:37:22.930] [SEVERE ] player 1 placing token on slot 0
[14:37:22.931] [SEVERE ] removing player 1 token from slot 0
[14:37:22.931] [SEVERE ] player 1 placing token on slot 0
[14:37:22.931] [SEVERE ] removing player 1 token from slot 0
[14:37:22.933] [SEVERE ] player 1 placing token on slot 0
[14:37:22.933] [SEVERE ] removing player 1 token from slot 0
[14:37:22.933] [SEVERE ] player 1 placing token on slot 0
[14:37:22.934] [SEVERE ] removing player 1 token from slot 0
[14:37:22.934] [SEVERE ] player 1 placing token on slot 0
[14:37:22.934] [SEVERE ] removing player 1 token from slot 0
[14:37:22.934] [SEVERE ] player 1 placing token on slot 0
[14:37:22.934] [SEVERE ] removing player 1 token from slot 0
[14:37:22.934] [SEVERE ] player 1 placing token on slot 0
[14:37:22.934] [SEVERE ] removing player 1 token from slot 0
[14:37:22.937] [SEVERE ] player 1 placing token on slot 0
[14:37:22.938] [SEVERE ] removing player 1 token from slot 0
[14:37:22.938] [SEVERE ] player 1 placing token on slot 0
