[21:25:22.655] [INFO   ] thread main starting.
[21:25:22.660] [SEVERE ] cannot read configuration file config.properties trying from resources.
[21:25:22.667] [SEVERE ] configuration file was loaded from resources directory.
[21:25:23.208] [INFO   ] thread dealer starting.
[21:25:23.326] [SEVERE ] placing card 10 in slot 0
[21:25:23.326] [SEVERE ] player 2 placing token on slot 0
[21:25:23.326] [SEVERE ] player 5 placing token on slot 0
[21:25:23.326] [SEVERE ] player 3 placing token on slot 0
[21:25:23.334] [SEVERE ] removing player 3 token from slot 0
[21:25:23.334] [SEVERE ] player 3 placing token on slot 0
[21:25:23.339] [SEVERE ] removing player 3 token from slot 0
[21:25:23.334] [SEVERE ] player 4 placing token on slot 0
[21:25:23.327] [SEVERE ] removing player 2 token from slot 0
[21:25:23.342] [SEVERE ] player 2 placing token on slot 0
[21:25:23.342] [SEVERE ] removing player 2 token from slot 0
[21:25:23.342] [SEVERE ] player 2 placing token on slot 0
[21:25:23.327] [SEVERE ] removing player 5 token from slot 0
[21:25:23.342] [SEVERE ] removing player 2 token from slot 0
[21:25:23.342] [SEVERE ] player 2 placing token on slot 0
[21:25:23.343] [SEVERE ] removing player 2 token from slot 0
[21:25:23.343] [SEVERE ] player 2 placing token on slot 0
[21:25:23.343] [SEVERE ] removing player 2 token from slot 0
[21:25:23.343] [SEVERE ] player 2 placing token on slot 0
[21:25:23.343] [SEVERE ] removing player 2 token from slot 0
[21:25:23.343] [SEVERE ] player 2 placing token on slot 0
[21:25:23.341] [SEVERE ] removing player 4 token from slot 0
[21:25:23.344] [SEVERE ] player 4 placing token on slot 0
[21:25:23.345] [SEVERE ] removing player 4 token from slot 0
[21:25:23.345] [SEVERE ] player 4 placing token on slot 0
[21:25:23.346] [SEVERE ] removing player 4 token from slot 0
[21:25:23.346] [SEVERE ] player 4 placing token on slot 0
[21:25:23.346] [SEVERE ] removing player 4 token from slot 0
[21:25:23.346] [SEVERE ] player 4 placing token on slot 0
[21:25:23.346] [SEVERE ] removing player 4 token from slot 0
[21:25:23.346] [SEVERE ] player 4 placing token on slot 0
[21:25:23.346] [SEVERE ] removing player 4 token from slot 0
[21:25:23.347] [SEVERE ] player 4 placing token on slot 0
[21:25:23.347] [SEVERE ] removing player 4 token from slot 0
[21:25:23.347] [SEVERE ] player 4 placing token on slot 0
[21:25:23.347] [SEVERE ] removing player 4 token from slot 0
[21:25:23.347] [SEVERE ] player 4 placing token on slot 0
[21:25:23.348] [SEVERE ] removing player 4 token from slot 0
[21:25:23.348] [SEVERE ] player 4 placing token on slot 0
[21:25:23.348] [SEVERE ] removing player 4 token from slot 0
[21:25:23.348] [SEVERE ] player 4 placing token on slot 0
[21:25:23.348] [SEVERE ] removing player 4 token from slot 0
[21:25:23.349] [SEVERE ] player 4 placing token on slot 0
