[15:25:43.566] [INFO   ] thread main starting.
[15:25:43.573] [SEVERE ] cannot read configuration file config.properties trying from resources.
[15:25:43.575] [SEVERE ] configuration file was loaded from resources directory.
[15:25:44.010] [INFO   ] thread dealer starting.
[15:25:44.126] [SEVERE ] placing card 2 in slot 0
[15:25:44.129] [SEVERE ] player 2 placing token on slot 0
[15:25:44.129] [SEVERE ] player 1 placing token on slot 0
[15:25:44.129] [SEVERE ] player 4 placing token on slot 0
[15:25:44.129] [SEVERE ] player 3 placing token on slot 0
[15:25:44.130] [SEVERE ] removing player 2 token from slot 0
[15:25:44.133] [SEVERE ] removing player 4 token from slot 0
[15:25:44.131] [SEVERE ] removing player 1 token from slot 0
[15:25:44.134] [SEVERE ] player 1 placing token on slot 0
[15:25:44.134] [SEVERE ] removing player 1 token from slot 0
[15:25:44.135] [SEVERE ] player 1 placing token on slot 0
[15:25:44.135] [SEVERE ] removing player 1 token from slot 0
[15:25:44.135] [SEVERE ] player 1 placing token on slot 0
[15:25:44.135] [SEVERE ] removing player 1 token from slot 0
[15:25:44.135] [SEVERE ] removing player 3 token from slot 0
[15:25:44.135] [SEVERE ] player 1 placing token on slot 0
[15:25:44.152] [SEVERE ] player 3 placing token on slot 0
[15:25:44.152] [SEVERE ] player 4 placing token on slot 0
[15:25:44.152] [SEVERE ] removing player 1 token from slot 0
[15:25:44.152] [SEVERE ] removing player 3 token from slot 0
[15:25:44.154] [SEVERE ] player 3 placing token on slot 0
[15:25:44.155] [SEVERE ] removing player 3 token from slot 0
[15:25:44.155] [SEVERE ] player 3 placing token on slot 0
[15:25:44.155] [SEVERE ] removing player 3 token from slot 0
[15:25:44.155] [SEVERE ] player 3 placing token on slot 0
[15:25:44.156] [SEVERE ] removing player 3 token from slot 0
[15:25:44.156] [SEVERE ] player 3 placing token on slot 0
[15:25:44.156] [SEVERE ] removing player 4 token from slot 0
[15:25:44.157] [SEVERE ] player 4 placing token on slot 0
[15:25:44.167] [SEVERE ] removing player 4 token from slot 0
[15:25:44.167] [SEVERE ] player 1 placing token on slot 0
[15:25:44.167] [SEVERE ] player 2 placing token on slot 0
[15:25:44.168] [SEVERE ] removing player 1 token from slot 0
[15:25:44.168] [SEVERE ] removing player 2 token from slot 0
[15:25:44.167] [SEVERE ] removing player 3 token from slot 0
[15:25:44.168] [SEVERE ] player 2 placing token on slot 0
[15:25:44.168] [SEVERE ] player 4 placing token on slot 0
[15:25:44.168] [SEVERE ] player 1 placing token on slot 0
[15:25:44.168] [SEVERE ] removing player 2 token from slot 0
[15:25:44.168] [SEVERE ] player 3 placing token on slot 0
[15:25:44.169] [SEVERE ] removing player 1 token from slot 0
[15:25:44.169] [SEVERE ] player 1 placing token on slot 0
[15:25:44.169] [SEVERE ] removing player 1 token from slot 0
[15:25:44.170] [SEVERE ] player 1 placing token on slot 0
[15:25:44.170] [SEVERE ] removing player 1 token from slot 0
[15:25:44.170] [SEVERE ] player 2 placing token on slot 0
[15:25:44.171] [SEVERE ] removing player 3 token from slot 0
[15:25:44.170] [SEVERE ] player 1 placing token on slot 0
[15:25:44.171] [SEVERE ] removing player 1 token from slot 0
[15:25:44.171] [SEVERE ] player 3 placing token on slot 0
[15:25:44.178] [SEVERE ] removing player 2 token from slot 0
[15:25:44.178] [SEVERE ] player 2 placing token on slot 0
[15:25:44.179] [SEVERE ] removing player 2 token from slot 0
[15:25:44.179] [SEVERE ] player 1 placing token on slot 0
[15:25:44.179] [SEVERE ] removing player 1 token from slot 0
[15:25:44.179] [SEVERE ] player 2 placing token on slot 0
[15:25:44.179] [SEVERE ] player 1 placing token on slot 0
[15:25:44.180] [SEVERE ] removing player 2 token from slot 0
[15:25:44.180] [SEVERE ] removing player 1 token from slot 0
