[13:54:56.983] [INFO   ] thread main starting.
[13:54:56.988] [SEVERE ] cannot read configuration file config.properties trying from resources.
[13:54:56.990] [SEVERE ] configuration file was loaded from resources directory.
[13:54:57.536] [INFO   ] thread dealer starting.
[13:54:57.661] [SEVERE ] placing card 17 in slot 0
[13:54:57.661] [SEVERE ] player 2 placing token on slot 0
[13:54:57.664] [SEVERE ] player 1 placing token on slot 0
[13:54:57.669] [SEVERE ] removing player 2 token from slot 0
[13:54:57.669] [SEVERE ] player 4 placing token on slot 0
[13:54:57.669] [SEVERE ] removing player 1 token from slot 0
[13:54:57.670] [SEVERE ] player 3 placing token on slot 0
[13:54:57.670] [SEVERE ] removing player 4 token from slot 0
[13:54:57.673] [SEVERE ] player 1 placing token on slot 0
[13:54:57.674] [SEVERE ] player 4 placing token on slot 0
[13:54:57.674] [SEVERE ] removing player 4 token from slot 0
[13:54:57.674] [SEVERE ] player 4 placing token on slot 0
[13:54:57.674] [SEVERE ] removing player 3 token from slot 0
[13:54:57.687] [SEVERE ] removing player 1 token from slot 0
[13:54:57.687] [SEVERE ] player 2 placing token on slot 0
[13:54:57.688] [SEVERE ] player 1 placing token on slot 0
[13:54:57.688] [SEVERE ] removing player 2 token from slot 0
[13:54:57.688] [SEVERE ] removing player 1 token from slot 0
[13:54:57.689] [SEVERE ] player 2 placing token on slot 0
[13:54:57.689] [SEVERE ] player 3 placing token on slot 0
[13:54:57.689] [SEVERE ] player 1 placing token on slot 0
[13:54:57.690] [SEVERE ] removing player 1 token from slot 0
[13:54:57.690] [SEVERE ] player 1 placing token on slot 0
[13:54:57.690] [SEVERE ] removing player 3 token from slot 0
[13:54:57.691] [SEVERE ] player 3 placing token on slot 0
[13:54:57.692] [SEVERE ] removing player 3 token from slot 0
[13:54:57.692] [SEVERE ] player 3 placing token on slot 0
[13:54:57.693] [SEVERE ] removing player 3 token from slot 0
[13:54:57.693] [SEVERE ] player 3 placing token on slot 0
[13:54:57.693] [SEVERE ] removing player 3 token from slot 0
[13:54:57.694] [SEVERE ] player 3 placing token on slot 0
[13:54:57.696] [SEVERE ] removing player 3 token from slot 0
[13:54:57.697] [SEVERE ] player 3 placing token on slot 0
[13:54:57.697] [SEVERE ] removing player 3 token from slot 0
[13:54:57.697] [SEVERE ] player 3 placing token on slot 0
[13:54:57.698] [SEVERE ] removing player 3 token from slot 0
[13:54:57.698] [SEVERE ] player 3 placing token on slot 0
[13:54:57.698] [SEVERE ] removing player 3 token from slot 0
[13:54:57.698] [SEVERE ] player 3 placing token on slot 0
[13:54:57.698] [SEVERE ] removing player 1 token from slot 0
[13:54:57.699] [SEVERE ] player 1 placing token on slot 0
[13:54:57.699] [SEVERE ] removing player 3 token from slot 0
[13:54:57.699] [SEVERE ] removing player 1 token from slot 0
[13:54:57.700] [SEVERE ] removing player 2 token from slot 0
[13:54:57.700] [SEVERE ] player 3 placing token on slot 0
[13:54:57.703] [SEVERE ] player 1 placing token on slot 0
[13:54:57.703] [SEVERE ] removing player 3 token from slot 0
[13:54:57.703] [SEVERE ] player 2 placing token on slot 0
[13:54:57.704] [SEVERE ] player 3 placing token on slot 0
[13:54:57.703] [SEVERE ] removing player 1 token from slot 0
[13:54:57.704] [SEVERE ] removing player 2 token from slot 0
[13:54:57.704] [SEVERE ] removing player 3 token from slot 0
[13:54:57.704] [SEVERE ] player 1 placing token on slot 0
[13:54:57.705] [SEVERE ] player 2 placing token on slot 0
[13:54:57.704] [SEVERE ] player 3 placing token on slot 0
[13:54:57.705] [SEVERE ] removing player 1 token from slot 0
[13:54:57.705] [SEVERE ] removing player 2 token from slot 0
[13:54:57.705] [SEVERE ] removing player 3 token from slot 0
[13:54:57.705] [SEVERE ] player 2 placing token on slot 0
[13:54:57.705] [SEVERE ] player 1 placing token on slot 0
[13:54:57.706] [SEVERE ] removing player 2 token from slot 0
[13:54:57.705] [SEVERE ] player 3 placing token on slot 0
[13:54:57.706] [SEVERE ] removing player 1 token from slot 0
[13:54:57.706] [SEVERE ] player 2 placing token on slot 0
[13:54:57.707] [SEVERE ] removing player 3 token from slot 0
[13:54:57.707] [SEVERE ] player 1 placing token on slot 0
[13:54:57.707] [SEVERE ] removing player 2 token from slot 0
[13:54:57.707] [SEVERE ] player 3 placing token on slot 0
[13:54:57.707] [SEVERE ] removing player 1 token from slot 0
[13:54:57.707] [SEVERE ] player 2 placing token on slot 0
[13:54:57.708] [SEVERE ] removing player 3 token from slot 0
[13:54:57.708] [SEVERE ] player 1 placing token on slot 0
[13:54:57.708] [SEVERE ] removing player 2 token from slot 0
[13:54:57.708] [SEVERE ] player 3 placing token on slot 0
[13:54:57.708] [SEVERE ] removing player 1 token from slot 0
[13:54:57.709] [SEVERE ] player 2 placing token on slot 0
[13:54:57.710] [SEVERE ] removing player 3 token from slot 0
[13:54:57.710] [SEVERE ] removing player 4 token from slot 0
[13:54:57.710] [SEVERE ] removing player 2 token from slot 0
[13:54:57.710] [SEVERE ] player 3 placing token on slot 0
[13:54:57.711] [SEVERE ] removing player 3 token from slot 0
[13:54:57.711] [SEVERE ] player 4 placing token on slot 0
[13:54:57.711] [SEVERE ] player 2 placing token on slot 0
