[17:15:48.543] [INFO   ] thread main starting.
[17:15:48.551] [SEVERE ] cannot read configuration file config.properties trying from resources.
[17:15:48.557] [SEVERE ] configuration file was loaded from resources directory.
[17:15:49.197] [INFO   ] thread dealer starting.
[17:15:49.379] [SEVERE ] placing card 25 in slot 0
[17:15:49.379] [SEVERE ] player 5 placing token on slot 0
[17:15:49.379] [SEVERE ] player 4 placing token on slot 0
[17:15:49.379] [SEVERE ] player 3 placing token on slot 0
[17:15:49.379] [SEVERE ] player 2 placing token on slot 0
[17:15:49.384] [SEVERE ] removing player 2 token from slot 0
[17:15:49.384] [SEVERE ] player 2 placing token on slot 0
[17:15:49.385] [SEVERE ] removing player 2 token from slot 0
[17:15:49.385] [SEVERE ] player 2 placing token on slot 0
[17:15:49.385] [SEVERE ] removing player 2 token from slot 0
[17:15:49.385] [SEVERE ] player 2 placing token on slot 0
[17:15:49.384] [SEVERE ] removing player 5 token from slot 0
[17:15:49.385] [SEVERE ] player 5 placing token on slot 0
[17:15:49.385] [SEVERE ] removing player 2 token from slot 0
[17:15:49.386] [SEVERE ] removing player 5 token from slot 0
[17:15:49.386] [SEVERE ] player 2 placing token on slot 0
[17:15:49.386] [SEVERE ] player 5 placing token on slot 0
[17:15:49.387] [SEVERE ] removing player 5 token from slot 0
[17:15:49.387] [SEVERE ] player 5 placing token on slot 0
[17:15:49.386] [SEVERE ] removing player 3 token from slot 0
[17:15:49.389] [SEVERE ] removing player 5 token from slot 0
[17:15:49.387] [SEVERE ] removing player 2 token from slot 0
[17:15:49.390] [SEVERE ] player 2 placing token on slot 0
[17:15:49.390] [SEVERE ] removing player 2 token from slot 0
[17:15:49.391] [SEVERE ] player 2 placing token on slot 0
[17:15:49.391] [SEVERE ] removing player 2 token from slot 0
[17:15:49.391] [SEVERE ] player 2 placing token on slot 0
[17:15:49.391] [SEVERE ] removing player 2 token from slot 0
[17:15:49.391] [SEVERE ] player 2 placing token on slot 0
[17:15:49.392] [SEVERE ] removing player 2 token from slot 0
[17:15:49.392] [SEVERE ] player 5 placing token on slot 0
[17:15:49.392] [SEVERE ] removing player 5 token from slot 0
[17:15:49.393] [SEVERE ] player 5 placing token on slot 0
[17:15:49.393] [SEVERE ] removing player 5 token from slot 0
