[11:05:27.277] [INFO   ] thread main starting.
[11:05:27.277] [SEVERE ] cannot read configuration file config.properties trying from resources.
[11:05:27.277] [SEVERE ] configuration file was loaded from resources directory.
[11:05:27.815] [INFO   ] thread dealer starting.
[11:05:27.945] [SEVERE ] placing card 35 in slot 0
[11:05:27.955] [SEVERE ] player 2 placing token on slot 0
[11:05:27.955] [SEVERE ] player 4 placing token on slot 0
[11:05:27.956] [SEVERE ] player 1 placing token on slot 0
[11:05:27.956] [SEVERE ] removing player 2 token from slot 0
[11:05:27.957] [SEVERE ] removing player 1 token from slot 0
[11:05:27.959] [SEVERE ] player 3 placing token on slot 0
[11:05:27.960] [SEVERE ] removing player 3 token from slot 0
[11:05:27.960] [SEVERE ] player 3 placing token on slot 0
[11:05:27.957] [SEVERE ] removing player 4 token from slot 0
[11:05:27.960] [SEVERE ] player 1 placing token on slot 0
[11:05:27.960] [SEVERE ] player 2 placing token on slot 0
[11:05:27.964] [SEVERE ] removing player 1 token from slot 0
[11:05:27.965] [SEVERE ] removing player 2 token from slot 0
[11:05:27.965] [SEVERE ] player 1 placing token on slot 0
[11:05:27.965] [SEVERE ] player 2 placing token on slot 0
[11:05:27.965] [SEVERE ] removing player 2 token from slot 0
[11:05:27.965] [SEVERE ] removing player 1 token from slot 0
[11:05:27.966] [SEVERE ] removing player 3 token from slot 0
[11:05:27.966] [SEVERE ] player 2 placing token on slot 0
[11:05:27.966] [SEVERE ] player 4 placing token on slot 0
[11:05:27.966] [SEVERE ] player 1 placing token on slot 0
[11:05:27.967] [SEVERE ] removing player 4 token from slot 0
[11:05:27.966] [SEVERE ] player 3 placing token on slot 0
[11:05:27.967] [SEVERE ] removing player 2 token from slot 0
[11:05:27.967] [SEVERE ] player 4 placing token on slot 0
[11:05:27.967] [SEVERE ] removing player 1 token from slot 0
[11:05:27.967] [SEVERE ] removing player 4 token from slot 0
[11:05:27.967] [SEVERE ] player 2 placing token on slot 0
[11:05:27.967] [SEVERE ] removing player 3 token from slot 0
[11:05:27.968] [SEVERE ] player 1 placing token on slot 0
[11:05:27.969] [SEVERE ] player 4 placing token on slot 0
[11:05:27.969] [SEVERE ] removing player 1 token from slot 0
[11:05:27.969] [SEVERE ] removing player 2 token from slot 0
[11:05:27.969] [SEVERE ] player 3 placing token on slot 0
[11:05:27.970] [SEVERE ] player 2 placing token on slot 0
[11:05:27.969] [SEVERE ] player 1 placing token on slot 0
[11:05:27.969] [SEVERE ] removing player 4 token from slot 0
[11:05:27.970] [SEVERE ] removing player 1 token from slot 0
[11:05:27.970] [SEVERE ] removing player 2 token from slot 0
[11:05:27.970] [SEVERE ] removing player 3 token from slot 0
[11:05:27.970] [SEVERE ] player 4 placing token on slot 0
[11:05:27.972] [SEVERE ] player 3 placing token on slot 0
[11:05:27.972] [SEVERE ] player 2 placing token on slot 0
[11:05:27.972] [SEVERE ] player 1 placing token on slot 0
[11:05:27.972] [SEVERE ] removing player 2 token from slot 0
[11:05:27.972] [SEVERE ] removing player 3 token from slot 0
[11:05:27.972] [SEVERE ] removing player 4 token from slot 0
[11:05:27.972] [SEVERE ] player 3 placing token on slot 0
[11:05:27.972] [SEVERE ] player 2 placing token on slot 0
[11:05:27.972] [SEVERE ] removing player 1 token from slot 0
[11:05:27.972] [SEVERE ] removing player 2 token from slot 0
[11:05:27.972] [SEVERE ] player 4 placing token on slot 0
[11:05:27.973] [SEVERE ] player 2 placing token on slot 0
[11:05:27.973] [SEVERE ] player 1 placing token on slot 0
[11:05:27.973] [SEVERE ] removing player 3 token from slot 0
[11:05:27.973] [SEVERE ] removing player 1 token from slot 0
[11:05:27.973] [SEVERE ] removing player 2 token from slot 0
[11:05:27.973] [SEVERE ] removing player 4 token from slot 0
[11:05:27.973] [SEVERE ] player 2 placing token on slot 0
[11:05:27.973] [SEVERE ] player 1 placing token on slot 0
[11:05:27.973] [SEVERE ] player 3 placing token on slot 0
[11:05:27.976] [SEVERE ] removing player 2 token from slot 0
[11:05:27.976] [SEVERE ] removing player 1 token from slot 0
[11:05:27.976] [SEVERE ] player 4 placing token on slot 0
[11:05:27.976] [SEVERE ] removing player 3 token from slot 0
[11:05:27.977] [SEVERE ] removing player 4 token from slot 0
[11:05:27.976] [SEVERE ] player 1 placing token on slot 0
[11:05:27.976] [SEVERE ] player 2 placing token on slot 0
[11:05:27.977] [SEVERE ] removing player 1 token from slot 0
[11:05:27.977] [SEVERE ] player 4 placing token on slot 0
[11:05:27.977] [SEVERE ] player 3 placing token on slot 0
[11:05:27.980] [SEVERE ] removing player 3 token from slot 0
[11:05:27.980] [SEVERE ] player 1 placing token on slot 0
[11:05:27.980] [SEVERE ] removing player 2 token from slot 0
[11:05:27.980] [SEVERE ] removing player 4 token from slot 0
[11:05:27.981] [SEVERE ] player 2 placing token on slot 0
[11:05:27.980] [SEVERE ] removing player 1 token from slot 0
[11:05:27.980] [SEVERE ] player 3 placing token on slot 0
[11:05:27.981] [SEVERE ] player 1 placing token on slot 0
[11:05:27.981] [SEVERE ] player 4 placing token on slot 0
[11:05:27.981] [SEVERE ] removing player 2 token from slot 0
[11:05:27.982] [SEVERE ] removing player 4 token from slot 0
[11:05:27.981] [SEVERE ] removing player 1 token from slot 0
[11:05:27.981] [SEVERE ] removing player 3 token from slot 0
[11:05:27.982] [SEVERE ] player 1 placing token on slot 0
[11:05:27.982] [SEVERE ] player 4 placing token on slot 0
[11:05:27.982] [SEVERE ] player 2 placing token on slot 0
[11:05:27.982] [SEVERE ] removing player 4 token from slot 0
[11:05:27.982] [SEVERE ] removing player 1 token from slot 0
[11:05:27.982] [SEVERE ] player 3 placing token on slot 0
[11:05:27.983] [SEVERE ] player 1 placing token on slot 0
[11:05:27.983] [SEVERE ] player 4 placing token on slot 0
[11:05:27.982] [SEVERE ] removing player 2 token from slot 0
[11:05:27.983] [SEVERE ] removing player 1 token from slot 0
[11:05:27.983] [SEVERE ] removing player 3 token from slot 0
[11:05:27.984] [SEVERE ] player 2 placing token on slot 0
[11:05:27.986] [SEVERE ] removing player 2 token from slot 0
[11:05:27.986] [SEVERE ] player 1 placing token on slot 0
[11:05:27.986] [SEVERE ] removing player 4 token from slot 0
[11:05:27.986] [SEVERE ] removing player 1 token from slot 0
[11:05:27.986] [SEVERE ] player 2 placing token on slot 0
[11:05:27.986] [SEVERE ] removing player 2 token from slot 0
[11:05:27.986] [SEVERE ] player 2 placing token on slot 0
[11:05:27.986] [SEVERE ] removing player 2 token from slot 0
[11:05:27.986] [SEVERE ] player 2 placing token on slot 0
[11:05:27.986] [SEVERE ] removing player 2 token from slot 0
[11:05:27.990] [SEVERE ] player 3 placing token on slot 0
[11:05:27.990] [SEVERE ] player 2 placing token on slot 0
[11:05:27.990] [SEVERE ] player 1 placing token on slot 0
[11:05:27.990] [SEVERE ] player 4 placing token on slot 0
[11:05:27.990] [SEVERE ] removing player 1 token from slot 0
[11:05:27.990] [SEVERE ] removing player 2 token from slot 0
[11:05:27.990] [SEVERE ] player 2 placing token on slot 0
[11:05:27.990] [SEVERE ] removing player 3 token from slot 0
[11:05:27.992] [SEVERE ] removing player 2 token from slot 0
[11:05:27.992] [SEVERE ] player 2 placing token on slot 0
[11:05:27.992] [SEVERE ] removing player 2 token from slot 0
[11:05:27.992] [SEVERE ] player 2 placing token on slot 0
[11:05:27.992] [SEVERE ] removing player 2 token from slot 0
[11:05:27.992] [SEVERE ] player 2 placing token on slot 0
[11:05:27.992] [SEVERE ] removing player 2 token from slot 0
[11:05:27.995] [SEVERE ] player 2 placing token on slot 0
[11:05:27.996] [SEVERE ] player 1 placing token on slot 0
[11:05:27.996] [SEVERE ] removing player 2 token from slot 0
[11:05:27.998] [SEVERE ] player 2 placing token on slot 0
[11:05:27.999] [SEVERE ] removing player 2 token from slot 0
[11:05:27.999] [SEVERE ] removing player 1 token from slot 0
[11:05:27.999] [SEVERE ] player 1 placing token on slot 0
[11:05:28.000] [SEVERE ] player 2 placing token on slot 0
[11:05:28.000] [SEVERE ] removing player 4 token from slot 0
[11:05:27.999] [SEVERE ] player 3 placing token on slot 0
[11:05:28.000] [SEVERE ] player 4 placing token on slot 0
[11:05:28.001] [SEVERE ] removing player 4 token from slot 0
[11:05:28.001] [SEVERE ] player 4 placing token on slot 0
[11:05:28.001] [SEVERE ] removing player 4 token from slot 0
[11:05:28.001] [SEVERE ] player 4 placing token on slot 0
[11:05:28.001] [SEVERE ] removing player 2 token from slot 0
[11:05:28.002] [SEVERE ] removing player 4 token from slot 0
[11:05:28.002] [SEVERE ] removing player 1 token from slot 0
[11:05:28.002] [SEVERE ] removing player 3 token from slot 0
[11:05:28.002] [SEVERE ] player 2 placing token on slot 0
[11:05:28.002] [SEVERE ] player 1 placing token on slot 0
