[11:09:15.056] [INFO   ] thread main starting.
[11:09:15.056] [SEVERE ] cannot read configuration file config.properties trying from resources.
[11:09:15.072] [SEVERE ] configuration file was loaded from resources directory.
[11:09:15.584] [INFO   ] thread dealer starting.
[11:09:15.713] [SEVERE ] placing card 34 in slot 0
[11:09:15.726] [SEVERE ] player 4 placing token on slot 0
[11:09:15.727] [SEVERE ] player 1 placing token on slot 0
[11:09:15.727] [SEVERE ] removing player 1 token from slot 0
[11:09:15.727] [SEVERE ] player 1 placing token on slot 0
[11:09:15.727] [SEVERE ] removing player 1 token from slot 0
[11:09:15.731] [SEVERE ] removing player 4 token from slot 0
[11:09:15.732] [SEVERE ] player 4 placing token on slot 0
[11:09:15.732] [SEVERE ] removing player 4 token from slot 0
[11:09:15.732] [SEVERE ] player 4 placing token on slot 0
[11:09:15.733] [SEVERE ] removing player 4 token from slot 0
[11:09:15.733] [SEVERE ] player 4 placing token on slot 0
[11:09:15.733] [SEVERE ] removing player 4 token from slot 0
[11:09:15.733] [SEVERE ] player 4 placing token on slot 0
[11:09:15.733] [SEVERE ] removing player 4 token from slot 0
[11:09:15.733] [SEVERE ] player 4 placing token on slot 0
[11:09:15.734] [SEVERE ] removing player 4 token from slot 0
[11:09:15.727] [SEVERE ] player 2 placing token on slot 0
[11:09:15.732] [SEVERE ] player 1 placing token on slot 0
[11:09:15.750] [SEVERE ] player 3 placing token on slot 0
[11:09:15.750] [SEVERE ] removing player 2 token from slot 0
[11:09:15.751] [SEVERE ] removing player 3 token from slot 0
[11:09:15.750] [SEVERE ] removing player 1 token from slot 0
[11:09:15.750] [SEVERE ] player 4 placing token on slot 0
[11:09:15.751] [SEVERE ] player 1 placing token on slot 0
[11:09:15.751] [SEVERE ] player 3 placing token on slot 0
[11:09:15.751] [SEVERE ] player 2 placing token on slot 0
[11:09:15.752] [SEVERE ] removing player 3 token from slot 0
[11:09:15.751] [SEVERE ] removing player 1 token from slot 0
[11:09:15.752] [SEVERE ] removing player 4 token from slot 0
[11:09:15.752] [SEVERE ] player 3 placing token on slot 0
[11:09:15.752] [SEVERE ] removing player 2 token from slot 0
[11:09:15.752] [SEVERE ] player 1 placing token on slot 0
[11:09:15.755] [SEVERE ] removing player 1 token from slot 0
[11:09:15.755] [SEVERE ] player 2 placing token on slot 0
[11:09:15.755] [SEVERE ] removing player 3 token from slot 0
[11:09:15.755] [SEVERE ] player 4 placing token on slot 0
[11:09:15.756] [SEVERE ] player 3 placing token on slot 0
[11:09:15.755] [SEVERE ] removing player 2 token from slot 0
[11:09:15.755] [SEVERE ] player 1 placing token on slot 0
[11:09:15.756] [SEVERE ] player 2 placing token on slot 0
[11:09:15.756] [SEVERE ] removing player 3 token from slot 0
[11:09:15.756] [SEVERE ] removing player 4 token from slot 0
[11:09:15.757] [SEVERE ] player 3 placing token on slot 0
[11:09:15.756] [SEVERE ] removing player 2 token from slot 0
[11:09:15.756] [SEVERE ] removing player 1 token from slot 0
[11:09:15.758] [SEVERE ] player 2 placing token on slot 0
[11:09:15.757] [SEVERE ] removing player 3 token from slot 0
[11:09:15.758] [SEVERE ] removing player 2 token from slot 0
[11:09:15.758] [SEVERE ] player 1 placing token on slot 0
[11:09:15.758] [SEVERE ] player 2 placing token on slot 0
[11:09:15.758] [SEVERE ] removing player 2 token from slot 0
[11:09:15.760] [SEVERE ] removing player 1 token from slot 0
[11:09:15.761] [SEVERE ] player 2 placing token on slot 0
[11:09:15.761] [SEVERE ] removing player 2 token from slot 0
[11:09:15.761] [SEVERE ] player 1 placing token on slot 0
[11:09:15.761] [SEVERE ] player 3 placing token on slot 0
[11:09:15.761] [SEVERE ] player 2 placing token on slot 0
[11:09:15.762] [SEVERE ] removing player 2 token from slot 0
[11:09:15.762] [SEVERE ] player 2 placing token on slot 0
[11:09:15.763] [SEVERE ] removing player 2 token from slot 0
