[22:22:00.425] [INFO   ] thread main starting.
[22:22:00.430] [SEVERE ] cannot read configuration file config.properties trying from resources.
[22:22:00.432] [SEVERE ] configuration file was loaded from resources directory.
[22:22:00.435] [SEVERE ] warning: player 1 keys (12) mismatch table size (9).
[22:22:00.435] [SEVERE ] warning: player 2 keys (12) mismatch table size (9).
[22:22:01.005] [INFO   ] thread dealer starting.
[22:22:01.132] [SEVERE ] placing card 0 in slot 0
[22:22:01.132] [SEVERE ] player 2 placing token on slot 0
[22:22:01.132] [SEVERE ] player 3 placing token on slot 0
[22:22:01.135] [SEVERE ] removing player 2 token from slot 0
[22:22:01.136] [SEVERE ] player 2 placing token on slot 0
[22:22:01.137] [SEVERE ] removing player 2 token from slot 0
[22:22:01.137] [SEVERE ] player 2 placing token on slot 0
[22:22:01.135] [SEVERE ] removing player 3 token from slot 0
[22:22:01.137] [SEVERE ] removing player 2 token from slot 0
[22:22:01.138] [SEVERE ] player 2 placing token on slot 0
[22:22:01.138] [SEVERE ] removing player 2 token from slot 0
[22:22:01.138] [SEVERE ] player 2 placing token on slot 0
[22:22:01.139] [SEVERE ] removing player 2 token from slot 0
[22:22:01.139] [SEVERE ] player 2 placing token on slot 0
[22:22:01.139] [SEVERE ] removing player 2 token from slot 0
[22:22:01.139] [SEVERE ] player 2 placing token on slot 0
[22:22:01.139] [SEVERE ] removing player 2 token from slot 0
[22:22:01.140] [SEVERE ] player 2 placing token on slot 0
[22:22:01.140] [SEVERE ] removing player 2 token from slot 0
[22:22:01.140] [SEVERE ] player 2 placing token on slot 0
[22:22:01.142] [SEVERE ] removing player 2 token from slot 0
[22:22:01.142] [SEVERE ] player 2 placing token on slot 0
[22:22:01.142] [SEVERE ] removing player 2 token from slot 0
[22:22:01.144] [SEVERE ] player 2 placing token on slot 0
[22:22:01.144] [SEVERE ] removing player 2 token from slot 0
[22:22:01.145] [SEVERE ] player 2 placing token on slot 0
[22:22:01.145] [SEVERE ] removing player 2 token from slot 0
[22:22:01.145] [SEVERE ] player 2 placing token on slot 0
[22:22:01.143] [SEVERE ] player 3 placing token on slot 0
[22:22:01.149] [SEVERE ] removing player 2 token from slot 0
[22:22:01.150] [SEVERE ] player 2 placing token on slot 0
[22:22:01.150] [SEVERE ] removing player 2 token from slot 0
[22:22:01.150] [SEVERE ] player 2 placing token on slot 0
[22:22:01.150] [SEVERE ] removing player 2 token from slot 0
[22:22:01.150] [SEVERE ] player 2 placing token on slot 0
[22:22:01.151] [SEVERE ] removing player 2 token from slot 0
[22:22:01.152] [SEVERE ] player 2 placing token on slot 0
[22:22:01.152] [SEVERE ] removing player 2 token from slot 0
[22:22:01.152] [SEVERE ] player 2 placing token on slot 0
[22:22:01.152] [SEVERE ] removing player 2 token from slot 0
[22:22:01.153] [SEVERE ] player 2 placing token on slot 0
[22:22:01.150] [SEVERE ] removing player 3 token from slot 0
[22:22:01.153] [SEVERE ] removing player 2 token from slot 0
[22:22:01.153] [SEVERE ] player 3 placing token on slot 0
[22:22:01.153] [SEVERE ] player 2 placing token on slot 0
[22:22:01.153] [SEVERE ] removing player 3 token from slot 0
[22:22:01.154] [SEVERE ] player 3 placing token on slot 0
[22:22:01.154] [SEVERE ] removing player 2 token from slot 0
[22:22:01.154] [SEVERE ] player 2 placing token on slot 0
[22:22:01.154] [SEVERE ] removing player 2 token from slot 0
[22:22:01.155] [SEVERE ] player 2 placing token on slot 0
[22:22:01.155] [SEVERE ] removing player 2 token from slot 0
[22:22:01.155] [SEVERE ] player 2 placing token on slot 0
[22:22:01.155] [SEVERE ] removing player 2 token from slot 0
[22:22:01.155] [SEVERE ] player 2 placing token on slot 0
[22:22:01.156] [SEVERE ] player 5 placing token on slot 0
[22:22:01.155] [SEVERE ] removing player 3 token from slot 0
[22:22:01.155] [SEVERE ] player 4 placing token on slot 0
[22:22:01.156] [SEVERE ] player 3 placing token on slot 0
[22:22:01.156] [SEVERE ] removing player 5 token from slot 0
[22:22:01.156] [SEVERE ] removing player 2 token from slot 0
[22:22:01.156] [SEVERE ] player 5 placing token on slot 0
