[14:55:59.902] [INFO   ] thread main starting.
[14:55:59.907] [SEVERE ] cannot read configuration file config.properties trying from resources.
[14:55:59.908] [SEVERE ] configuration file was loaded from resources directory.
[14:56:00.366] [INFO   ] thread dealer starting.
[14:56:00.488] [SEVERE ] placing card 21 in slot 0
[14:56:00.494] [SEVERE ] player 3 placing token on slot 0
[14:56:00.494] [SEVERE ] player 2 placing token on slot 0
[14:56:00.494] [SEVERE ] player 1 placing token on slot 0
[14:56:00.494] [SEVERE ] player 4 placing token on slot 0
[14:56:00.496] [SEVERE ] removing player 1 token from slot 0
[14:56:00.497] [SEVERE ] removing player 2 token from slot 0
[14:56:00.496] [SEVERE ] removing player 3 token from slot 0
[14:56:00.496] [SEVERE ] removing player 4 token from slot 0
[14:56:00.499] [SEVERE ] player 3 placing token on slot 0
[14:56:00.499] [SEVERE ] player 1 placing token on slot 0
[14:56:00.501] [SEVERE ] removing player 1 token from slot 0
[14:56:00.501] [SEVERE ] player 1 placing token on slot 0
[14:56:00.501] [SEVERE ] removing player 1 token from slot 0
[14:56:00.501] [SEVERE ] player 1 placing token on slot 0
[14:56:00.502] [SEVERE ] removing player 1 token from slot 0
[14:56:00.502] [SEVERE ] player 1 placing token on slot 0
[14:56:00.502] [SEVERE ] removing player 1 token from slot 0
[14:56:00.502] [SEVERE ] player 1 placing token on slot 0
[14:56:00.519] [SEVERE ] removing player 1 token from slot 0
[14:56:00.519] [SEVERE ] player 4 placing token on slot 0
[14:56:00.519] [SEVERE ] player 2 placing token on slot 0
[14:56:00.520] [SEVERE ] removing player 4 token from slot 0
[14:56:00.520] [SEVERE ] player 4 placing token on slot 0
[14:56:00.522] [SEVERE ] removing player 3 token from slot 0
[14:56:00.522] [SEVERE ] player 3 placing token on slot 0
[14:56:00.527] [SEVERE ] removing player 3 token from slot 0
[14:56:00.529] [SEVERE ] player 3 placing token on slot 0
[14:56:00.532] [SEVERE ] removing player 3 token from slot 0
[14:56:00.537] [SEVERE ] player 3 placing token on slot 0
[14:56:00.538] [SEVERE ] removing player 3 token from slot 0
[14:56:00.538] [SEVERE ] removing player 2 token from slot 0
[14:56:00.538] [SEVERE ] removing player 4 token from slot 0
[14:56:00.539] [SEVERE ] player 4 placing token on slot 0
[14:56:00.538] [SEVERE ] player 3 placing token on slot 0
[14:56:00.541] [SEVERE ] player 2 placing token on slot 0
[14:56:00.549] [SEVERE ] removing player 4 token from slot 0
[14:56:00.549] [SEVERE ] removing player 3 token from slot 0
