[17:50:48.782] [INFO   ] thread main starting.
[17:50:48.788] [SEVERE ] cannot read configuration file config.properties trying from resources.
[17:50:48.790] [SEVERE ] configuration file was loaded from resources directory.
[17:50:49.262] [INFO   ] thread dealer starting.
[17:50:49.381] [SEVERE ] placing card 0 in slot 0
[17:50:49.381] [SEVERE ] player 2 placing token on slot 0
[17:50:49.381] [SEVERE ] player 5 placing token on slot 0
[17:50:49.381] [SEVERE ] player 4 placing token on slot 0
[17:50:49.385] [SEVERE ] removing player 4 token from slot 0
[17:50:49.385] [SEVERE ] player 4 placing token on slot 0
[17:50:49.390] [SEVERE ] removing player 4 token from slot 0
[17:50:49.393] [SEVERE ] player 4 placing token on slot 0
[17:50:49.393] [SEVERE ] removing player 4 token from slot 0
[17:50:49.394] [SEVERE ] player 4 placing token on slot 0
[17:50:49.394] [SEVERE ] removing player 4 token from slot 0
[17:50:49.381] [SEVERE ] player 3 placing token on slot 0
[17:50:49.395] [SEVERE ] player 4 placing token on slot 0
[17:50:49.396] [SEVERE ] removing player 3 token from slot 0
[17:50:49.397] [SEVERE ] player 3 placing token on slot 0
[17:50:49.398] [SEVERE ] removing player 3 token from slot 0
[17:50:49.398] [SEVERE ] player 3 placing token on slot 0
[17:50:49.399] [SEVERE ] removing player 4 token from slot 0
[17:50:49.399] [SEVERE ] player 4 placing token on slot 0
[17:50:49.399] [SEVERE ] removing player 4 token from slot 0
[17:50:49.399] [SEVERE ] player 4 placing token on slot 0
[17:50:49.400] [SEVERE ] removing player 4 token from slot 0
[17:50:49.385] [SEVERE ] removing player 2 token from slot 0
[17:50:49.385] [SEVERE ] removing player 5 token from slot 0
[17:50:49.401] [SEVERE ] player 5 placing token on slot 0
[17:50:49.401] [SEVERE ] removing player 5 token from slot 0
[17:50:49.401] [SEVERE ] player 5 placing token on slot 0
[17:50:49.402] [SEVERE ] removing player 5 token from slot 0
[17:50:49.402] [SEVERE ] player 5 placing token on slot 0
[17:50:49.402] [SEVERE ] removing player 5 token from slot 0
[17:50:49.402] [SEVERE ] player 5 placing token on slot 0
[17:50:49.402] [SEVERE ] removing player 5 token from slot 0
[17:50:49.402] [SEVERE ] player 5 placing token on slot 0
[17:50:49.403] [SEVERE ] removing player 5 token from slot 0
[17:50:49.403] [SEVERE ] player 5 placing token on slot 0
[17:50:49.403] [SEVERE ] removing player 5 token from slot 0
[17:50:49.401] [SEVERE ] player 2 placing token on slot 0
[17:50:49.416] [SEVERE ] removing player 2 token from slot 0
[17:50:49.400] [SEVERE ] removing player 3 token from slot 0
[17:50:49.400] [SEVERE ] player 4 placing token on slot 0
[17:50:49.417] [SEVERE ] player 3 placing token on slot 0
[17:50:49.417] [SEVERE ] removing player 3 token from slot 0
[17:50:49.417] [SEVERE ] player 3 placing token on slot 0
[17:50:49.417] [SEVERE ] removing player 3 token from slot 0
[17:50:49.418] [SEVERE ] player 3 placing token on slot 0
[17:50:49.416] [SEVERE ] player 2 placing token on slot 0
[17:50:49.404] [SEVERE ] player 5 placing token on slot 0
[17:50:49.418] [SEVERE ] removing player 2 token from slot 0
[17:50:49.418] [SEVERE ] player 2 placing token on slot 0
[17:50:49.419] [SEVERE ] removing player 2 token from slot 0
[17:50:49.419] [SEVERE ] player 2 placing token on slot 0
[17:50:49.419] [SEVERE ] removing player 2 token from slot 0
[17:50:49.419] [SEVERE ] player 2 placing token on slot 0
[17:50:49.419] [SEVERE ] removing player 2 token from slot 0
[17:50:49.420] [SEVERE ] player 2 placing token on slot 0
[17:50:49.420] [SEVERE ] removing player 2 token from slot 0
[17:50:49.421] [SEVERE ] player 2 placing token on slot 0
[17:50:49.421] [SEVERE ] removing player 2 token from slot 0
[17:50:49.421] [SEVERE ] player 2 placing token on slot 0
[17:50:49.421] [SEVERE ] removing player 2 token from slot 0
[17:50:49.421] [SEVERE ] player 2 placing token on slot 0
[17:50:49.418] [SEVERE ] removing player 3 token from slot 0
[17:50:49.422] [SEVERE ] player 3 placing token on slot 0
[17:50:49.417] [SEVERE ] removing player 4 token from slot 0
[17:50:49.422] [SEVERE ] removing player 3 token from slot 0
[17:50:49.422] [SEVERE ] removing player 2 token from slot 0
[17:50:49.418] [SEVERE ] removing player 5 token from slot 0
[17:50:49.423] [SEVERE ] player 2 placing token on slot 0
[17:50:49.423] [SEVERE ] player 3 placing token on slot 0
[17:50:49.423] [SEVERE ] player 4 placing token on slot 0
[17:50:49.423] [SEVERE ] removing player 3 token from slot 0
[17:50:49.424] [SEVERE ] player 3 placing token on slot 0
[17:50:49.424] [SEVERE ] removing player 3 token from slot 0
[17:50:49.424] [SEVERE ] player 3 placing token on slot 0
[17:50:49.425] [SEVERE ] removing player 3 token from slot 0
[17:50:49.425] [SEVERE ] player 3 placing token on slot 0
[17:50:49.423] [SEVERE ] removing player 2 token from slot 0
[17:50:49.425] [SEVERE ] player 2 placing token on slot 0
[17:50:49.425] [SEVERE ] removing player 2 token from slot 0
[17:50:49.426] [SEVERE ] player 2 placing token on slot 0
[17:50:49.426] [SEVERE ] removing player 2 token from slot 0
[17:50:49.426] [SEVERE ] player 2 placing token on slot 0
[17:50:49.423] [SEVERE ] player 5 placing token on slot 0
[17:50:49.426] [SEVERE ] removing player 2 token from slot 0
[17:50:49.427] [SEVERE ] player 2 placing token on slot 0
[17:50:49.427] [SEVERE ] removing player 2 token from slot 0
[17:50:49.425] [SEVERE ] removing player 3 token from slot 0
[17:50:49.423] [SEVERE ] removing player 4 token from slot 0
[17:50:49.428] [SEVERE ] player 3 placing token on slot 0
[17:50:49.428] [SEVERE ] removing player 3 token from slot 0
[17:50:49.428] [SEVERE ] player 3 placing token on slot 0
[17:50:49.428] [SEVERE ] removing player 3 token from slot 0
[17:50:49.429] [SEVERE ] player 3 placing token on slot 0
[17:50:49.429] [SEVERE ] removing player 3 token from slot 0
[17:50:49.429] [SEVERE ] player 3 placing token on slot 0
[17:50:49.430] [SEVERE ] removing player 3 token from slot 0
[17:50:49.430] [SEVERE ] player 3 placing token on slot 0
[17:50:49.430] [SEVERE ] removing player 3 token from slot 0
[17:50:49.430] [SEVERE ] player 3 placing token on slot 0
[17:50:49.431] [SEVERE ] removing player 3 token from slot 0
[17:50:49.431] [SEVERE ] player 3 placing token on slot 0
[17:50:49.431] [SEVERE ] removing player 3 token from slot 0
[17:50:49.432] [SEVERE ] player 3 placing token on slot 0
[17:50:49.432] [SEVERE ] removing player 3 token from slot 0
[17:50:49.432] [SEVERE ] player 3 placing token on slot 0
[17:50:49.432] [SEVERE ] removing player 3 token from slot 0
[17:50:49.432] [SEVERE ] player 3 placing token on slot 0
[17:50:49.433] [SEVERE ] removing player 3 token from slot 0
[17:50:49.433] [SEVERE ] player 3 placing token on slot 0
[17:50:49.433] [SEVERE ] removing player 3 token from slot 0
[17:50:49.433] [SEVERE ] player 3 placing token on slot 0
[17:50:49.433] [SEVERE ] removing player 3 token from slot 0
[17:50:49.434] [SEVERE ] player 3 placing token on slot 0
[17:50:49.435] [SEVERE ] removing player 3 token from slot 0
[17:50:49.436] [SEVERE ] player 3 placing token on slot 0
[17:50:49.427] [SEVERE ] player 2 placing token on slot 0
[17:50:49.426] [SEVERE ] removing player 5 token from slot 0
[17:50:49.439] [SEVERE ] player 5 placing token on slot 0
[17:50:49.439] [SEVERE ] removing player 2 token from slot 0
[17:50:49.440] [SEVERE ] player 2 placing token on slot 0
[17:50:49.440] [SEVERE ] removing player 2 token from slot 0
[17:50:49.440] [SEVERE ] removing player 5 token from slot 0
[17:50:49.436] [SEVERE ] removing player 3 token from slot 0
[17:50:49.428] [SEVERE ] player 4 placing token on slot 0
[17:50:49.441] [SEVERE ] removing player 4 token from slot 0
[17:50:49.441] [SEVERE ] player 4 placing token on slot 0
[17:50:49.441] [SEVERE ] removing player 4 token from slot 0
[17:50:49.442] [SEVERE ] player 4 placing token on slot 0
[17:50:49.442] [SEVERE ] removing player 4 token from slot 0
[17:50:49.442] [SEVERE ] player 4 placing token on slot 0
[17:50:49.442] [SEVERE ] removing player 4 token from slot 0
[17:50:49.441] [SEVERE ] player 3 placing token on slot 0
[17:50:49.440] [SEVERE ] player 5 placing token on slot 0
[17:50:49.442] [SEVERE ] removing player 5 token from slot 0
[17:50:49.443] [SEVERE ] player 5 placing token on slot 0
[17:50:49.443] [SEVERE ] removing player 5 token from slot 0
[17:50:49.443] [SEVERE ] player 5 placing token on slot 0
[17:50:49.443] [SEVERE ] removing player 5 token from slot 0
[17:50:49.440] [SEVERE ] player 2 placing token on slot 0
[17:50:49.443] [SEVERE ] player 5 placing token on slot 0
[17:50:49.444] [SEVERE ] removing player 5 token from slot 0
[17:50:49.444] [SEVERE ] player 5 placing token on slot 0
[17:50:49.444] [SEVERE ] removing player 5 token from slot 0
[17:50:49.444] [SEVERE ] player 5 placing token on slot 0
[17:50:49.445] [SEVERE ] removing player 5 token from slot 0
[17:50:49.445] [SEVERE ] player 5 placing token on slot 0
[17:50:49.445] [SEVERE ] removing player 5 token from slot 0
[17:50:49.445] [SEVERE ] player 5 placing token on slot 0
[17:50:49.445] [SEVERE ] removing player 5 token from slot 0
[17:50:49.445] [SEVERE ] player 5 placing token on slot 0
[17:50:49.445] [SEVERE ] removing player 5 token from slot 0
[17:50:49.446] [SEVERE ] player 5 placing token on slot 0
[17:50:49.446] [SEVERE ] removing player 5 token from slot 0
[17:50:49.446] [SEVERE ] player 5 placing token on slot 0
[17:50:49.446] [SEVERE ] removing player 5 token from slot 0
[17:50:49.446] [SEVERE ] player 5 placing token on slot 0
[17:50:49.446] [SEVERE ] removing player 5 token from slot 0
[17:50:49.447] [SEVERE ] player 5 placing token on slot 0
[17:50:49.447] [SEVERE ] removing player 5 token from slot 0
[17:50:49.447] [SEVERE ] player 5 placing token on slot 0
[17:50:49.447] [SEVERE ] removing player 5 token from slot 0
[17:50:49.447] [SEVERE ] player 5 placing token on slot 0
[17:50:49.447] [SEVERE ] removing player 5 token from slot 0
[17:50:49.447] [SEVERE ] player 5 placing token on slot 0
[17:50:49.448] [SEVERE ] removing player 5 token from slot 0
[17:50:49.448] [SEVERE ] player 5 placing token on slot 0
[17:50:49.448] [SEVERE ] removing player 5 token from slot 0
[17:50:49.448] [SEVERE ] player 5 placing token on slot 0
[17:50:49.448] [SEVERE ] removing player 5 token from slot 0
[17:50:49.448] [SEVERE ] player 5 placing token on slot 0
[17:50:49.448] [SEVERE ] removing player 5 token from slot 0
[17:50:49.449] [SEVERE ] player 5 placing token on slot 0
[17:50:49.449] [SEVERE ] removing player 5 token from slot 0
[17:50:49.449] [SEVERE ] player 5 placing token on slot 0
[17:50:49.449] [SEVERE ] removing player 5 token from slot 0
[17:50:49.449] [SEVERE ] player 5 placing token on slot 0
[17:50:49.452] [SEVERE ] removing player 5 token from slot 0
[17:50:49.442] [SEVERE ] player 4 placing token on slot 0
[17:50:49.442] [SEVERE ] removing player 3 token from slot 0
[17:50:49.453] [SEVERE ] player 5 placing token on slot 0
[17:50:49.453] [SEVERE ] removing player 4 token from slot 0
[17:50:49.453] [SEVERE ] player 4 placing token on slot 0
[17:50:49.453] [SEVERE ] removing player 4 token from slot 0
[17:50:49.453] [SEVERE ] player 4 placing token on slot 0
[17:50:49.453] [SEVERE ] removing player 4 token from slot 0
[17:50:49.454] [SEVERE ] player 4 placing token on slot 0
[17:50:49.454] [SEVERE ] removing player 4 token from slot 0
[17:50:49.454] [SEVERE ] player 4 placing token on slot 0
[17:50:49.454] [SEVERE ] removing player 4 token from slot 0
[17:50:49.454] [SEVERE ] player 4 placing token on slot 0
[17:50:49.454] [SEVERE ] removing player 4 token from slot 0
[17:50:49.454] [SEVERE ] player 4 placing token on slot 0
[17:50:49.454] [SEVERE ] removing player 4 token from slot 0
[17:50:49.454] [SEVERE ] player 4 placing token on slot 0
[17:50:49.454] [SEVERE ] removing player 4 token from slot 0
[17:50:49.455] [SEVERE ] player 4 placing token on slot 0
[17:50:49.455] [SEVERE ] removing player 4 token from slot 0
[17:50:49.455] [SEVERE ] player 4 placing token on slot 0
[17:50:49.455] [SEVERE ] removing player 4 token from slot 0
[17:50:49.455] [SEVERE ] player 4 placing token on slot 0
[17:50:49.455] [SEVERE ] removing player 4 token from slot 0
[17:50:49.455] [SEVERE ] player 4 placing token on slot 0
[17:50:49.444] [SEVERE ] removing player 2 token from slot 0
[17:50:49.459] [SEVERE ] player 3 placing token on slot 0
[17:50:49.453] [SEVERE ] removing player 5 token from slot 0
[17:50:49.460] [SEVERE ] player 2 placing token on slot 0
[17:50:49.462] [SEVERE ] removing player 4 token from slot 0
[17:50:49.464] [SEVERE ] removing player 2 token from slot 0
[17:50:49.464] [SEVERE ] player 2 placing token on slot 0
[17:50:49.464] [SEVERE ] removing player 2 token from slot 0
[17:50:49.464] [SEVERE ] player 2 placing token on slot 0
[17:50:49.464] [SEVERE ] removing player 2 token from slot 0
[17:50:49.461] [SEVERE ] removing player 3 token from slot 0
[17:50:49.460] [SEVERE ] player 5 placing token on slot 0
[17:50:49.466] [SEVERE ] removing player 5 token from slot 0
[17:50:49.467] [SEVERE ] player 2 placing token on slot 0
[17:50:49.468] [SEVERE ] removing player 2 token from slot 0
[17:50:49.466] [SEVERE ] player 3 placing token on slot 0
[17:50:49.464] [SEVERE ] player 4 placing token on slot 0
[17:50:49.469] [SEVERE ] removing player 3 token from slot 0
[17:50:49.469] [SEVERE ] player 3 placing token on slot 0
[17:50:49.469] [SEVERE ] removing player 3 token from slot 0
[17:50:49.469] [SEVERE ] player 3 placing token on slot 0
[17:50:49.469] [SEVERE ] removing player 3 token from slot 0
[17:50:49.469] [SEVERE ] player 3 placing token on slot 0
[17:50:49.470] [SEVERE ] removing player 4 token from slot 0
[17:50:49.471] [SEVERE ] removing player 3 token from slot 0
[17:50:49.471] [SEVERE ] player 4 placing token on slot 0
[17:50:49.472] [SEVERE ] player 3 placing token on slot 0
[17:50:49.473] [SEVERE ] removing player 3 token from slot 0
[17:50:49.473] [SEVERE ] player 3 placing token on slot 0
[17:50:49.473] [SEVERE ] removing player 3 token from slot 0
[17:50:49.474] [SEVERE ] player 3 placing token on slot 0
[17:50:49.474] [SEVERE ] removing player 3 token from slot 0
[17:50:49.474] [SEVERE ] player 3 placing token on slot 0
[17:50:49.474] [SEVERE ] removing player 3 token from slot 0
[17:50:49.474] [SEVERE ] player 3 placing token on slot 0
[17:50:49.474] [SEVERE ] removing player 3 token from slot 0
[17:50:49.474] [SEVERE ] player 3 placing token on slot 0
[17:50:49.474] [SEVERE ] removing player 3 token from slot 0
[17:50:49.474] [SEVERE ] player 3 placing token on slot 0
[17:50:49.476] [SEVERE ] removing player 3 token from slot 0
[17:50:49.476] [SEVERE ] player 3 placing token on slot 0
[17:50:49.476] [SEVERE ] removing player 3 token from slot 0
[17:50:49.476] [SEVERE ] player 3 placing token on slot 0
[17:50:49.478] [SEVERE ] removing player 3 token from slot 0
[17:50:49.479] [SEVERE ] player 3 placing token on slot 0
[17:50:49.480] [SEVERE ] removing player 3 token from slot 0
[17:50:49.480] [SEVERE ] player 3 placing token on slot 0
[17:50:49.480] [SEVERE ] removing player 3 token from slot 0
[17:50:49.480] [SEVERE ] player 3 placing token on slot 0
[17:50:49.480] [SEVERE ] removing player 3 token from slot 0
[17:50:49.481] [SEVERE ] player 3 placing token on slot 0
[17:50:49.481] [SEVERE ] removing player 3 token from slot 0
[17:50:49.481] [SEVERE ] player 3 placing token on slot 0
[17:50:49.481] [SEVERE ] removing player 3 token from slot 0
[17:50:49.482] [SEVERE ] placing card 1 in slot 1
[17:50:49.482] [SEVERE ] player 3 placing token on slot 0
[17:50:49.482] [SEVERE ] removing player 3 token from slot 0
[17:50:49.482] [SEVERE ] player 3 placing token on slot 0
[17:50:49.483] [SEVERE ] removing player 3 token from slot 0
[17:50:49.483] [SEVERE ] player 3 placing token on slot 0
[17:50:49.486] [SEVERE ] removing player 3 token from slot 0
[17:50:49.468] [SEVERE ] player 2 placing token on slot 0
[17:50:49.468] [SEVERE ] player 5 placing token on slot 0
[17:50:49.486] [SEVERE ] removing player 5 token from slot 0
[17:50:49.490] [SEVERE ] player 3 placing token on slot 0
