[15:20:10.399] [INFO   ] thread main starting.
[15:20:10.404] [SEVERE ] cannot read configuration file config.properties trying from resources.
[15:20:10.405] [SEVERE ] configuration file was loaded from resources directory.
[15:20:10.854] [INFO   ] thread dealer starting.
[15:20:10.976] [SEVERE ] placing card 46 in slot 0
[15:20:10.982] [SEVERE ] player 1 placing token on slot 0
[15:20:10.984] [SEVERE ] removing player 1 token from slot 0
[15:20:10.984] [SEVERE ] player 1 placing token on slot 0
[15:20:10.984] [SEVERE ] player 3 placing token on slot 0
[15:20:10.985] [SEVERE ] removing player 3 token from slot 0
[15:20:10.987] [SEVERE ] player 2 placing token on slot 0
[15:20:10.987] [SEVERE ] removing player 1 token from slot 0
[15:20:10.988] [SEVERE ] player 1 placing token on slot 0
[15:20:10.988] [SEVERE ] removing player 1 token from slot 0
[15:20:10.986] [SEVERE ] player 4 placing token on slot 0
[15:20:10.988] [SEVERE ] player 1 placing token on slot 0
[15:20:10.987] [SEVERE ] removing player 2 token from slot 0
[15:20:10.987] [SEVERE ] player 3 placing token on slot 0
[15:20:10.989] [SEVERE ] removing player 4 token from slot 0
[15:20:10.989] [SEVERE ] removing player 1 token from slot 0
[15:20:10.989] [SEVERE ] removing player 3 token from slot 0
[15:20:10.989] [SEVERE ] player 4 placing token on slot 0
[15:20:10.991] [SEVERE ] removing player 4 token from slot 0
[15:20:10.992] [SEVERE ] player 4 placing token on slot 0
[15:20:10.993] [SEVERE ] player 3 placing token on slot 0
[15:20:10.993] [SEVERE ] removing player 4 token from slot 0
[15:20:10.993] [SEVERE ] player 4 placing token on slot 0
[15:20:10.993] [SEVERE ] removing player 4 token from slot 0
[15:20:10.993] [SEVERE ] removing player 3 token from slot 0
[15:20:10.993] [SEVERE ] player 4 placing token on slot 0
[15:20:10.994] [SEVERE ] removing player 4 token from slot 0
[15:20:11.023] [SEVERE ] player 2 placing token on slot 0
[15:20:11.023] [SEVERE ] player 4 placing token on slot 0
[15:20:11.025] [SEVERE ] removing player 4 token from slot 0
[15:20:11.026] [SEVERE ] player 4 placing token on slot 0
[15:20:11.026] [SEVERE ] removing player 4 token from slot 0
[15:20:11.023] [SEVERE ] player 3 placing token on slot 0
[15:20:11.023] [SEVERE ] player 1 placing token on slot 0
[15:20:11.026] [SEVERE ] player 4 placing token on slot 0
[15:20:11.024] [SEVERE ] removing player 2 token from slot 0
[15:20:11.028] [SEVERE ] removing player 4 token from slot 0
[15:20:11.031] [SEVERE ] player 4 placing token on slot 0
[15:20:11.032] [SEVERE ] player 2 placing token on slot 0
[15:20:11.032] [SEVERE ] removing player 3 token from slot 0
[15:20:11.032] [SEVERE ] removing player 4 token from slot 0
[15:20:11.032] [SEVERE ] removing player 1 token from slot 0
[15:20:11.032] [SEVERE ] removing player 2 token from slot 0
[15:20:11.034] [SEVERE ] player 1 placing token on slot 0
[15:20:11.034] [SEVERE ] removing player 1 token from slot 0
[15:20:11.034] [SEVERE ] player 1 placing token on slot 0
[15:20:11.035] [SEVERE ] removing player 1 token from slot 0
[15:20:11.035] [SEVERE ] player 1 placing token on slot 0
[15:20:11.035] [SEVERE ] player 2 placing token on slot 0
[15:20:11.035] [SEVERE ] removing player 2 token from slot 0
[15:20:11.041] [SEVERE ] removing player 1 token from slot 0
[15:20:11.042] [SEVERE ] player 4 placing token on slot 0
[15:20:11.042] [SEVERE ] player 1 placing token on slot 0
[15:20:11.043] [SEVERE ] removing player 1 token from slot 0
[15:20:11.043] [SEVERE ] player 1 placing token on slot 0
[15:20:11.043] [SEVERE ] removing player 1 token from slot 0
[15:20:11.044] [SEVERE ] player 1 placing token on slot 0
[15:20:11.044] [SEVERE ] removing player 1 token from slot 0
[15:20:11.044] [SEVERE ] player 1 placing token on slot 0
[15:20:11.044] [SEVERE ] removing player 1 token from slot 0
[15:20:11.044] [SEVERE ] player 1 placing token on slot 0
[15:20:11.045] [SEVERE ] removing player 1 token from slot 0
[15:20:11.045] [SEVERE ] player 1 placing token on slot 0
[15:20:11.045] [SEVERE ] removing player 1 token from slot 0
[15:20:11.048] [SEVERE ] player 2 placing token on slot 0
[15:20:11.048] [SEVERE ] player 1 placing token on slot 0
[15:20:11.048] [SEVERE ] player 3 placing token on slot 0
[15:20:11.048] [SEVERE ] removing player 1 token from slot 0
[15:20:11.048] [SEVERE ] removing player 2 token from slot 0
[15:20:11.048] [SEVERE ] player 1 placing token on slot 0
[15:20:11.049] [SEVERE ] removing player 1 token from slot 0
[15:20:11.049] [SEVERE ] player 1 placing token on slot 0
[15:20:11.049] [SEVERE ] removing player 1 token from slot 0
[15:20:11.049] [SEVERE ] player 1 placing token on slot 0
[15:20:11.049] [SEVERE ] removing player 1 token from slot 0
[15:20:11.049] [SEVERE ] player 2 placing token on slot 0
[15:20:11.050] [SEVERE ] player 1 placing token on slot 0
[15:20:11.051] [SEVERE ] removing player 1 token from slot 0
[15:20:11.051] [SEVERE ] player 1 placing token on slot 0
[15:20:11.051] [SEVERE ] removing player 1 token from slot 0
[15:20:11.051] [SEVERE ] player 1 placing token on slot 0
[15:20:11.051] [SEVERE ] removing player 1 token from slot 0
[15:20:11.051] [SEVERE ] player 1 placing token on slot 0
[15:20:11.052] [SEVERE ] removing player 1 token from slot 0
[15:20:11.052] [SEVERE ] player 1 placing token on slot 0
[15:20:11.052] [SEVERE ] removing player 2 token from slot 0
[15:20:11.052] [SEVERE ] removing player 1 token from slot 0
[15:20:11.052] [SEVERE ] removing player 4 token from slot 0
[15:20:11.052] [SEVERE ] removing player 3 token from slot 0
[15:20:11.052] [SEVERE ] player 2 placing token on slot 0
[15:20:11.052] [SEVERE ] player 1 placing token on slot 0
[15:20:11.056] [SEVERE ] player 4 placing token on slot 0
[15:20:11.056] [SEVERE ] removing player 1 token from slot 0
[15:20:11.056] [SEVERE ] player 3 placing token on slot 0
[15:20:11.056] [SEVERE ] removing player 2 token from slot 0
[15:20:11.057] [SEVERE ] removing player 3 token from slot 0
[15:20:11.056] [SEVERE ] player 1 placing token on slot 0
[15:20:11.056] [SEVERE ] removing player 4 token from slot 0
[15:20:11.057] [SEVERE ] removing player 1 token from slot 0
[15:20:11.057] [SEVERE ] player 1 placing token on slot 0
[15:20:11.058] [SEVERE ] removing player 1 token from slot 0
[15:20:11.057] [SEVERE ] player 3 placing token on slot 0
[15:20:11.057] [SEVERE ] player 2 placing token on slot 0
[15:20:11.058] [SEVERE ] player 4 placing token on slot 0
[15:20:11.058] [SEVERE ] removing player 3 token from slot 0
[15:20:11.058] [SEVERE ] player 1 placing token on slot 0
[15:20:11.059] [SEVERE ] player 3 placing token on slot 0
[15:20:11.058] [SEVERE ] removing player 2 token from slot 0
[15:20:11.059] [SEVERE ] removing player 4 token from slot 0
[15:20:11.059] [SEVERE ] removing player 3 token from slot 0
[15:20:11.059] [SEVERE ] removing player 1 token from slot 0
[15:20:11.059] [SEVERE ] player 4 placing token on slot 0
[15:20:11.059] [SEVERE ] player 3 placing token on slot 0
[15:20:11.059] [SEVERE ] player 2 placing token on slot 0
[15:20:11.060] [SEVERE ] player 1 placing token on slot 0
[15:20:11.060] [SEVERE ] removing player 1 token from slot 0
[15:20:11.060] [SEVERE ] player 1 placing token on slot 0
[15:20:11.060] [SEVERE ] removing player 1 token from slot 0
[15:20:11.061] [SEVERE ] player 1 placing token on slot 0
[15:20:11.060] [SEVERE ] removing player 3 token from slot 0
[15:20:11.061] [SEVERE ] removing player 2 token from slot 0
